,Unnamed: 0.1,Unnamed: 0,organization name,facility name,tipo,direccion,latitud,longitud,estado,municipio,geometry,fuente,region
67,67,67,,Unidad Regional Los Mochis,Institucion publica / Educacion y Empleo,"Calle Guillermo Prieto No. 105 Sur esq. Calle Morelos, Edif. Paulina, Local 1, Col. Centro, Los Mochis, Ahome, Sinaloa, C.P. 81500",25.7904527,-108.9912367,Sinaloa,Ahome,POINT (-108.9912367 25.7904527),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
68,68,68,Albergue,Decanal Guadalupano,Albergue y Alimentacion,"Aldama 50, Col. El Viejo C.P. 95180",22.923663,-98.0765288,Tamaulipas,Aldama,POINT (-98.0765288 22.923663),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Golfo
69,69,69,,Unidad Regional Altamira,Institucion publica / Educacion y Empleo,"Calle Hidalgo esq. Quintero No. 408, Zona Centro, Altamira, Tamaulipas, CP 89600.",22.3939338,-97.9365279,Tamaulipas,Altamira,POINT (-97.9365279 22.3939338),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Golfo
70,70,70,Centro Comunitario de Atención al Migrante y Necesitado,CCAMYN,Albergue y Alimentacion,"Gonzalo Senday 79, Col. Buenos Aires CP. 83750",30.7184965018136,-111.839738076975,Sonora,Altar,POINT (-111.839738076975 30.7184965018136),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
71,71,71,Albergue,Casa Tochán,Albergue y Alimentacion,"Pavo Real s/n, entre 40 y 41, Col. José María Pino Suárez, Del. Álvaro Obregón C.P. 01140",19.3982395,-99.1948591,D.F.,Alvaro Obregon,POINT (-99.1948591 19.3982395),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
72,72,72,,Centro Amanecer para Niños,"Mujer, Niñez y Juventud","Callejón del Río 33, Col. Barrio Santa Catarina, Coyoacán, Ciudad de México. C.P. 04010",19.3515955,-99.1771945,D.F.,Alvaro Obregon,POINT (-99.1771945 19.3515955),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
73,73,73,,"Centro Nacional Modelo de Atención, Investigación y Capacitación Casa Hogar para Varones","Mujer, Niñez y Juventud","Callejón del Río 33, Col. Barrio Santa Catarina, Coyoacán, Ciudad de México. C.P. 04010",19.3508282,-99.1779068,D.F.,Alvaro Obregon,POINT (-99.1779068 19.3508282),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
74,74,74,,"Clínica Jurídica Alaíde Foppa, Universidad Iberoamericana¬†","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,19.3697998,-99.2638998,D.F.,Alvaro Obregon,POINT (-99.2638998 19.3697998),OIM Directorio Virtual Servicios,
75,75,75,,Comisión Nacional de los Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Av. Periférico Sur 1922, Col. Tlacopac. C.P. 01049 Ciudad de  México, México",19.3080465,-99.2156448,D.F.,Alvaro Obregon,POINT (-99.2156448 19.3080465),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
76,76,76,,Comisión de Derechos Humanos del Distrito Federal,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Avenid Universidad No. 1449, Col. Florida, Pueblo de Axotla, Deleg. Álvaro Obregón, C.P. 01030, Ciudad de México",19.3550339,-99.1748205,D.F.,Alvaro Obregon,POINT (-99.1748205 19.3550339),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
77,77,77,,Oficina de la Comisión Nacional de Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Río Magdalena 108, Col. Tizapán San Ángel C.P. 01090 Ciudad de México, México",19.3381722,-99.1944553,D.F.,Alvaro Obregon,POINT (-99.1944553 19.3381722),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
78,78,78,FAO,Organización de las Naciones Unidas para la Alimentación y la Agricultura,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Farallón 130, Col. Jardines del Pedregal, C.P. 01900, Ciudad de México",19.3160666,-99.209701,D.F.,Alvaro Obregon,POINT (-99.209701 19.3160666),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
79,79,79,Centro de Día,"Sin Fronteras, I.A.P.",Albergue y Alimentacion,"Carlos Dolci 96, Col. Alfonso XIII, Del. Álvaro Obregón, C.P. 01460",19.3770416,-99.1944907,D.F.,Alvaro Obregon,POINT (-99.1944907 19.3770416),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
80,80,80,,Unidad Delegacional Álvaro Obregón,Institucion publica / Educacion y Empleo,"Calle 10 y Prol. Canarios, Col. Tolteca, Delegación Álvaro Obregón, C.P. 01159",19.3893562,-99.1950674,D.F.,Alvaro Obregon,POINT (-99.1950674 19.3893562),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
81,81,81,,Vifac CDMX,"Mujer, Niñez y Juventud",no disponible,19.353301,-99.1914825,D.F.,Alvaro Obregon,POINT (-99.1914825 19.353301),OIM Directorio Virtual Servicios,
82,82,82,,"Yolia Niñas de la Calle, A.C.","Mujer, Niñez y Juventud","Av. Hidalgo Lote 19 Manzana 54, Col. Olivar Del Conde, Segunda Sección, Del. Álvaro Obregón, Ciudad de México.C.P. 01408",19.3727056,-99.213866,D.F.,Alvaro Obregon,POINT (-99.213866 19.3727056),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,
83,83,83,Comedor para Migrantes,Las Patronas,Albergue y Alimentacion,"Calle 14 s/n, Col. Guadalupe C.P. 94940",18.8252388084241,-96.923371330376,Veracruz,Amatlan de los Reyes,POINT (-96.923371330376 18.8252388084241),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Golfo
84,84,84,,Unidad Regional Apatzingán,Institucion publica / Educacion y Empleo,"Calle José María Coss No. 10, Col. Centro, Apatzingán, Michoacán, C.P. 60600",19.0870962,-102.3559125,Michoacan,Apatzingan,POINT (-102.3559125 19.0870962),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
85,85,85,,Sistema Estatal de Promoción del Empleo y Desarrollo de Tlaxcala,Institucion publica / Educacion y Empleo,"Ex-Rancho La Aguanaja s/n, Col. San Pablo Apetatitlán, Apetatitlán de Antonio Carvajal, Tlaxcala, C.P. 90600.",19.3372631,-98.1973776,Tlaxcala,Apetatitlan de Antonio Carva,POINT (-98.1973776 19.3372631),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
86,86,86,,Unidad Regional Apizaco,Institucion publica / Educacion y Empleo,"Francisco I. Madero No. 1107-Altos, Edif. ESMON, 1er. Piso, Col. Centro, Apizaco, Tlaxcala, C.P. 90300.",19.4167712,-98.1467222,Tlaxcala,Apizaco,POINT (-98.1467222 19.4167712),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
87,87,87,,Bolsa de Trabajo en Apodaca,Institucion publica / Educacion y Empleo,no disponible,25.7811241,-100.1891052,Nuevo Leon,Apodaca,POINT (-100.1891052 25.7811241),OIM Directorio Virtual Servicios,Golfo
88,88,88,,Centro Comunitario Fernando Amilpa,Compras / Cultura y Recreacion,no disponible,25.8060127,-100.270301,Nuevo Leon,Apodaca,POINT (-100.270301 25.8060127),OIM Directorio Virtual Servicios,Golfo
89,89,89,,Centro Comunitario Prados de Santa Rosa,Compras / Cultura y Recreacion,no disponible,25.7998199,-100.2258708,Nuevo Leon,Apodaca,POINT (-100.2258708 25.7998199),OIM Directorio Virtual Servicios,Golfo
90,90,90,,Centro Comunitario Santa Fe,Compras / Cultura y Recreacion,no disponible,25.7262723,-100.1736235,Nuevo Leon,Apodaca,POINT (-100.1736235 25.7262723),OIM Directorio Virtual Servicios,Golfo
91,91,91,,Puerta Violeta Apodaca,"Mujer, Niñez y Juventud",no disponible,25.8177721,-100.2389916,Nuevo Leon,Apodaca,POINT (-100.2389916 25.8177721),OIM Directorio Virtual Servicios,Golfo
92,92,92,,Unidad Regional Apodaca,Institucion publica / Educacion y Empleo,"Abasolo No. 103 entre Porfirio Díaz y Escobedo, Interior Edif. Obras Públicas, Col. Centro, Apodaca, Nuevo León, C.P. 66600.",25.7786212,-100.1941399,Nuevo Leon,Apodaca,POINT (-100.1941399 25.7786212),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Golfo
93,93,93,,Agencia Consular de El Salvador en Arriaga,Consulados,"Av. Central s/n, entre 2a y 4a 22 Sur Poniente, C.P. 30450, Arriaga",16.2371385,-93.8986279,Chiapas,Arriaga,POINT (-93.8986279 16.2371385),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Sur
94,94,94,,Agencia Consular de Guatemala en Arriaga,Consulados,"Av. del Ferrocarril y 7a. Calle Norte 30-B, Col. Centro, C.P. 30450, Arriaga",16.235977,-93.8980301,Chiapas,Arriaga,POINT (-93.8980301 16.235977),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Sur
95,95,95,,Dirección de Atención a Migrantes del Ayuntamiento de Arriaga,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","18 norte Av. Ferrocarril Arriaga, Chiapas C.P. 30450",16.2371385,-93.8986279,Chiapas,Arriaga,POINT (-93.8986279 16.2371385),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Sur
96,96,96,Casa del migrante,Hogar de la Misericordia,Albergue y Alimentacion,"5ta. Sur 1420, Col. Playa fina C.P. 30450",16.2229923,-93.9094528,Chiapas,Arriaga,POINT (-93.9094528 16.2229923),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Sur
97,97,97,,Subsecretaría de Comunicaciones y Transportes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,25.4572288,-100.8969277,Coahuila,Arteaga,POINT (-100.8969277 25.4572288),OIM Directorio Virtual Servicios,Centro
98,98,98,,Subsecretaría de Protección Civil,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,25.4566779,-100.8979227,Coahuila,Arteaga,POINT (-100.8979227 25.4566779),OIM Directorio Virtual Servicios,Centro
