Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2020,FYTD,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,5
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,264
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,9
2020,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,57
2020,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,72
2020,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,445
2020,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,26
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,1123
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,42
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1575
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,56
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,9946
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,425
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,624
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,492
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,16
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,6
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,84
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,12
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,54
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,500
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,7
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,6
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,23
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,2
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,64
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,20
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0
2020,FYTD,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,3
2020,FYTD,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,76
2020,FYTD,AUG,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,27
2020,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8
2020,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,2
2020,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,30
2020,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,7
2020,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,34
2020,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6
2020,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1456
2020,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,807
2020,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,44
2020,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,25
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 42,Expulsions,1
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,2
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,54
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,39
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 42,Expulsions,3
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,2
2020,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,157
2020,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,16
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,443
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,28
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,504
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,61
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,928
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,22
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,155
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,295
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1072
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,74
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,2880
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,180
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,2904
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,120
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,29607
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2031
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1547
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1261
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,78
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,65
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,416
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,159
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,240
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,154
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1790
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,21
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,42
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,56
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4
2020,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,44
2020,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,24
2020,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,73
2020,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2607
2020,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,710
2020,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,29
2020,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,36
2020,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,54
2020,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2739
2020,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,919
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,27
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,33
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,53
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,283
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,20
2020,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,644
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2042
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,1553
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1484
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2872
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,916
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3147
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2173
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12000
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2799
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,279
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1207
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,476
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1081
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,180
2020,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,35
2020,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,3
2020,FYTD,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,31
2020,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,18
2020,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,88
2020,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2046
2020,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,324
2020,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,25
2020,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,45
2020,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,36
2020,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2995
2020,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,544
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,44
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,20
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,51
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,293
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,12
2020,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,270
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,899
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,637
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,763
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2041
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,849
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2810
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1729
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14830
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2179
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,269
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1093
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,436
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1133
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,139
2020,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,33
2020,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,60
2020,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,49
2020,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,92
2020,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2404
2020,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,432
2020,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,19
2020,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31
2020,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,47
2020,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3045
2020,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,772
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,34
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,13
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,72
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,272
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,5
2020,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,336
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,1036
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,714
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,919
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2156
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,666
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2488
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1544
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14134
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2532
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,215
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,963
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,309
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1065
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,128
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,52
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,7
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,4
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0
2020,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2
2020,FYTD,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,44
2020,FYTD,JUL,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,15
2020,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,14
2020,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,1
2020,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,52
2020,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,4
2020,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18
2020,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3
2020,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1287
2020,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,741
2020,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,25
2020,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,36
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,1
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,7
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,2
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,1
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,31
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,40
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,1
2020,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,130
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,211
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,11
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,364
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,695
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,28
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,163
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,376
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,657
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,51
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,1701
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,108
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,2049
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,98
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,26029
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1565
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1118
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,745
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,80
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,13
