name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,estado,Teléfono,Correo electrónico
Oficinas de Atención a Migrante - Hidalgo,Oficinas de Atención a Migrante,20.11397734,-98.74553206,"(20.11397734, -98.74553206)",GOB,"Calle Pavo No .457 , Esq .La Paz .2 Pisa , Col .Centro",Oficinas de Atención a Migrantes (OFAMs),Jalisco,01 (33) 381 828 00 ext. 52204/52205/52661,marianasophia.marquez@jalisco.gob.mx
Oficinas de Atención a Migrante - Jalisco,Oficinas de Atención a Migrante,40.7071482,-4.0079955,"(40.7071482, -4.0079955)",GOB,"C.Colegio Militar No .230 , Col .Chapultepec Norte",Oficinas de Atención a Migrantes (OFAMs),Michoacán,01 800 557 33 99,jlmorelia@gmail.com
Oficinas de Atención a Migrante - Michoacán,Oficinas de Atención a Migrante,17.7763476,-98.7420118,"(17.7763476, -98.7420118)",GOB,"Av.Plan de Ayala No .825 , Plaza Cristal",Oficinas de Atención a Migrantes (OFAMs),Morelos,01 (777) 310 06 40 ext. 66427/66429/66430,miguel.rivera@morelos.gob.mx
Oficinas de Atención a Migrante - Morelos,Oficinas de Atención a Migrante,18.92436734,-99.21811218,"(18.92436734, -99.21811218)",GOB,"Palacio de Gobierno , Avenida Mexico sin.Colonia Central",Oficinas de Atención a Migrantes (OFAMs),Nayarit,Directo. 01 (624)-212-4768,yamilimigrantes@nayarit.gob.mx
Oficinas de Atención a Migrante - Nayarit,Oficinas de Atención a Migrante,24.79812855,-107.4084243,"(24.79812855, -107.4084243)",GOB,"5 de Mayo 525 Ote, Col. Centro C.P. 64000, Monterrey, Nuevo León, México. ",Oficinas de Atención a Migrantes (OFAMs),Nuevo León,01 (81) 20 20 97 29 /30,laura.gomez@nuevoleon.gob.mx
Oficinas de Atención a Migrante - Nuevo León,Oficinas de Atención a Migrante,25.67333352,-100.3104731,"(25.67333352, -100.3104731)",GOB,"Cd. Administrativa, Edif. 5, P.B., Carretera Int. Oaxaca-Istmo Km. 11.5, C.P. 68270, Tlalixtac de Cabrera, Oax. ",Oficinas de Atención a Migrantes (OFAMs),Oaxaca,01 (951) 501 5000 ext. 12080 y 12081,rufinodominguez@oaxaca.gob.mx
Oficinas de Atención a Migrante - Oaxaca,Oficinas de Atención a Migrante,17.05519931,-96.6536798,"(17.05519931, -96.6536798)",GOB,"Blvd. Atlixcáyatl 1101, Col. Reserva Territorial Atlixcáyotl, Centro Integral de Servicios (CIS) Edificio Ejecutivo, 1er. Piso, CP. 72190, Puebla, Pue. ",Oficinas de Atención a Migrantes (OFAMs),Puebla,01 (222) 303 46 00 ext. 3321/3322/3323,contacto@ceai-puebla.com.mx
Oficinas de Atención a Migrante - Puebla,Oficinas de Atención a Migrante,19.03412963,-98.2271019,"(19.03412963, -98.2271019)",GOB,"C .5 de Mayo No .83 , Centro Histórico",Oficinas de Atención a Migrantes (OFAMs),Querétaro,01 (442) 238 5000 ext. 5184,rlira@queretaro.gob.mx
Oficinas de Atención a Migrante - Querétaro,Oficinas de Atención a Migrante,20.1420964,-101.1854628,"(20.1420964, -101.1854628)",GOB,"German Gedovius No .175 , Col.del Valle",Oficinas de Atención a Migrantes (OFAMs),San Luis Potosí,01 (444) 812 9819,enriquemalacara@gmail.com
Oficinas de Atención a Migrante - San Luis Potosí,Oficinas de Atención a Migrante,22.1540947,-101.0054117,"(22.1540947, -101.0054117)",GOB,Privada del Razo No .16 E/Carbo y Palma,Oficinas de Atención a Migrantes (OFAMs),Sonora,01 (662) 213 8542 y 43,migrantesdesonora@hotmail.com
Oficinas de Atención a Migrante - Sonora,Oficinas de Atención a Migrante,36.7227468,-4.4705627,"(36.7227468, -4.4705627)",GOB,"Calle Bravo #2113, Zona Centro C.P.88000, Nuevo Laredo, Tamps. ",Oficinas de Atención a Migrantes (OFAMs),Tamaulipas,01 (867) 712 09 20,atencion.migrantes@tamaulipas.gob.mx
Oficinas de Atención a Migrante - Tamaulipas,Oficinas de Atención a Migrante,27.49725811,-99.50160893,"(27.49725811, -99.50160893)",GOB,"Plaza de la Constitución, esq. Plaza San José Altos 1, Col. Centro C.P. 90000, Tlaxcala, Tlax. ",Oficinas de Atención a Migrantes (OFAMs),Tlaxcala,01 (246) 465 0900 ext. 1137 / 1138,migrantesdetlaxcala@hotmail.com
Oficinas de Atención a Migrante - Tlaxcala,Oficinas de Atención a Migrante,19.31929746,-98.23620812,"(19.31929746, -98.23620812)",GOB,"Palacio Federal 2do.Piso, Zamora Esq.Diego Leño",Oficinas de Atención a Migrantes (OFAMs),Veracruz,01 (228) 812 26 43,migrantes@veracruz.gob.mx
Oficinas de Atención a Migrante - Veracruz,Oficinas de Atención a Migrante,19.53840358,-96.91599552,"(19.53840358, -96.91599552)",GOB,"Calle 66 No. 532, Centro",Oficinas de Atención a Migrantes (OFAMs),Yucatán,01 800 010 62 92,rosario.cetina@yucatan.gob.mx
Oficinas de Atención a Migrante - Yucatán,Oficinas de Atención a Migrante,20.9700284,-89.63022092,"(20.9700284, -89.63022092)",GOB,"Circ. Cerro del Gato, Edif. B, Sedesol, Planta Baja",Oficinas de Atención a Migrantes (OFAMs),Zacatecas,01 (492) 491 5000,josejuan90@gmail.com
