,name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,estado,Teléfono,Correo electrónico
10,Oficinas de Atención a Migrante - Guerrero,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Paseo Alejandro Cervantes Delgado s/n, Esq. Juan de la Barrera",Oficinas de Atención a Migrantes (OFAMs),Guerrero,01 (747) 471 2980 / 478 3029,migrantes@guerrero.gob.mx
11,Oficinas de Atención a Migrante - Guanajuato,Oficinas de Atención a Migrante,20.5257862,-100.8116481,"(20.5257862, -100.8116481)",GOB,"C. Guadalupe No. 221, Zona Centro",Oficinas de Atención a Migrantes (OFAMs),Guanajuato,01 (461) 662 64 00 ext. 6403 y 6401,comunidades@guanajuato.gob.mx
12,Oficinas de Atención a Migrante - Hidalgo,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Blvd.Everardo Márquez No .101 , Plaza Bella",Oficinas de Atención a Migrantes (OFAMs),Hidalgo,01 800 717 08 28,migrantes@hidalgo.gob.mx
13,Oficinas de Atención a Migrante - Jalisco,Oficinas de Atención a Migrante,40.7071482,-4.0079955,"(40.7071482, -4.0079955)",GOB,"Calle Pavo No .457 , Esq .La Paz .2 Pisa , Col .Centro",Oficinas de Atención a Migrantes (OFAMs),Jalisco,01 (33) 381 828 00 ext. 52204/52205/52661,marianasophia.marquez@jalisco.gob.mx
14,Oficinas de Atención a Migrante - Michoacán,Oficinas de Atención a Migrante,17.7763476,-98.7420118,"(17.7763476, -98.7420118)",GOB,"C.Colegio Militar No .230 , Col .Chapultepec Norte",Oficinas de Atención a Migrantes (OFAMs),Michoacán,01 800 557 33 99,jlmorelia@gmail.com
15,Oficinas de Atención a Migrante - Morelos,Oficinas de Atención a Migrante,-27.3384462,-53.0615283,"(-27.3384462, -53.0615283)",GOB,"Av.Plan de Ayala No .825 , Plaza Cristal",Oficinas de Atención a Migrantes (OFAMs),Morelos,01 (777) 310 06 40 ext. 66427/66429/66430,miguel.rivera@morelos.gob.mx
16,Oficinas de Atención a Migrante - Nayarit,Oficinas de Atención a Migrante,24.79812855,-107.40842429936913,"(24.79812855, -107.40842429936913)",GOB,"Palacio de Gobierno , Avenida Mexico sin.Colonia Central",Oficinas de Atención a Migrantes (OFAMs),Nayarit,Directo. 01 (624)-212-4768,yamilimigrantes@nayarit.gob.mx
17,Oficinas de Atención a Migrante - Nuevo León,Oficinas de Atención a Migrante,-22.9069234,-43.179288052841805,"(-22.9069234, -43.179288052841805)",GOB,C .5 de Mayo No .5 2 5 Oriente.Zona Centro,Oficinas de Atención a Migrantes (OFAMs),Nuevo León,01 (81) 20 20 97 29 /30,laura.gomez@nuevoleon.gob.mx
18,Oficinas de Atención a Migrante - Oaxaca,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Carretera al Tule , km .11 .5 , Cd.Administrativa",Oficinas de Atención a Migrantes (OFAMs),Oaxaca,01 (951) 501 5000 ext. 12080 y 12081,rufinodominguez@oaxaca.gob.mx
19,Oficinas de Atención a Migrante - Puebla,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Vía Atlixcayotl No .1101 , Piso2 , Edif.Ejecutivo",Oficinas de Atención a Migrantes (OFAMs),Puebla,01 (222) 303 46 00 ext. 3321/3322/3323,contacto@ceai-puebla.com.mx
20,Oficinas de Atención a Migrante - Querétaro,Oficinas de Atención a Migrante,20.1420964,-101.1854628,"(20.1420964, -101.1854628)",GOB,"C .5 de Mayo No .83 , Centro Histórico",Oficinas de Atención a Migrantes (OFAMs),Querétaro,01 (442) 238 5000 ext. 5184,rlira@queretaro.gob.mx
21,Oficinas de Atención a Migrante - San Luis Potosí,Oficinas de Atención a Migrante,22.1540947,-101.0054117,"(22.1540947, -101.0054117)",GOB,"German Gedovius No .175 , Col.del Valle",Oficinas de Atención a Migrantes (OFAMs),San Luis Potosí,01 (444) 812 9819,enriquemalacara@gmail.com
22,Oficinas de Atención a Migrante - Sonora,Oficinas de Atención a Migrante,36.7227468,-4.4705627,"(36.7227468, -4.4705627)",GOB,Privada del Razo No .16 E/Carbo y Palma,Oficinas de Atención a Migrantes (OFAMs),Sonora,01 (662) 213 8542 y 43,migrantesdesonora@hotmail.com
23,Oficinas de Atención a Migrante - Tamaulipas,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Bravo No .2123 , Sector Centro",Oficinas de Atención a Migrantes (OFAMs),Tamaulipas,01 (867) 712 09 20,atencion.migrantes@tamaulipas.gob.mx
24,Oficinas de Atención a Migrante - Tlaxcala,Oficinas de Atención a Migrante,36.7210783,-4.421982410746514,"(36.7210783, -4.421982410746514)",GOB,"Plaza San José , Esq.Plaza de la Constitución s/n",Oficinas de Atención a Migrantes (OFAMs),Tlaxcala,01 (246) 465 0900 ext. 1137 / 1138,migrantesdetlaxcala@hotmail.com
25,Oficinas de Atención a Migrante - Veracruz,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Palacio Federal 2do.Piso, Zamora Esq.Diego Leño",Oficinas de Atención a Migrantes (OFAMs),Veracruz,01 (228) 812 26 43,migrantes@veracruz.gob.mx
26,Oficinas de Atención a Migrante - Yucatán,Oficinas de Atención a Migrante,10.999475499999999,-74.78624855820166,"(10.999475499999999, -74.78624855820166)",GOB,"Calle 66 No. 532, Centro",Oficinas de Atención a Migrantes (OFAMs),Yucatán,01 800 010 62 92,rosario.cetina@yucatan.gob.mx
27,Oficinas de Atención a Migrante - Zacatecas,Oficinas de Atención a Migrante,22.779195899999998,-102.61407181341289,"(22.779195899999998, -102.61407181341289)",GOB,"Circ. Cerro del Gato, Edif. B, Sedesol, Planta Baja",Oficinas de Atención a Migrantes (OFAMs),Zacatecas,01 (492) 491 5000,josejuan90@gmail.com
