,Unnamed: 0,name,descripcion,Latitude,Longitude,coordenadas,tipo,direccion,bd
341,341.0,"Grupo de Ayuda para el Migrante de Mexicali, A.C.",Centros de Asistencia Social,32.65593506,-115.4987964,"32.65593506313985, -115.49879644593953",OSC / ONG,"Michoacán 1377, Col. Pueblo Nuevo C.P. 21120",Directorio OIM
344,344.0,Juvenil del Desierto,Centros de Asistencia Social,32.6545058,-115.4653355,"32.6545058, -115.4653355",OSC / ONG,"Carpinteros 1515, Col. Industrial C.P. 21010",Directorio OIM
343,343.0,El Buen Samaritano,Centros de Asistencia Social,32.65385434,-115.4789914,"32.6538543377269, -115.47899140175721",OSC / ONG,"Celaya s/n, Parroquia San José Obrero, Col. Bellavista, C.P. 21150",Directorio OIM
65,65.0," Centro de Reintegración Familiar de Menores Migrantes, A.C. ""Albergue del Desierto"" ",Centros de Atención Social,32.65025805,-115.5059043,"32.65025805, -115.50590429985988",OSC / ONG,"Carpinteros 1515 G y H Col. Industrial C. P. 21010,Mexicali, Baja California",redes
66,66.0, Módulo de Atención Centro de Apoyo al Trabajador Migrante y Albergue del Desierto ,Centros de Atención Social,32.65025805,-115.5059043,"32.65025805, -115.50590429985988",OSC / ONG,"Carpinteros 1515 G y H Col. Industrial C. P. 21010,Mexicali, Baja California",redes
338,338.0,"Mana de Mexicali, I.B.P.",Centros de Asistencia Social,32.6457407,-115.458184,"32.6457407, -115.458184",OSC / ONG,"Av. Jesús García 1799, Col. Nacozari C.P.21030",Directorio OIM
67,67.0, Centro Pastoral Mana de Mexicali IAP ,Centros de Atención Social,32.6457407,-115.458184,"32.6457407, -115.458184",OSC / ONG,"Av. Jesús García 1799, Col. Nacozari C.P. 21030,Mexicali, Baja California",redes
68,68.0," Cáritas Región Mexicali, A.C. El Buen Samaritano ",Centros de Atención Social,32.639538,-115.498107,"32.639538, -115.498107",OSC / ONG,"Celaya S/N, Parroquia San José Obrero, Col. Bellavista, C.P. 21150,Mexicali, Baja California",redes
484,484.0,Albergue Temporal Mexicali,Centro de Asistencia Social,32.637519,-115.498128,"32.637519, -115.498128",OSC / ONG,"Salina Cruz 1253, Col. Guajardo Mexicali, Baja California. C. P. 21050",Directorio OIM
308,308.0, El camino a un Nuevo Amanecer ,Centros de Atención Social,32.62655285,-115.3650196,"32.62655284800146, -115.36501956672195",OSC / ONG,"Pte. Canal Pacifico , km 15, 5 Ej. Hipolito Renteria,Mexicali, Baja California",redes
550,550.0,Grupo Beta Mexicali,Grupos Beta,32.62536263,-115.4521844,"32.62536262692454, -115.452184362009",OSC / ONG,"Av. Melgar No. 1, Garita Internacional, Zona Centro, C.P. 21100, Mexicali, B.C.",Directorio OIM
1402,, INM Grupo Beta Mexicali ,Centros de Atención Social,32.62454916171160,-115.4522609914490,"32.62454916171159, -115.4522609914491",OSC / ONG,"Av. Melgar No. 1, Garita, Centro Cívico, 21000 Mexicali, B.C.,Tijuana, Baja California",redes
1377,1377.0, INM Grupo Beta Mexicali ,Centros de Atención Social,32.62454916171160,-115.4522609914490,"32.62454916171159, -115.4522609914491",OSC / ONG,"Av. Melgar No. 1, Garita, Centro Cívico, 21000 Mexicali, B.C.,Tijuana, Baja California",redes
306,306.0," Módulo Fronterizo ""Juntos en el Camino"" ",Centros de Atención Social,32.62370026,-115.4428449,"32.62370025694043, -115.44284486059425",OSC / ONG,"Garita número 1, Carretera Mexicali-Calexico, Módulo # 3,Mexicali, Baja California",redes
309,309.0," Casa de Oración del Migrante, A.C. ",Centros de Atención Social,32.60976727,-115.4336842,"32.609767272951366, -115.43368415942778",OSC / ONG,"Niños Héroes 981, Col. General Jesús Munguia, C.P.22840,Ensenada, Baja California",redes
69,69.0," Coordinadora del Programa de Apoyo al Trabajador Migrante Deportado, A.C. ""Casa Betania"" ",Centros de Atención Social,32.6072504,-115.4436791,"32.6072504, -115.4436791",OSC / ONG,"Lago Hudson # 2408 Col. Xochimilco, C.P. 21380,Mexicali, Baja California",redes
345,345.0,Casa Betania,Centros de Asistencia Social,32.60406223,-115.4393674,"32.60406223467113, -115.43936742358323",OSC / ONG,"Lago Hudson 2408, Col. Xochimilco C.P. 21380",Directorio OIM
1410,,Grupo Beta Tecate,Grupos Beta,32.56928991503090,-116.6523372581050,"32.56928991503085, -116.6523372581046",OSC / ONG,"Calle 18, esq. con Tanamá s/n, Col. Bella Vista, C.P. 21440, Tecate, B.C.",Directorio OIM
1385,1385.0,Grupo Beta Tecate,Grupos Beta,32.56928991503090,-116.6523372581050,"32.56928991503085, -116.6523372581046",OSC / ONG,"Calle 18, esq. con Tanamá s/n, Col. Bella Vista, C.P. 21440, Tecate, B.C.",Directorio OIM
70,70.0, Casa de Ayuda Alfa y Omega ,Centros de Atención Social,32.56754405,-114.9958286,"32.567544049999995, -114.99582857842219",OSC / ONG,"Av, Benito Juárez #92, Col. Zona Centro, C.P. 21100,Mexicali, Baja California",redes
349,349.0,"Alfa y Omega, A.C.",Centros de Asistencia Social,32.56754405,-114.9958286,"32.567544049999995, -114.99582857842219",OSC / ONG,"Av. Benito Juárez 24, Zona Centro C.P. 21100",Directorio OIM
346,346.0,Nuestra Señora de Guadalupe,Centros de Asistencia Social,32.56267732,-116.6044826,"32.56267732137669, -116.60448257353652",OSC / ONG,"Misión Santa Teresa 1400, Col. El Descanso C.P.21478",Directorio OIM
1311,1311.0,Albergue para migrantes “El Buen Samaritano”,Centros de Atencion Social,32.5481449,-106.5256603,"32.5481449, -106.5256603",OSC / ONG,"Calle Islas Esmeraldas # 2012 Col. Luis Echeverría. Ciudad Juárez, Chihuahua",ACNUR albergues
71,71.0," Coalición Prodefensa del Migrante, A.C. Módulo de Atención ",Centros de Atención Social,32.5443709,-116.8915208,"32.5443709, -116.8915208",OSC / ONG,"Garita Puerta México/ Garita Mesa de Otay,Tijuana, Baja California",redes
302,302.0," Agencia Familiar Binacional, AC (AFABI) ",Centros de Atención Social,32.54132743,-117.0183359,"32.54132743314643, -117.01833588646353",OSC / ONG,"Av. Mexico No. 8281 Int. 7-8, Zona Centro CP 22000,Tijuana, Baja California",redes
297,297.0,"Movimiento JUVENTUD2000, Secc. Tijuana A. C.",Centros de Atención Social,32.54048862,-117.0393266,"32.54048862004563, -117.03932655965212",OSC / ONG,"Av. Constitución #205, esquina con Fernando Sanchez Ayala, Zona Norte CP 22000,Tijuana, Baja California",redes
72,72.0, Albergue Temporal Zona Norte ,Centros de Atención Social,32.540333,-117.0515263,"32.540333, -117.0515263",OSC / ONG,"Calle Arias Bernal # 112 CP 22100,Tijuana, Baja California",redes
348,348.0,"Movimiento Juventud 2000 Sección Tijuana, A.C.",Centros de Asistencia Social,32.5403172,-117.0393303,"32.5403172, -117.0393303",OSC / ONG,"Constitución 205, Zona Norte C.P. 22100",Directorio OIM
358,358.0,La Viña de Tijuana,Centros de Asistencia Social,32.5393864,-117.0523311,"32.5393864, -117.0523311",OSC / ONG,"Calle Ing. Fernando Sánchez Ayala 7534, Zona Nte., 22000 Tijuana, B.C.",Directorio OIM
1265,1265.0,COMAR,Centros de Atención Social,32.5390947,-117.0598244,"32.5390947, -117.0598244",OSC / ONG,,ACNUR servicios
1274,1274.0,PREVENCASA A.C,Centros de Atención Social,32.538914,-117.044898,"32.538914, -117.044898",OSC / ONG,,ACNUR servicios
1305,1305.0,Espacio Migrante,Centros de Atencion Social,32.5385082,-117.034304,"32.5385082, -117.034304",OSC / ONG,"Av. Miguel Negrete No. 8350, Zona Urbana Río",ACNUR albergues
1284,1284.0,Espacio Migrante,Centros de Atención Social,32.538341,-117.0342535,"32.538341, -117.0342535",OSC / ONG,,ACNUR servicios
1272,1272.0,Clínica Resistencia En Salud - RHA,Centros de Atención Social,32.5383146,-117.0340369,"32.5383146, -117.0340369",OSC / ONG,,ACNUR servicios
1273,1273.0,RHA - Justicia en Salud (Parteras),Centros de Atención Social,32.5383092,-117.0342396,"32.5383092, -117.0342396",OSC / ONG,,ACNUR servicios
1258,1258.0,Espacio Migrante,Centros de Atención Social,32.538251,-117.0343361,"32.538251, -117.0343361",OSC / ONG,,ACNUR servicios
296,296.0, Programa de Repatriación Humana (Módulo Tijuana) ,Centros de Atención Social,32.53808867,-117.0368087,"32.53808866962532, -117.03680867686685",OSC / ONG,"Garita Internacional El Chaparral, S/N, Col. Federal, C.P. 22010,Tijuana, Baja California",redes
73,73.0, Madres y familias deportadas en acción ,Centros de Atención Social,32.5375158,-117.0296459,"32.5375158, -117.0296459",OSC / ONG,"Vía de la Juventud Ote 8800, Defensores de Baja California, CP 22010,Tijuana, Baja California",redes
1287,1287.0,Instituto Municipal de la Mujer,Centros de Atención Social,32.5374915,-117.0337884,"32.5374915, -117.0337884",OSC / ONG,,ACNUR servicios
295,295.0, Enclave Caracol ,Centros de Atención Social,32.5370643,-117.036046,"32.537064302137814, -117.03604600198183",OSC / ONG,"1er Andador 8250 CP 22000,Tijuana, Baja California",redes
74,74.0, Espacio Migrante ,Centros de Atención Social,32.5370491,-117.0339699,"32.5370491, -117.0339699",OSC / ONG,"Avenida Miguel Negrete 8350, Zona Urbana Rio Tijuana,Tijuana, Baja California",redes
75,75.0," Salesiano de Tijuana Desayunador ""Padre Chava"" ",Centros de Atención Social,32.5367633,-117.0321805,"32.5367633, -117.0321805",OSC / ONG,"Av. Melchor Ocampo #700, Zona Centro CP 22000,Tijuana, Baja California",redes
1259,1259.0,Desayunador Salesiano Padre Chava,Centros de Atención Social,32.5367559,-117.032126,"32.5367559, -117.032126",OSC / ONG,,ACNUR servicios
352,352.0,"Ejército de Salvación, A.C.",Centros de Asistencia Social,32.5354111,-117.0126211,"32.5354111, -117.0126211",OSC / ONG,"Aquiles Serdán 11585, Col. Libertad C.P. 22300",Directorio OIM
76,76.0, Albergue Ejército de Salvación ,Centros de Atención Social,32.5353256,-117.012417,"32.5353256, -117.012417",OSC / ONG,"Av. Aquiles Serdan 11585, Colonia Libertad, Parte Baja CP 22300,Tijuana, Baja California",redes
77,77.0, Albergue Ejército de Salvación Puerta de la Esperanza ,Centros de Atención Social,32.5338243,-117.0067312,"32.5338243, -117.0067312",OSC / ONG,"Calle 17 #550, Adolfo Ruiz Cortinez, Col. Libertad, Parte Baja  CP 22400,Tijuana, Baja California",redes
350,350.0,Ejército de Salvación,Centros de Asistencia Social,32.5338243,-117.0067312,"32.5338243, -117.0067312",OSC / ONG,"Calle 17 550, Col. Libertad Parte Baja C.P. 22400",Directorio OIM
1270,1270.0,Programa Binacional de Educación Migrante (PROBEM),Centros de Atención Social,32.53238,-117.0169887,"32.53238, -117.0169887",OSC / ONG,,ACNUR servicios
1266,1266.0,Dirección Municipal de Atención al Migrante del H. Ayuntamiento de Tijuana,Centros de Atención Social,32.5322299,-117.0190721,"32.5322299, -117.0190721",OSC / ONG,,ACNUR servicios
618,618.0,Consulado General de Guatemala en Tijuana,Oficina Consular,32.53198393,-117.0179162,"32.531983929723296, -117.0179162423005",GOB,"José María Velasco 2787 int. 303, Zona Urbana Río, C.P. 22010, Tijuana",Directorio OIM
1281,1281.0,"Asylum Access México ""Oficina Tijuana""",Centros de Atención Social,32.5306673,-117.0381983,"32.5306673, -117.0381983",OSC / ONG,,ACNUR servicios
1268,1268.0,"Asylum Access México ""Oficina Tijuana""",Centros de Atención Social,32.5306673,-117.0381983,"32.5306673, -117.0381983",OSC / ONG,,ACNUR servicios
1286,1286.0,"USCRI México, Clínica Jurídica Binacional",Centros de Atención Social,32.5306653,-117.0382688,"32.5306653, -117.0382688",OSC / ONG,,ACNUR servicios
304,304.0," Casa de Oración del Migrante, A.C. ",Centros de Atención Social,32.53060863,-116.9979549,"32.53060863004633, -116.99795485965251",OSC / ONG,"735 Carlota Sosa y 1ra Sur Esquina de Carlota Sosa, Colonia Anexa del Río,Tijuana, Baja California",redes
353,353.0,Casa de Oración del Migrante A.C.,Centros de Asistencia Social,32.5304891,-116.997945,"32.5304891, -116.997945",OSC / ONG,"Carlota Sosa 735, Col. Anexa Rio C.P. 22416",Directorio OIM
429,429.0,"Pueblo Sin Fronteras, A.C",Centros de Asistencia Social,32.5296458,-117.0354734,"32.529645801821, -117.03547344705282",OSC / ONG,"Calle Hermenegildo Galeana Lt. 7, entre Guaymas y Empalme, Col. Burocrata C.P.8570",Directorio OIM
1280,1280.0,PROFEDET Procuraduría Federal de la Defensa Trabajo ,Centros de Atención Social,32.528507,-117.0248157,"32.528507, -117.0248157",OSC / ONG,,ACNUR servicios
1282,1282.0,Fundación Scalabrini de México A.C.,Centros de Atención Social,32.5271684,-117.0051415,"32.5271684, -117.0051415",OSC / ONG,,ACNUR servicios
1289,1289.0,Fundación Scalabrini de México A.C.,Centros de Atención Social,32.5271684,-117.0051415,"32.5271684, -117.0051415",OSC / ONG,,ACNUR servicios
1269,1269.0,Centro Scalabrini de Formación para Migrantes - CESFOM,Centros de Atención Social,32.5271684,-117.0051415,"32.5271684, -117.0051415",OSC / ONG,,ACNUR servicios
78,78.0, Club Amigos de Codet ,Centros de Atención Social,32.5260874,-117.0087706,"32.5260874, -117.0087706",OSC / ONG,"Ave. Padre Kino 10159 Zona Río CP 22320,Tijuana, Baja California",redes
1285,1285.0,Instituto Federal de Defensoría Pública (IFDP),Centros de Atención Social,32.5252623,-117.0141134,"32.5252623, -117.0141134",OSC / ONG,,ACNUR servicios
1276,1276.0,Hospital General Tijuana,Centros de Atención Social,32.525088,-117.0095238,"32.525088, -117.0095238",OSC / ONG,,ACNUR servicios
1262,1262.0,Consulado General de Guatemala en Tijuana,Centros de Atención Social,32.524819,-117.0141678,"32.524819, -117.0141678",OSC / ONG,,ACNUR servicios
303,303.0, Casa del Migrante Nuestra Señora de Guadalupe ,Centros de Atención Social,32.52467068,-116.9997965,"32.52467067721813, -116.99979650668384",OSC / ONG,"Sta. Teresa 1398, El Descanso C.P. 21478,Tijuana, Baja California",redes
1271,1271.0,ACNUR,Centros de Atención Social,32.5245142,-117.0149413,"32.5245142, -117.0149413",OSC / ONG,,ACNUR servicios
300,300.0, Instituto Madre Assunta ,Centros de Atención Social,32.52378451,-117.0008055,"32.523784513320905, -117.00080550198237",OSC / ONG,"Calle Galileo # 2305 Colonia Postal CP 22416,Tijuana, Baja California",redes
1303,1303.0,Madre Asunta,Centros de Atencion Social,32.5235856,-117.0014707,"32.5235856, -117.0014707",OSC / ONG,"Calle Galileo No. 2305, col. Postal. Tijuana",ACNUR albergues
354,354.0,Madre Asunta,Centros de Asistencia Social,32.52350414,-117.0013849,"32.5235041436395, -117.00138490361712",OSC / ONG,"Galileo 2305, Col. Postal C.P. 22416",Directorio OIM
1256,1256.0,Madre Asunta,Centros de Atención Social,32.523395,-117.0013542,"32.523395, -117.0013542",OSC / ONG,,ACNUR servicios
79,79.0, HIAS Tijuana ,Centros de Atención Social,32.5231727,-116.9373809,"32.5231727, -116.9373809",OSC / ONG,"Ricardo Flores Magón 8119, Zona Centro, 22000 Tijuana, B.C.,Tijuana, Baja California",redes
355,355.0,"Casa del Migrante en Tijuana, A.C.",Centros de Asistencia Social,32.52294577,-117.0016194,"32.52294576825624, -117.00161943059841",OSC / ONG,"Galileo 239, Col. Postal C.P. 22416",Directorio OIM
1302,1302.0,"Casa del Migrante en Tijuana, A.C.",Centros de Atencion Social,32.5229096,-117.0009757,"32.5229096, -117.0009757",OSC / ONG,"Calle Galileo No. 239, col. Postal, Tijuana",ACNUR albergues
301,301.0," Casa del Migrante en Tijuana, A.C. ",Centros de Atención Social,32.52290054,-117.0016623,"32.522900536852624, -117.00166234615841",OSC / ONG,"Calle Galileo # 239 Colonia Postal CP 22416,Tijuana, Baja California",redes
1255,1255.0,Casa del Migrante en Tijuana A.C.,Centros de Atención Social,32.5228819,-117.0017001,"32.5228819, -117.0017001",OSC / ONG,,ACNUR servicios
1283,1283.0,"Casa del Migrante en Tijuana, AC",Centros de Atención Social,32.5228103,-117.0016835,"32.5228103, -117.0016835",OSC / ONG,,ACNUR servicios
1278,1278.0,Comisión Nacional de los Derechos Humanos (CNDH),Centros de Atención Social,32.5216834,-117.0085994,"32.5216834, -117.0085994",OSC / ONG,,ACNUR servicios
80,80.0," Unión de Comités Comunitarios de Tijuana, A.C. Módulo de Atención al Migrante Chiapaneco ",Centros de Atención Social,32.5216801,-116.9930421,"32.5216801, -116.9930421",OSC / ONG,"Av. Las Lomas # 590 Colonia Buena Vista CP 22010,Tijuana, Baja California",redes
1261,1261.0,"Consulado General de Honduras en Tijuana, Baja California",Centros de Atención Social,32.5213825,-117.0133631,"32.5213825, -117.0133631",OSC / ONG,,ACNUR servicios
1260,1260.0,Consulado de El Salvador en Tijuana,Centros de Atención Social,32.5213825,-117.0133631,"32.5213825, -117.0133631",OSC / ONG,,ACNUR servicios
12,12.0,California Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,32.5212007,-117.008167,"32.5212007, -117.008167",OSC / ONG,"Calle Misión de San Javier 10610, Zona Río C.P. 22010 Tijuana, Baja California",Directorio OIM
1267,1267.0,"Centro 32, FBT México",Centros de Atención Social,32.519687,-117.0158289,"32.519687, -117.0158289",OSC / ONG,,ACNUR servicios
1288,1288.0,"Centro 32, FBT México",Centros de Atención Social,32.519687,-117.0158289,"32.519687, -117.0158289",OSC / ONG,,ACNUR servicios
582,582.0,INSTITUTO NACIONAL DE MIGRACIÓN - Baja California,INM,32.5172913,-117.048655,"32.5172913, -117.048655",GOB,"Calle Diamante s/n, Fracc. Esmeralda, Delegación San Antonio de los Buenos, C.P. 22640 Tijuana, Baja California.",Directorio OIM
1304,1304.0,Casa YMCA,Centros de Atencion Social,32.5139808,-117.021498,"32.5139808, -117.021498",OSC / ONG,"Blv. Cuauhtemoc sur No. 3170, col. Chula Vista",ACNUR albergues
298,298.0," Federación de Asociaciones Cristianas de Jóvenes de la República Mexicana, A.C. ""Casas YMCA para menores Migrantes"" ",Centros de Atención Social,32.51394463,-117.0212405,"32.51394462917329, -117.02124045411387",OSC / ONG,"Blvd. Cuauhtémoc Sur # 3170 Colonia Chula Vista CP 22410,Tijuana, Baja California",redes
357,357.0,Casa YMCA,Centros de Asistencia Social,32.51383224,-117.0215267,"32.51383224167722, -117.02152669152379",OSC / ONG,"Blvd. Cuauhtémoc Sur 3170, Col. Chula vista C.P. 22410",Directorio OIM
1257,1257.0,Casa YMCA,Centros de Atención Social,32.5119193,-117.0226056,"32.5119193, -117.0226056",OSC / ONG,,ACNUR servicios
1395,,Oficinas de Atención a Migrante - Baja California,Oficinas de Atención a Migrante,32.51180341314270,-116.98500225046800,"32.51180341314272, -116.98500225046757",GOB,"5, Blvd. Gustavo Díaz Ordaz 12649-Interior 37, El Paraiso, 22106 Tijuana, B.C.",Oficinas de Atención a Migrantes (OFAMs)
1370,1370.0,Oficinas de Atención a Migrante - Baja California,Oficinas de Atención a Migrante,32.51180341314270,-116.98500225046800,"32.51180341314272, -116.98500225046757",GOB,"5, Blvd. Gustavo Díaz Ordaz 12649-Interior 37, El Paraiso, 22106 Tijuana, B.C.",Oficinas de Atención a Migrantes (OFAMs)
299,299.0, Centro Binacional de Derechos Humanos A.C. ,Centros de Atención Social,32.505976,-116.9497659,"32.50597599533705, -116.94976588180496",OSC / ONG,"Avda. Paseo del Centenario # 3-B Oficina 11 Zona Río Tijuana contraesquina de Palacio Municipal CP 22320,Tijuana, Baja California",redes
1264,1264.0,Instituto Nacional de Migración (INM),Centros de Atención Social,32.5049938,-116.9522701,"32.5049938, -116.9522701",OSC / ONG,,ACNUR servicios
13,13.0,Comisión Estatal de los Derechos Humanos de Baja California,CNDH,32.50463132,-116.9511927,"32.50463131901399, -116.95119270477852",OSC / ONG,"Av. Diego Rivera 2532 edif. Cortez Carbajal 5to piso, Col. Zona Ríos, C.P. 22320, Tijuana, Baja California",Directorio OIM
1279,1279.0,Comisión Estatal de los Derechos Humanos de Baja California ,Centros de Atención Social,32.504085,-116.9510415,"32.504085, -116.9510415",OSC / ONG,,ACNUR servicios
1263,1263.0,Oficina de representación consular de Haití,Centros de Atención Social,32.5039151,-116.9745087,"32.5039151, -116.9745087",OSC / ONG,,ACNUR servicios
1290,1290.0,DIF Municipal Tijuana,Centros de Atención Social,32.5035179,-116.9447642,"32.5035179, -116.9447642",OSC / ONG,,ACNUR servicios
552,552.0,Grupo Beta Tijuana,Grupos Beta,32.4994097,-116.9349353,"32.4994097, -116.9349353",OSC / ONG,"Boulevard Insurgentes No. 16000, Col. Los Álamos, C.P. 22110, Tijuana, Baja California.",Directorio OIM
81,81.0," Casa Hogar Cavit Alejandro, A.C. ",Centros de Atención Social,32.496316,-117.0838684,"32.496316, -117.0838684",OSC / ONG,"Francisco I. Madero No. 104 Colonia Divina Providencia CP 22525,Tijuana, Baja California",redes
485,485.0,Albergue Temporal Tijuana,Centro de Asistencia Social,32.4956248,-116.8620993,"32.4956248, -116.8620993",OSC / ONG,"De los Taxistas s/n, 3ra Etapa del Río Tijuana, Baja California. C.P. 22226",Directorio OIM
473,473.0,Cruz Roja Estatal Baja California,Salud,32.49548724,-116.9683212,"32.49548724057823, -116.96832116283643",OSC / ONG,"Blvd. Gustavo Díaz 14157-1, Fracc. Las Palmas Plaza 5 y 10 C.P.22117, Tijuana",Directorio OIM
560,560.0,Grupo Beta Sonoyta,Grupos Beta,32.49514143,-114.7486742,"32.49514143195857, -114.74867419635991",OSC / ONG,"Puerta Internacional Benemérito de las Américas y Línea Internacional No. 285, Col. Hombres Blancos, C.P. 83570, Sonoyta, Sonora.",Directorio OIM
1277,1277.0,Hospital Materno Infantil de Tijuana,Centros de Atención Social,32.4902353,-116.929334,"32.4902353, -116.929334",OSC / ONG,,ACNUR servicios
1291,1291.0,"CEJUM Tijuana, Centro de Justicia Para las Mujeres del Estado De Baja California",Centros de Atención Social,32.4768181,-116.9742844,"32.4768181, -116.9742844",OSC / ONG,,ACNUR servicios
566,566.0,Instituto de la Mujer para el Estado de Baja California,Mujeres,32.47651844,-116.9736671,"32.47651844031152, -116.97366707292728",OSC / ONG,"Av. Miguel Negrete No. 1711 entre ”J” y ”E” Col. Nueva. C.P. 21100, Mexicali, B.C",Directorio OIM
430,430.0,"La Divina Providencia, I.A.P",Centros de Asistencia Social,32.4761753,-114.7765312,"32.4761753, -114.7765312",OSC / ONG,"Av. Zaragoza 912, Col. Comercial C.P. 83449",Directorio OIM
82,82.0," Asociación Casa del Migrante La Divina Providencia, I.A.P. ",Centros de Atención Social,32.4761753,-114.7765312,"32.4761753, -114.7765312",OSC / ONG,"Avenida Zaragoza # 912, Col. Comercial, C.P. 83449,San Luis Río Colorado, Sonora",redes
347,347.0,"El Camino a un Nuevo Amanecer, A.C",Centros de Asistencia Social,32.47416681,-117.0656388,"32.47416680794939, -117.06563876071894",OSC / ONG,"Pte. Canal Pacifico, Km 15.5, Ej. Hipolito Renteria",Directorio OIM
351,351.0,"Roca de Salvación, A.C.",Centros de Asistencia Social,32.47232885,-116.9065817,"32.472328850494755, -116.90658169264634",OSC / ONG,"Calle Ampliación Hujicori 20704, Col. Azteca Cañon 1 de La Raza C.P. 22224",Directorio OIM
1275,1275.0,CAPASITS,Centros de Atención Social,32.4718945,-116.8492185,"32.4718945, -116.8492185",OSC / ONG,,ACNUR servicios
83,83.0, Casa Hogar El Puente ,Centros de Atención Social,32.4685104,-116.9611622,"32.4685104, -116.9611622",OSC / ONG,"De Los Toros 14103, Amparo Sanchez, 22183 Tijuana, B.C.,Tijuana, Baja California",redes
558,558.0,Grupo Beta San Luis Río Colorado,Grupos Beta,32.46803425,-114.7491124,"32.468034254815535, -114.74911239012864",OSC / ONG,"Av. Zaragoza No. 2708, entre Calle 27 y 28, Col. Burócratas, C.P. 83450, San Luis Río Colorado, Sonora.",Directorio OIM
390,390.0,Diocesana de Torreón,Centros de Asistencia Social,32.4649811,-117.0067088,"32.4649811, -117.0067088",OSC / ONG,"Av. La Paz 300, Col. Nueva California C.P. 27089",Directorio OIM
424,424.0,"Pueblo Sin Fronteras, A.C.",Centros de Asistencia Social,32.4623633,-114.8066277,"32.4623633, -114.80662765",OSC / ONG,"Av. López Collado, Col. Eleazar Ortiz C.P. 83621",Directorio OIM
84,84.0, Border  Line Crisis Center A. C. ,Centros de Atención Social,32.4531281,-116.8646068,"32.4531281, -116.86460682638275",OSC / ONG,"MIGUEL NEGRETE LAS CALIFORNIA'S PARK 22000 TIJUANA, B.C. Mexico,Tijuana, Baja California",redes
85,85.0, Fundacion Mano con Mano por Baja California A.C. ,Centros de Atención Social,32.4406334,-117.0322012,"32.4406334, -117.0322012",OSC / ONG,"Real de San Antonio 5834 Col. Real de San Antonio CP 22666,Tijuana, Baja California",redes
335,335.0,"Casa de Oración del Migrante, A.C.",Centros de Asistencia Social,31.8708036,-116.5867126,"31.870803596687143, -116.58671256804844",OSC / ONG,"Niños Héroes 981, Col. Jesús Munguia C.P. 22840",Directorio OIM
337,337.0,San Vicente,Centros de Asistencia Social,31.86697,-116.6009704,"31.86697, -116.6009704",OSC / ONG,"Calle 9a 691, Col. Bustamante C.P. 22840",Directorio OIM
86,86.0," Albergue San Vicente: Instituto de Derechos Humanos de Indigentes y Migrantes, A.C. ",Centros de Atención Social,31.86697,-116.6009704,"31.86697, -116.6009704",OSC / ONG,"Calle Novena #691, Colonia Bustamante, Ensenada, Baja California 22840,Ensenada, Baja California",redes
