id_org,Organización,Dirección,Ciudad,Estado,País,Código Postal,Tipo de Iniciativa,DirecciónCompleta
41, Hmnas de San José de Lyón (albergue Decanal Guadalupano) ,"Calle Aldama #50, entre Tuxpan y Lafragua Tierra Blanca, Col. El Viejo, C.P. 95180",Tierra Blanca de Ignacio de la Llave,Veracruz,México,95180,Albergue,"Calle Aldama #50, entre Tuxpan y Lafragua Tierra Blanca, Col. El Viejo, C.P. 95180, Tierra Blanca de Ignacio de la Llave, Veracruz, México"
42, Casa del Migrante Santa Faustina Kowalska ,Calle La Venta 434 Col. Dunas,Coatzacoalcos,Veracruz,México,96536,Albergue,"Calle La Venta 434 Col. Dunas, Coatzacoalcos, Veracruz, México"
43, Casa del Migrante Diocesis de Coatzacoalcos A.C. ,"Albergue para mujeres: Calle Soledad del Doblado, esquina Pascual Orozco, cerca del puente de Av.1 Coatzacoalcos",Coatzacoalcos,Veracruz,México,96499,Albergue,"Albergue para mujeres: Calle Soledad del Doblado, esquina Pascual Orozco, cerca del puente de Av.1 Coatzacoalcos, Coatzacoalcos, Veracruz, México"
44, Casa del Migrante Diócesis de Coatzacoalcos A.C. ,"Albergue para hombres: Río Pánuco s/n, entre Río Tuxpan y Río Calzadas, Col. Coatzacoalcos, (Albergue Diócesis de Coatzacoalcos), C.P. 96499",Coatzacoalcos,Veracruz,México,96499,Albergue,"Albergue para hombres: Río Pánuco s/n, entre Río Tuxpan y Río Calzadas, Col. Coatzacoalcos, (Albergue Diócesis de Coatzacoalcos), C.P. 96499, Coatzacoalcos, Veracruz, México"
45, Comedor para migrantes Las Patronas ,Calle 14 s/n Col. Guadalupe Amatlán de los Reyes,Amatlán de los Reyes,Veracruz,México,94957,Comedor,"Calle 14 s/n Col. Guadalupe Amatlán de los Reyes, Amatlán de los Reyes, Veracruz, México"
46, Instituto para el desarrollo de la cultura Maya del estado de Yucatán INDEMAYA ,Calle 66 num 532 x 63 y 65 col centro cp. 97000,Mérida,Yucatán,México,97000,Institución gubernamental,"Calle 66 num 532 x 63 y 65 col centro cp. 97000, Mérida, Yucatán, México"
47," Centro de los Derechos del Migrante, Inc (CDM) ","Calle Víctor Rosales #164, Col. Centro, C.P. 98000",Zacatecas,Zacatecas,México,98000,Iniciativa,"Calle Víctor Rosales #164, Col. Centro, C.P. 98000, Zacatecas, Zacatecas, México"
48," Federación Zacatecana, AC (FEDZAC) ",Francisco Villa #11 Colonia Revolucion Mexicana,Guadalupe,Zacatecas,México,98613,Asociación civil,"Francisco Villa #11 Colonia Revolucion Mexicana, Guadalupe, Zacatecas, México"
49, Casa del Migrante Emaus ,"Díaz Mirón 607,entre Gochicoa y Alarcón, Col. Casjal, C.P.89280",Tampico,Tamaulipas,México,89280,Albergue,"Díaz Mirón 607,entre Gochicoa y Alarcón, Col. Casjal, C.P.89280, Tampico, Tamaulipas, México"
50, Casa del Migrante Senda de Vida ,Calle Bordo de Protección No. 5,Reynosa,Tamaulipas,México,88520,Albergue,"Calle Bordo de Protección No. 5, Reynosa, Tamaulipas, México"
51, Albergue del Migrante Nuestra Señora de Guadalupe A.C. ,"Nogal-aldama 501, Col. Aquiles Serdan I, 88520 Reynosa, Tamaulipas, Mexico.",Reynosa,Tamaulipas,México,88520,Albergue,"Nogal-aldama 501, Col. Aquiles Serdan I, 88520 Reynosa, Tamaulipas, Mexico., Reynosa, Tamaulipas, México"
52," Red Paisano México-USA, AC. ","Obregon 1810, Nuevo Laredo, Tamaulipas C.P 88000",Nuevo Laredo,Tamaulipas,México,88000,Asociación civil,"Obregon 1810, Nuevo Laredo, Tamaulipas C.P 88000, Nuevo Laredo, Tamaulipas, México"
53," Casa del Migrante Amar, A.C. ","Canales 2112, Sector Centro, C.P. 88160",Nuevo Laredo,Tamaulipas,México,88160,Albergue,"Canales 2112, Sector Centro, C.P. 88160, Nuevo Laredo, Tamaulipas, México"
54, Casa del Migrante Nazareth A.C. ,"Calle Francisco I. Madero 350, Colonia Viveros, 88070 Nuevo Laredo, Tamps.",Nuevo Laredo,Tamaulipas,México,88070,Albergue,"Calle Francisco I. Madero 350, Colonia Viveros, 88070 Nuevo Laredo, Tamps., Nuevo Laredo, Tamaulipas, México"
55, Casa San Juan Diego y San Francisco de Asís A.C. ,"Avenida Golfo de México No. 49, Colonia Ampliación Solidaridad C.P. 87456",Matamoros,Tamaulipas,México,87456,Albergue,"Avenida Golfo de México No. 49, Colonia Ampliación Solidaridad C.P. 87456, Matamoros, Tamaulipas, México"
56, Casa del Migrante San Juan Diego y San Francisco de Asís A.C. ,"Avenida Golfo de Mexico No. 48, Colonia Ampliación Solidaridad C.P. 87456",Matamoros,Tamaulipas,México,87456,Albergue,"Avenida Golfo de Mexico No. 48, Colonia Ampliación Solidaridad C.P. 87456, Matamoros, Tamaulipas, México"
57, Fundación Despierta al Mundo A.C. ,"Villa de Aguayo 255, Fracc. Haciendas del Santuario, Cd. Victoria, Tamaulipas, México",Ciudad Victoria,Tamaulipas,México,87120,Asociación civil,"Villa de Aguayo 255, Fracc. Haciendas del Santuario, Cd. Victoria, Tamaulipas, México, Ciudad Victoria, Tamaulipas, México"
58, Centro Fray Julián Garces A. C. ,Calle 11 No. 214,Loma Xicohténcatl,Tlaxcala,México,90070,Asociación civil,"Calle 11 No. 214, Loma Xicohténcatl, Tlaxcala, México"
59, Un Mundo Una Nación A. C. ,"6a Avenida No. 2903, Col. El Carmen",Apizaco,Tlaxcala,México,90316,Iniciativa,"6a Avenida No. 2903, Col. El Carmen, Apizaco, Tlaxcala, México"
60, Albergue para migrantes “La Sagrada familia” ,"3ª Privada Álvaro Obregón s/n, Col. Ferrocarrilera",Apizaco,Tlaxcala,México,90342,Albergue,"3ª Privada Álvaro Obregón s/n, Col. Ferrocarrilera, Apizaco, Tlaxcala, México"
61, Instituto Nacional de Salud Pública (INSP) ,"Universidad No. 655 Colonia Santa María Ahuacatitlán, Cerrada Los Pinos y Caminera C.P. 62100, Cuernavaca, Morelos. México",Cuernavaca,Morelos,México,62100,Institución gubernamental,"Universidad No. 655 Colonia Santa María Ahuacatitlán, Cerrada Los Pinos y Caminera C.P. 62100, Cuernavaca, Morelos. México, Cuernavaca, Morelos, México"
62, Migrante Hagamos un puente contigo SEDESO ,"Plan de Ayala número 825 Plaza Cristal local 26 y 27a 3er nivel Teopanzolco C.P. 62350 Cuernavaca, Morelos",Cuernavaca,Morelos,México,62350,Institución gubernamental,"Plan de Ayala número 825 Plaza Cristal local 26 y 27a 3er nivel Teopanzolco C.P. 62350 Cuernavaca, Morelos, Cuernavaca, Morelos, México"
63, Centro Casa Origen Nayarit ,"Privada Margarita No. 32, Col. Villas de San Juan, C.P. 63130",Tepic,Nayarit,México,,Asociación civil,"Privada Margarita No. 32, Col. Villas de San Juan, C.P. 63130, Tepic, Nayarit, México"
64, Casa de la Esperanza San José ,"Padre Enrique Mejía 194, Col. Centro, C.P. 63000",Tepic,Nayarit,México,63000,Albergue,"Padre Enrique Mejía 194, Col. Centro, C.P. 63000, Tepic, Nayarit, México"
65, Albergue Obsidiana ,"Calle Amado Nervo 164 A, Col. Everardo Peña Navarro C.P. 63940",Ixtlán del Río,Nayarit,México,63940,Albergue,"Calle Amado Nervo 164 A, Col. Everardo Peña Navarro C.P. 63940, Ixtlán del Río, Nayarit, México"
66, Ayuda Humanitaria al Migrante Casa Monarca ,"Priv. Nicolás Bravo 510, Col. Nueva Santa Catarina C.P. 66350",Santa Catarina,Nuevo León,México,66350,Comedor,"Priv. Nicolás Bravo 510, Col. Nueva Santa Catarina C.P. 66350, Santa Catarina, Nuevo León, México"
67," Paso de Esperanza, A.C ","Condominio Acero, Oficina 612, Zaragoza 1000-B esq. con Ocampo",Monterrey,Nuevo León,México,64000,Comedor,"Condominio Acero, Oficina 612, Zaragoza 1000-B esq. con Ocampo, Monterrey, Nuevo León, México"
68, Hogar de las Bienaventuranzas A.C. ,"Emilio Carranza 301 Norte Esquina con Alvino Espinoza, Col. Centro",Monterrey,Nuevo León,México,64000,Comedor,"Emilio Carranza 301 Norte Esquina con Alvino Espinoza, Col. Centro, Monterrey, Nuevo León, México"
69, Hospedaje para trabajadores inmigrantes ,Aldama # 937 entre Ocampo e Hidalgo Colonia Centro,Monterrey,Nuevo León,México,64000,Albergue,"Aldama # 937 entre Ocampo e Hidalgo Colonia Centro, Monterrey, Nuevo León, México"
70, Casa del Forastero Santa Martha ,José María Bocanegra Pte. No. 801 esquina con Amado Nervo Col. Industrial (Parroquia Santa Maria Goretti),Monterrey,Nuevo León,México,64440,Albergue,"José María Bocanegra Pte. No. 801 esquina con Amado Nervo Col. Industrial (Parroquia Santa Maria Goretti), Monterrey, Nuevo León, México"
71, Albergue Ejército de Salvación ,"Carvajal y de la Cueva 1716 Norte, Col, Primero de Mayo, 64580",Monterrey,Nuevo León,México,64580,Albergue,"Carvajal y de la Cueva 1716 Norte, Col, Primero de Mayo, 64580, Monterrey, Nuevo León, México"
72, Albergue y Comedor Público para Mujeres Migrantes Vislumbrando un Nuevo Horizonte ,"Av. 5 de Mayo 494, Col. Centro C.P. 64000",Monterrey,Nuevo León,México,64000,Albergue,"Av. 5 de Mayo 494, Col. Centro C.P. 64000, Monterrey, Nuevo León, México"
73, Casa de Migrantes Casa Nicolás Tolentino ,Emiliano Zapata 4417 esq. con Serafín Peña. Col. Guadalupe Victoria C.P. 67180,Ciudad Guadalupe,Nuevo León,México,67180,Albergue,"Emiliano Zapata 4417 esq. con Serafín Peña. Col. Guadalupe Victoria C.P. 67180, Ciudad Guadalupe, Nuevo León, México"
74, Institución Normativa de los Indigentes (Casa INDI) ,"Av Bernardo Reyes 2616 Bella Vista, 64400 Monterrey, N.L.",Monterrey,Nuevo León,México,64400,Albergue,"Av Bernardo Reyes 2616 Bella Vista, 64400 Monterrey, N.L., Monterrey, Nuevo León, México"
75, Centro de orientación del migrante de Oaxaca ,"Callejón de Guadalupe Victoria s/n, Col. Centro, C.P. 68000",Oaxaca,Oaxaca,México,68000,Asociación civil,"Callejón de Guadalupe Victoria s/n, Col. Centro, C.P. 68000, Oaxaca, Oaxaca, México"
76, Casa del Migrante Ruchagalú ,"Av. Primero de mayo #1110, Col. Rincón Viejo, Santa María Petapa, C.P. 70370",Matías Romero,Oaxaca,México,70370,Albergue,"Av. Primero de mayo #1110, Col. Rincón Viejo, Santa María Petapa, C.P. 70370, Matías Romero, Oaxaca, México"
77, Capilla-Albergue Hermanos en el Camino A.C. ,"Av. Ferrocarril Pte. #60, Barrio ""La Soledad"" C.P. 70110",Ciudad Ixtepec,Oaxaca,México,70110,Albergue,"Av. Ferrocarril Pte. #60, Barrio ""La Soledad"" C.P. 70110, Ciudad Ixtepec, Oaxaca, México"
78, Parroquia de la Asunción Ayuda Humanitaria a Migrantes en Tránsito ,"Calle 45 Norte 206, Col. Aquiles Serdán C.P. 72140",Puebla,Puebla,México,72140,Albergue,"Calle 45 Norte 206, Col. Aquiles Serdán C.P. 72140, Puebla, Puebla, México"
79, Casa del Migrante de la Parroquia de Nuestra Señora de los Desamparados ,"Av. 36 Poniente 3308, Col. Nueva Aurora, atrás de la Central de Autobuses, C.P. 42070",Puebla,Puebla,México,42070,Albergue,"Av. 36 Poniente 3308, Col. Nueva Aurora, atrás de la Central de Autobuses, C.P. 42070, Puebla, Puebla, México"
80, Misión derechos humanos de la sierra gorda de Querétaro A.C. ,"Mariano Matamoros No. 14 Zona Centro 76340 Jalpan de Serra, Querétaro, México",Jalpan de Serra,Querétaro,México,76340,Asociación civil,"Mariano Matamoros No. 14 Zona Centro 76340 Jalpan de Serra, Querétaro, México, Jalpan de Serra, Querétaro, México"
81," Albergue para migrantes Toribio Romo, A.C. ","Priv. Campesinos 1, Col. San Pedrito Peñuelas, C.P. 76140",Querétaro,Querétaro,México,76140,Albergue,"Priv. Campesinos 1, Col. San Pedrito Peñuelas, C.P. 76140, Querétaro, Querétaro, México"
82, Estancia González y Martínez A.C ,"Antigua Estación Bernal, Calle Juarez oriente C.P 76776",Tequisquiapan,Querétaro,México,76776,Albergue,"Antigua Estación Bernal, Calle Juarez oriente C.P 76776, Tequisquiapan, Querétaro, México"
83, Centro de Apoyo Marista al Migrante  (CAMMI) ,"Marte No. 2 Esq. Av. Universidad Col. Centro CP. 76000 Querétaro, Qro. (Universidad Marista de Querétaro)",Querétaro,Querétaro,México,76000,Comedor,"Marte No. 2 Esq. Av. Universidad Col. Centro CP. 76000 Querétaro, Qro. (Universidad Marista de Querétaro), Querétaro, Querétaro, México"
84, Casa Del Migrante San Luis Potosi. Programa de Cáritas SLP ,"Álvaro Obregón 626, Centro Historico, 78000",San Luis Potosí,San Luis Potosí,México,78000,Albergue,"Álvaro Obregón 626, Centro Historico, 78000, San Luis Potosí, San Luis Potosí, México"
85, Casa de la Caridad Cristiana CCC ,"Calle Juan Álvarez #210, esquina vía México-Laredo, barrio de Tlaxcala",San Luis Potosí,San Luis Potosí,México,78038,Albergue,"Calle Juan Álvarez #210, esquina vía México-Laredo, barrio de Tlaxcala, San Luis Potosí, San Luis Potosí, México"
86, Sin Fronteras IAP ,Carlos Dolci # 96. Col. Alfonso XII,"de México, 01460 Ciudad Ciudad de México",Ciudad de México,México,0146,Asociación civil,"Carlos Dolci # 96. Col. Alfonso XII, de México, 01460 Ciudad Ciudad de México, Ciudad de México, México"
87, AS Movilidad AC ,Avenida México Coyoacán # 295 PB 1,"de México, 03330 Ciudad Ciudad de México",Ciudad de México,México,03330,Asociación civil,"Avenida México Coyoacán # 295 PB 1, de México, 03330 Ciudad Ciudad de México, Ciudad de México, México"
88, Casa Refugio Citlaltépetl ,Citlaltépetl # 25,"de México, 6170 Ciudad Ciudad de México",Ciudad de México,México,6170,Institución gubernamental,"Citlaltépetl # 25, de México, 6170 Ciudad Ciudad de México, Ciudad de México, México"
90, Servicios Jesuitas a Migrantes SJM ,Orizaba 39 Roma Nte. Cuauhtémoc 06700,"de México, CDMX Ciudad Ciudad de México",Ciudad de México,México,6700,Asociación civil,"Orizaba 39 Roma Nte. Cuauhtémoc 06700, de México, CDMX Ciudad Ciudad de México, Ciudad de México, México"
91, Fundación Carlos Slim ,"Lago Zurich 245, Col. Ampliación Granada",Ciudad de México,Ciudad de México,México,11529,Programa,"Lago Zurich 245, Col. Ampliación Granada, Ciudad de México, Ciudad de México, México"
92, Mi Valedor ,Bucareli 69 C,Ciudad de México,Ciudad de México,México,6600,Otro,"Bucareli 69 C, Ciudad de México, Ciudad de México, México"
93," Centro de los Derechos del Migrante, Inc ",Calle Zamora #169-4 C.P. 06140,Ciudad de México,Ciudad de México,México,6140,Otro,"Calle Zamora #169-4 C.P. 06140, Ciudad de México, Ciudad de México, México"
94, Casa de los Amigos A.C. APOFAM ,Ignacio Mariscal 132,Ciudad de México,Ciudad de México,México,6030,Asociación civil,"Ignacio Mariscal 132, Ciudad de México, Ciudad de México, México"
95, Misioneras de San Carlos Borromeo Scalabrinianas ,"Calle Zapote 31, San Fernando",Ciudad de México,Ciudad de México,México,14060,Asociación civil,"Calle Zapote 31, San Fernando, Ciudad de México, Ciudad de México, México"
96, Asociación Mexicana de Uniones de Crédito del Sector Social (AMUCSS) ,"Hermosillo 14 código 2, Roma Sur Cuauhtémoc 06760","de México, CDMX Ciudad Ciudad de México",Ciudad de México,México,06760,Iniciativa,"Hermosillo 14 código 2, Roma Sur Cuauhtémoc 06760, de México, CDMX Ciudad Ciudad de México, Ciudad de México, México"
97," Instituto de Estudios y Divulgación sobre Migración, AC (INEDIM) ",Calle Mexicali 4 Hipódromo 06100,"de México, CDMX Ciudad Ciudad de México",Ciudad de México,México,6100,Asociación civil,"Calle Mexicali 4 Hipódromo 06100, de México, CDMX Ciudad Ciudad de México, Ciudad de México, México"
98, New Comienzos A.C. ,"Plaza de la República Centro Histórico, CDMX",Ciudad de México,Ciudad de México,México,6030,Iniciativa,"Plaza de la República Centro Histórico, CDMX, Ciudad de México, Ciudad de México, México"
99, Fundación Origen A.C. ,"Juan O'donojú 221, Lomas Virreyes, Lomas de Chapultepec IV Secc, 11000","de México, CDMX Ciudad Ciudad de México",Ciudad de México,México,11000,Asociación civil,"Juan O'donojú 221, Lomas Virreyes, Lomas de Chapultepec IV Secc, 11000, de México, CDMX Ciudad Ciudad de México, Ciudad de México, México"
100, Lasos de Union por Durango AC ,"Villa Union Poanas, Durango",Durango,Durango,México,34820,Asociación civil,"Villa Union Poanas, Durango, Durango, Durango, México"
101, Casa del Migrante El Samaritano ,"Av. del Bosque 360, U.H. Antonio Osorio de León, Col. Bojay, Atitalaquia, Hidalgo. C.P. 42970",Atitalaquia,Hidalgo,México,42970,Comedor,"Av. del Bosque 360, U.H. Antonio Osorio de León, Col. Bojay, Atitalaquia, Hidalgo. C.P. 42970, Atitalaquia, Hidalgo, México"
102," El Diamante de Fuego, AC ","V Carranza 528, San Clemente C.P. 42070",Pachuca,Hidalgo,México,42070,Albergue,"V Carranza 528, San Clemente C.P. 42070, Pachuca, Hidalgo, México"
103, HERMANAS de los Sagrados Corazones Casa del Migrante “El Samaritano” ,"Av. del Bosque 360, U.H. Antonio Osorio de León, Col. Bojay, Atitalaquia, Hidalgo.",Bojay,Hidalgo,México,42970,Albergue,"Av. del Bosque 360, U.H. Antonio Osorio de León, Col. Bojay, Atitalaquia, Hidalgo., Bojay, Hidalgo, México"
104, La casa del migrante del Cerro del Cuatro ,"Constitución 332 esquina con Ignacio Mejia, Col. Cerro del 4 C.P. 45599",Tlaquepaque,Jalisco,México,45599,Albergue,"Constitución 332 esquina con Ignacio Mejia, Col. Cerro del 4 C.P. 45599, Tlaquepaque, Jalisco, México"
105, Instituto Jalisciense para los Migrantes ,"Calle Penitenciaria 180, Colonia Americana, CP. 44160",Guadalajara,Jalisco,México,44160,Institución gubernamental,"Calle Penitenciaria 180, Colonia Americana, CP. 44160, Guadalajara, Jalisco, México"
106," Dignidad y Justicia en el Camino, AC (FM4-Paso Libre) ","Calderón de la Barca #468-A, Col. Arcos Vallarta, C.P. 44130",Guadalajara,Jalisco,México,44130,Asociación civil,"Calderón de la Barca #468-A, Col. Arcos Vallarta, C.P. 44130, Guadalajara, Jalisco, México"
107, UVEMAC ,Av. Lago Xochimilco # 381. Col. Ampliación Vicente Villada,"Nezahualcóyotl, 57710  Ciudad Ciudad Nezahualcóyotl",Estado de México,México,57710,Asociación civil,"Av. Lago Xochimilco # 381. Col. Ampliación Vicente Villada, Nezahualcóyotl, 57710  Ciudad Ciudad Nezahualcóyotl, Estado de México, México"
108, Centro Casa Origen ,Calle sin nombre CP 50960,Villa Victoria,Estado de México,México,50960,Asociación civil,"Calle sin nombre CP 50960, Villa Victoria, Estado de México, México"
109, Instituto del Rincón A.C. ,Avenida Morelos No. 124 CP 52440,Malinalco,Estado de México,México,52440,Asociación civil,"Avenida Morelos No. 124 CP 52440, Malinalco, Estado de México, México"
110, Deportados Unidos en la Lucha ,"Valle de Arriba 66-2 Valle de Aragon 1era seccion., 57100","Nezahualcóyotl,",de México Ciudad Ciudad Nezahualcóyotl Estado Estado de México,México,57100,Colectivo,"Valle de Arriba 66-2 Valle de Aragon 1era seccion., 57100, Nezahualcóyotl,, de México Ciudad Ciudad Nezahualcóyotl Estado Estado de México, México"
111, Albergue Casa del Migrante San Juan Diego ,"Camino Tequixquiac km 50.5, Barrio San Bartolo",Huehuetoca,Estado de México,México,54680,Albergue,"Camino Tequixquiac km 50.5, Barrio San Bartolo, Huehuetoca, Estado de México, México"
112," Centro de Derechos Humanos de la Montaña Tlachinollan, AC ",Mina #77 Col. Centro C.P 41300,Tlapa,Guerrero,México,41300,Asociación civil,"Mina #77 Col. Centro C.P 41300, Tlapa, Guerrero, México"
113, Centro Casa Origen ,"Unidad Habitacional Colosio, Condominio Obsidiana No. 51, Puerto Márquez, Acapulco, Guerrero. C.P. 39890",Acapulco,Guerrero,México,39890,Asociación civil,"Unidad Habitacional Colosio, Condominio Obsidiana No. 51, Puerto Márquez, Acapulco, Guerrero. C.P. 39890, Acapulco, Guerrero, México"
114, Caminamos Juntos ,"Abierto por cita. Solicitar cita previa. Zona Centro 37700 San Miguel de Allende, Guanajuato",San Miguel de Allende,Guanajuato,México,37700,Asociación civil Parcialmente digital,"Abierto por cita. Solicitar cita previa. Zona Centro 37700 San Miguel de Allende, Guanajuato, San Miguel de Allende, Guanajuato, México"
115, Casa San Carlos Borromeo ,"Moroleón #107, Col. Guanajuato C.P. 36790",Salamanca,Guanajuato,México,36790,Albergue,"Moroleón #107, Col. Guanajuato C.P. 36790, Salamanca, Guanajuato, México"
116," Irapuato Vive, AC ",Jesús García 356 Zona Centro C.P. 36510,Irapuato,Guanajuato,México,36510,Asociación civil,"Jesús García 356 Zona Centro C.P. 36510, Irapuato, Guanajuato, México"
117, Fundación Comunitaria del Bajío ,Manuel Altamirano No. 480-1 C.P. 35600,Irapuato,Guanajuato,México,35600,Asociación civil,"Manuel Altamirano No. 480-1 C.P. 35600, Irapuato, Guanajuato, México"
118, Centro Regional de la Red de Mujeres de Bajío ACCEREMUBA ,"Alvaro Obregón 381-5, Planta Alta, zona Centro, CP 3800",Celaya,Guanajuato,México,38000,Asociación civil,"Alvaro Obregón 381-5, Planta Alta, zona Centro, CP 3800, Celaya, Guanajuato, México"
119, Casa del migrante ABBA ,"Calle, Eufemio Zapata #216. Colonia, Emiliano Zapata. Celaya Guanajuato. C.P 38030",Celaya,Guanajuato,México,38030,Asociación civil,"Calle, Eufemio Zapata #216. Colonia, Emiliano Zapata. Celaya Guanajuato. C.P 38030, Celaya, Guanajuato, México"
120," Albergue Manos Extendidas para los Necesitados, AC ","16 de Septiembre 428 Celaya, Guanajuato, C.P. 38057 (casi enfrente del templo del Barrio del Zapote)",Celaya,Guanajuato,México,38057,Asociación civil,"16 de Septiembre 428 Celaya, Guanajuato, C.P. 38057 (casi enfrente del templo del Barrio del Zapote), Celaya, Guanajuato, México"
121, Dream in Mexico A.C. ,Virtual,León,Guanajuato,,,Asociación civil Totalmente digital,"Virtual, León, Guanajuato, "
122, SEMIGRANTE (Zitácuaro) ,"Interior Palacio Municipal, Ocampo Poniente No. 13, Col. Centro, C.P. 61500",Zitácuaro,Michoacán,México,61500,Institución gubernamental,"Interior Palacio Municipal, Ocampo Poniente No. 13, Col. Centro, C.P. 61500, Zitácuaro, Michoacán, México"
