Organization Name,Facility  Name,Tipo,Direccion,Fuente,longitud,latitud
,Centenario Hospital Miguel Hidalgo,Salud,no disponible,OIM Directorio Virtual Servicios,-102.2825251,21.8947652
,Instituto Mexicano del Seguro Social (IMSS),Salud,no disponible,OIM Directorio Virtual Servicios,-102.2969018,21.8704618
,Centro Ambulatorio para la Prevenci√≤n y Atención del VIH/SIDA (CAPASITS),Salud,no disponible,OIM Directorio Virtual Servicios,-102.2550007,21.8575533
,Cruz Roja,Salud,no disponible,OIM Directorio Virtual Servicios,-102.3032217,21.8613155
,Servicio Nacional de Empleo Aguascalientes,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.2983128,21.8589705
,Proyecto Habesha,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.3002149,21.8807825
,IEA Instituto de Educación de Aguascalientes,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.2536985,21.8719461
,Instituto para la Educación de las Personas Jóvenes y Adultas (INEPJA),Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.2971792,21.8699055
,Instituto Aguascalentense de la Juventud,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.2628415,21.8696464
,Oficina de Atención al Migrante,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.294916,21.8782219
,Instituto Nacional de Migración¬†,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.3264611,21.9400366
,Secretaría de Bienestar,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-102.2794489,21.8384489
,Comisión Estatal de Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-102.3023486,21.8644747
,Instituto Federal de la Defensoría Pública (IFDP),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-102.3051088,21.8590472
,Instituto de Asesoría y Defensoría Pública del Estado de Aguascalientes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-102.2902495,21.8855849
,Fiscalía General del Estado,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-102.282492,21.880829
,Bomberos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-102.2553556,21.8750136
,ACNUR La Agencia de la ONU para los Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-102.2949742,21.8782219
,Aeropuerto Internacional de Aguascalientes,Transporte,no disponible,OIM Directorio Virtual Servicios,-102.3162276,21.701298
,Terminal de autobuses Aguascalientes,Transporte,no disponible,OIM Directorio Virtual Servicios,-102.2989623,21.8657368
,Colectivo SERGAY de Aguascalientes A. C. ,LGBTQ,no disponible,OIM Directorio Virtual Servicios,-102.2717588,21.8741711
,Comedor de Caritas A.C. ,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-94.8870046,17.9258019
,Casa del Migrante Monseñor Guillermo Ranzahuer,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-94.9017573,17.9326714
,ACNUR Agencia de la ONU para los Regufiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9162539,17.9535286
,Asylum Access ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9187904,17.9551804
,RET,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9189622,17.9553111
,"Procuraduría Municipal de Protección a Niilas, Niilos y Adolescentes","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-94.921806,17.9526937
,"Procuraduría Municipal de Protección a Ninas, Niíios y Adolescentes","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-94.8979305,17.9279498
,Instituto Municipal de la Mujer,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-94.9140116,17.9489541
,Estación Migratoria de Acayucan - INM - Instituto Nacional de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9217003,18.0017518
,COMAR - Comisión Mexicana de Ayuda a Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9222498,18.0016465
,Dirección Municipal de Atención a Migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9136816,17.9489039
,Fiscalía Especializada en Atención a Migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9137246,17.948613
,Consulado de Honduras en Acayucan,Consulados,no disponible,OIM Directorio Virtual Servicios,-94.9140625,17.9486538
,Consulado de EI Salvador,Consulados,no disponible,OIM Directorio Virtual Servicios,-94.9103659,17.9565032
,Consulado de Guatemala ,Consulados,no disponible,OIM Directorio Virtual Servicios,-94.9085382,17.950305
,Hospital Oluta Acayucan,Salud,no disponible,OIM Directorio Virtual Servicios,-94.9057116,17.9325805
,Cruz Roja Delegación Acayucan,Salud,no disponible,OIM Directorio Virtual Servicios,-94.9119019,17.9478892
,Central Camionera de Acayucan,Transporte,no disponible,OIM Directorio Virtual Servicios,-94.9047638,17.9479436
,Cancha la Malinche ,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-94.9065636,17.9320265
,"Unidad Deportiva ""El Greco""",Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-94.9209507,17.9366139
,Casa De La Cultura,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-94.9109158,17.9434801
,Comisión Estatal de Derechos Humanos - Delegación √âtnica Acayucan,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-94.9109558,17.950808
,"Centro de capacitación y comedor
comunitario",Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-86.828961,21.164304
,Instituto Nacional de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8242232,21.1633073
,Dirección de la Coordinación de Registro Civil en Cancún,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8280649,21.161914
,Sistema para el Desarrollo Integral de la Familia (DIF),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8676262,21.1627212
,Delegación de la Secretaria de Relaciones Exteriores,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8242135,21.1587674
,Secretaria de Bienestar,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.829181,21.1648091
,"Centro Especializado para la
Atención a la Violencia (CEAV)","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8382039,21.194886
,Comisión Ejecutiva de Atención a Víctimas (CEAVE),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8563519,21.1467667
,Instituto Federal de Defensoría Pública,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8537741,21.1481061
,Comisión Estatal de Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-86.8265334,21.1535593
,"Instituto Quintanarroense de la Mujer
(IQM)","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-86.8241068,21.1677611
,Centro de Justicia para las Mujeres de Cancún¬†,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-86.862792,21.1628257
,Fiscalía Especializada para la Atención de Delitos contra la Mujer y por razones de G√©nero¬†,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-86.8632886,21.1629238
,Servicio Estatal de Empleo y Capacitación para el Trabajo,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-86.8377789,21.1541099
,Centro de Capacitación para el Trabajo Industrial (CECATI) 119,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-86.8545789,21.1640206
,"Instituto Estatal para la Educación de
Jóvenes y Adultos (IEEA)",Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-86.892417,21.148613
,Secretaria de Educación y Cultura,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-86.8210082,21.1696842
,"Hospital General De Cancún ""Jesús Kumate Rodriguez""",Salud,no disponible,OIM Directorio Virtual Servicios,-86.8763503,21.1961633
,Central de Autobuses,Transporte,no disponible,OIM Directorio Virtual Servicios,-86.8266457,21.164339
,Aeropuerto Internacional de Cancún,Transporte,no disponible,OIM Directorio Virtual Servicios,-86.8740062,21.0417033
,Mercado 28,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-86.8344996,21.1612911
,Instituto de la Cultura y las Artes,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-86.8272461,21.1694938
,Casa de Cultura Cancún,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-86.8334732,21.1524524
,Procuraduría de la Defensa del Trabajo,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-88.2948119,18.5048083
,"Fiscalía especializada en delitos
cometidos en contra de los migrantes","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-88.395465,18.4934448
,Comisión Estatal de los Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-88.3098807,18.5056957
,"Grupos Especializados de Atención a
la Violencia de G√©nero (GEAVIG)","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-88.3055254,18.5412705
,Instituto Nacional De Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-88.3314752,18.5039935
,Hospital General de Chetumal,Salud,no disponible,OIM Directorio Virtual Servicios,-88.3040718,18.5170703
,Hospital Materno Infantil Morelos,Salud,no disponible,OIM Directorio Virtual Servicios,-88.298131,18.5020859
,Instituto Quintanarroense de la Mujer,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-88.3071064,18.4968688
,"Unidad de Especialidad M√©dica para
la Detección y Diagnóstico del Cáncer
de Mama (UNEME)","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-88.3468928,18.5078414
,DIF Municipal¬†,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-88.3049895,18.4971866
,"Club de la Tercera Edad Antonia
Madrid Viuda de Villanueva","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-88.2892481,18.5077304
,Instituto Nacional del Adulto Mayor (INAPAM),"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-88.3093464,18.5081598
,Servicio Estatal del Empleo y Capacitación para el Trabajo,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-88.2947944,18.5045097
,Museo de la Ciudad de Chetumal,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-88.2966366,18.5014723
,Museo de la Cultura Maya,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-88.2954615,18.5039678
,Mercado Lazaro Cardenas,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-88.2891517,18.514348
,Mercado Municipal Chetumal,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-88.2961093,18.5035249
,"Ventanilla √önica de Atención a
Migrantes","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-88.3043312,18.4976244
,Terminal de Autobuses de Chetumal,Transporte,no disponible,OIM Directorio Virtual Servicios,-88.3135849,18.5188127
,Aeropuerto Internacional de Chetumal,Transporte,no disponible,OIM Directorio Virtual Servicios,-88.3242963,18.5063952
,La Panza Es Primero,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-99.1018578,19.3950474
,Centro de Justicia para las Mujeres de la Ciudad de M√©xico,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1853858,19.500868
,Centro de Justicia para las Mujeres de la Ciudad de M√©xico -¬†Iztapalapa ,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-98.9967294,19.3430274
,Centro de Atención a la violencia Intrafamiliar C.A.V.I.,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1477185,19.4242043
,Fiscalía Especial Para Los Delitos De Violencia Contra Las Mujeres Y Trata De Personas,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1755039,19.4259855
,Secretaría de las Mujeres de la Ciudad de M√©xico,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1489664,19.4319583
,Salud Integral Para La Mujer/SIPAM,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1469215,19.3584762
,Vifac CDMX,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1914825,19.353301
,ADIVAC,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1591847,19.4490524
,Agencias del Ministerio Público Especializada en Delitos Sexuales,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1649836,19.425347
,Agencias del Ministerio Público Especializada en Delitos Sexuales,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1119607,19.4202269
,Agencias del Ministerio Público Especializada en Delitos Sexuales,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.0410315,19.3819229
,Agencias del Ministerio Público Especializada en Delitos Sexuales,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1465851,19.4843399
,Agencias del Ministerio Público Especializada en Delitos Sexuales,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1476366,19.4244238
,Centro de Terapia de Apoyo a Víctimas de Delitos Sexuales - FGJCDMX,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1610558,19.3811871
,Centro Cultural Jauría Trans,LGBTQ,no disponible,OIM Directorio Virtual Servicios,-99.1563611,19.4166225
,UNADIS ‚ÄúEspacia Arcosiris‚Äù,LGBTQ,no disponible,OIM Directorio Virtual Servicios,-99.1552242,19.4009162
,Centro Comunitario de Atención a la Diversidad Sexual,LGBTQ,no disponible,OIM Directorio Virtual Servicios,-99.16407,19.4271088
,Centros de Estancia Transitoria para Niños y Niñas,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1473557,19.4236291
,Defensoría de los Derechos de la Infancia - DIF,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1627104,19.3654832
,REDIM Red por los Derechos de la Infancia en Mexico,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1629498,19.3609104
,Procudaduría Federal de Protección de NNA,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1585382,19.3666437
,Instituto para el Envejecimiento Digno (INED),"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-99.1335522,19.4190858
,Comisión Nacional de los Derechos Humanos de M√©xico (CNDH),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.2205517,19.3217777
,Consejo para Prevenir y Eliminar la Discriminación de la Ciudad de M√©xico - COPRED,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1517443,19.4294776
,Comisión de Derechos Humanos de la Ciudad de M√©xico - CDHCDMX,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1747784,19.3550495
,Consejo Nacional Para Prevenir la Discriminación - CONAPRED,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1697128,19.4229242
,CEAVI-Comisión Ejecutiva de Atención a Víctimas de la Ciudad de M√©xico,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1374683,19.4372945
,Agencia especializada para la atención de personas adultas mayores víctimas de violencia familiar,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1476366,19.4244238
,Consejo Ciudadano de Seguridad y Justicia de la Ciudad de M√©xico - CCSJCM,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1649836,19.425347
,Fiscalía General de Justicia de la CDMX,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1471914,19.4245285
,Fiscalía de Investigación de Delitos cometidos en agravio de grupos de Atención Prioritaria ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1476366,19.4244238
,Instituto Federal de Defensoría Pública,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1502992,19.4337905
,Fiscalía de Investigación de los delitos de materia de Trata de Personas ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1473881,19.4243727
,Agencia Especializada en Atención a Personas LGBTTTI+,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1476366,19.4244238
,Comisión Mexicana de Ayuda a Refugiados (COMAR),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1549989,19.4300651
,Instituto Nacional de Migración (INM),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.2028128,19.4379497
,Secretaría de Trabajo y Fomento al Empleo - STyFE,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1333393,19.4213098
,Instituto Nacional de Migración - INM - Oficinas Centrales,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.2113014,19.4368852
,INM - Estación Migratoria - Las Agujas,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.0832561,19.3162704
,Secretaría de Inclusión y Bienestar Social -SIBISO,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.13355,19.4191333
,Instituto de Atención a Poblaciones Prioritarias - IAPP,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.13355,19.4191333
,"ACNUR, Alto Comisionado de las Naciones Unidas para los Refugiados","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1806946,19.4311148
,"OIM, Organización Internacional para las Migraciones","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.2045732,19.4266104
,HIAS CDMX,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1805705,19.3994366
,Programa Casa Refugiados (PCR),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1840953,19.4006288
,Sin Fronteras IAP,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1944891,19.3770423
,"Clínica Jurídica Alaíde Foppa, Universidad Iberoamericana¬†","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.2638998,19.3697998
,"Asistencia y Orientación para la Movilidad Humana, Asmovilidad A.C","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1632014,19.3623376
,Adevi Centro de Apoyo Sociojurídico a Víctimas de Delito Violento,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1485071,19.4252581
,Centro de Atención a Riesgos Victímales y Adicciones,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1485436,19.4252432
,FGJCDMX CIVA Centro de Investigación Victimología y de Apoyo Operativo,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1459335,19.4193642
,Fortaleza IAP,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1245454,19.3847497
,IAPA -¬†Instituto para la Atención y Prevención de las Adicciones,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1721745,19.3602409
,Servicio Jesuita a Migrantes M√©xico (SJM-M√©xico),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.1608107,19.4220598
,Fundación Casa Alianza M√©xico I.A.P. Centro de Atención,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-99.142221,19.4433486
,Hospital General de M√©xico ‚ÄúDr. Eduardo Liceaga‚Äù,Salud,no disponible,OIM Directorio Virtual Servicios,-99.1520225,19.4129258
,Clínica Especializada Condesa,Salud,no disponible,OIM Directorio Virtual Servicios,-99.1823514,19.4089078
,"Clínica Especializada Condesa-Iztapalapa ""Dr. Jaime Sepúlveda Amor"" (CECI)",Salud,no disponible,OIM Directorio Virtual Servicios,-99.0511908,19.3568424
,INSTITUTO DE CAPACITACIòN PARA EL TRABAJO DE LA CIUDAD DE M√âXICO -ICAT,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-99.1331668,19.4212658
,Instituto Nacional de Educación para Adultos - INEA ,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-99.1809498,19.4124553
,"Programa Compañeros, A.C.",Salud,no disponible,OIM Directorio Virtual Servicios,-106.4600405,31.7340454
,Cruz Roja Mexicana,Salud,no disponible,OIM Directorio Virtual Servicios,-106.4474724,31.74107
