name,descripcion,latitud,longitud,coordenadas
 Centro Crecer Solidaridad ,,21.8498460003076,-102.24664387535933,"21.8498460003076, -102.24664387535933"
 Centro Crecer Primo Verdad ,,21.90958391933778,-102.31867463302804,"21.90958391933778, -102.31867463302804"
 Centro Crecer Mujeres Ilustres ,,21.847136945969073,-102.24771871768894,"21.847136945969073, -102.24771871768894"
 Centro Crecer Insurgentes ,,21.849452984826073,-102.2474071346029,"21.849452984826073, -102.2474071346029"
 Centro Crecer Pirules ,,21.867957960070594,-102.32034220419399,"21.867957960070594, -102.32034220419399"
 Centro Crecer Palomino Dena ,,21.91666694380956,-102.25113481768703,"21.91666694380956, -102.25113481768703"
 Centro Crecer Miravalle ,,21.891455218475574,-102.31107663118208,"21.891455218475574, -102.31107663118208"
 Centro Crecer Jesús Terán (Gómez Portugal) ,,21.873617961976475,-102.26526116288083,"21.873617961976475, -102.26526116288083"
 SEMIGRANTE (Vista Hermosa) ,,20.26309765,-102.48314072625244,"20.26309765, -102.48314072625244"
 SEMIGRANTE (Villamar) ,,20.018563133595375,-102.59582040467002,"20.018563133595375, -102.59582040467002"
 SEMIGRANTE (Venustiano Carranza) ,,19.833455777489085,-101.15956970859158,"19.833455777489085, -101.15956970859158"
 SEMIGRANTE (Uruapan) ,,19.424283090830855,-102.04815069076427,"19.424283090830855, -102.04815069076427"
 SEMIGRANTE (Tzitzio) ,,19.603468403364726,-100.92216454067527,"19.603468403364726, -100.92216454067527"
 SEMIGRANTE (Tzintzuntzan) ,,19.630649558600776,-101.57328852047527,"19.630649558600776, -101.57328852047527"
 SEMIGRANTE (Tuzantla) ,,19.207755440157094,-100.57300131775845,"19.207755440157094, -100.57300131775845"
 SEMIGRANTE (Tuxpan) ,,19.693669197078098,-101.17728210240551,"19.693669197078098, -101.17728210240551"
 SEMIGRANTE (Turicato) ,,19.05416284853995,-101.41933044844387,"19.05416284853995, -101.41933044844387"
 SEMIGRANTE (Tumbiscatio) ,,,,"(nan, nan)18.525716781883173, -102.37544550833935"
 SEMIGRANTE (Tlalpujahua) ,,19.8056240119838,-100.17260785510307,"19.8056240119838, -100.17260785510307"
 SEMIGRANTE (Tinguindin) ,,19.73975743464277,-102.48677846046292,"19.73975743464277, -102.48677846046292"
 SEMIGRANTE (Tingambato) ,,19.520444872741958,-101.84870273767092,"19.520444872741958, -101.84870273767092"
 SEMIGRANTE (Tepalcatepec) ,,19.191276742006306,-102.84388155854577,"19.191276742006306, -102.84388155854577"
 SEMIGRANTE (Tarímbaro) ,,19.760606643315857,-101.182317542887,"19.760606643315857, -101.182317542887"
 SEMIGRANTE (Taretan) ,,19.334906742917298,-101.91725690610744,"19.334906742917298, -101.91725690610744"
 SEMIGRANTE (Tanhuato) ,,20.317418235771505,-102.36460042763743,"20.317418235771505, -102.36460042763743"
 SEMIGRANTE (Tangancícuaro) ,,19.933325506032663,-102.21904516747676,"19.933325506032663, -102.21904516747676"
 SEMIGRANTE (Tangamandapio) ,,20.02419251722886,-102.42126415303194,"20.02419251722886, -102.42126415303194"
 SEMIGRANTE (Tancítaro) ,,17.994440449176533,-102.18794725342315,"17.994440449176533, -102.18794725342315"
 SEMIGRANTE (Tacámbaro) ,,19.235646979365235,-101.4576788637802,"19.235646979365235, -101.4576788637802"
 SEMIGRANTE (Susupuato) ,,19.230027032690764,-100.40361431479852,"19.230027032690764, -100.40361431479852"
 SEMIGRANTE (Senguio) ,,19.73350132299265,-100.35225207328463,"19.73350132299265, -100.35225207328463"
 SEMIGRANTE (Santa Ana Maya) ,,20.010094823576015,-101.02048356191426,"20.010094823576015, -101.02048356191426"
 SEMIGRANTE (San Lucas) ,,18.591277107020066,-100.78395824660869,"18.591277107020066, -100.78395824660869"
 SEMIGRANTE (Salvador Escalante) ,,19.418235839273642,-101.63978195057119,"19.418235839273642, -101.63978195057119"
 SEMIGRANTE (Sahuayo) ,,20.057363434787746,-102.71678691773693,"20.057363434787746, -102.71678691773693"
 SEMIGRANTE (Puruándiro) ,,20.088375251888184,-101.51533597540663,"20.088375251888184, -101.51533597540663"
 SEMIGRANTE (Purépero) ,,19.910254882695646,-102.0069323195872,"19.910254882695646, -102.0069323195872"
 SEMIGRANTE (Peribán) ,,19.530359251271122,-102.41623330011139,"19.530359251271122, -102.41623330011139"
 SEMIGRANTE (Penjamillo) ,,20.10447615767848,-101.93356520424143,"20.10447615767848, -101.93356520424143"
 SEMIGRANTE (Pátzcuaro) ,,19.513820271328946,-101.60972850241,"19.513820271328946, -101.60972850241"
 SEMIGRANTE (Paracuaro) ,,19.531108819115957,-101.6208292990805,"19.531108819115957, -101.6208292990805"
 SEMIGRANTE (Panindícuaro) ,,19.984271220670493,-101.76150437725572,"19.984271220670493, -101.76150437725572"
 Centro Crecer Jesús María Jonacatique ,,21.872729702898518,-102.27579643091512,"21.872729702898518, -102.27579643091512"
 Centro Crecer Guadalupe Peralta ,,21.867444876318494,-102.23908224467718,"21.867444876318494, -102.23908224467718"
 Centro Crecer Cosío ,,21.858954667350293,-102.25406339623915,"21.858954667350293, -102.25406339623915"
 Centro Crecer Tepezalá ,,22.219021619775926,-102.16424290233766,"22.219021619775926, -102.16424290233766"
 Enclave Caracol ,,32.537064302137814,-117.03604600198183,"32.537064302137814, -117.03604600198183"
 Programa de Repatriación Humana (Módulo Tijuana) ,,32.53808866962532,-117.03680867686685,"32.53808866962532, -117.03680867686685"
"Movimiento JUVENTUD2000, Secc. Tijuana A. C.",,32.54048862004563,-117.03932655965212,"32.54048862004563, -117.03932655965212"
" Federación de Asociaciones Cristianas de Jóvenes de la República Mexicana, A.C. ""Casas YMCA para menores Migrantes"" ",,32.51394462917329,-117.02124045411387,"32.51394462917329, -117.02124045411387"
 Centro Binacional de Derechos Humanos A.C. ,,32.50597599533705,-116.94976588180496,"32.50597599533705, -116.94976588180496"
 Instituto Madre Assunta ,,32.523784513320905,-117.00080550198237,"32.523784513320905, -117.00080550198237"
" Casa del Migrante en Tijuana, A.C. ",,32.522900536852624,-117.00166234615841,"32.522900536852624, -117.00166234615841"
" Agencia Familiar Binacional, AC (AFABI) ",,32.54132743314643,-117.01833588646353,"32.54132743314643, -117.01833588646353"
 Casa del Migrante Nuestra Señora de Guadalupe ,,32.52467067721813,-116.99979650668384,"32.52467067721813, -116.99979650668384"
" Casa de Oración del Migrante, A.C. ",,32.53060863004633,-116.99795485965251,"32.53060863004633, -116.99795485965251"
 INM Grupo Beta Mexicali ,,32.69302833969529,-115.49130311866628,"32.69302833969529, -115.49130311866628"
" Módulo Fronterizo ""Juntos en el Camino"" ",,32.62370025694043,-115.44284486059425,"32.62370025694043, -115.44284486059425"
 Grupo de Ayuda para el Migrante de Mexicali A.C. ,,32.65625302822536,-115.49834185226172,"32.65625302822536, -115.49834185226172"
 El camino a un Nuevo Amanecer ,,32.62655284800146,-115.36501956672195,"32.62655284800146, -115.36501956672195"
" Casa de Oración del Migrante, A.C. ",,32.609767272951366,-115.43368415942778,"32.609767272951366, -115.43368415942778"
 Centro de Derechos Humanos Fray Matías de Córdova CDHFMC ,,14.907333443702749,-92.26514191046743,"14.907333443702749, -92.26514191046743"
 Albergue Jesús el buen pastor ,,14.86570289342213,-92.31319493376516,"14.86570289342213, -92.31319493376516"
 Casa del Migrante Hogar de la Misericordia ,,16.26845702122753,-93.8885773471182,"16.26845702122753, -93.8885773471182"
 Programa YMCA de Desarrollo Comunitario y Asistencia Social. Casas YMCA para Menores Migrantes ,,31.73043212084702,-106.483347564748,"31.73043212084702, -106.483347564748"
 Casa del Migrante en Juárez A.C. ,,31.682095263781136,-106.377724846192,"31.682095263781136, -106.377724846192"
 Ejército de Salvación A.C. Centro Comunitario y Comedor Infantil ,,28.70883553513272,-100.52151680212825,"28.70883553513272, -100.52151680212825"
" Casa YMCA Piedras Negras Programa YMCA de Desarrollo Comunitario y Asistencia Social, A.C. ",,28.7112548731137,-100.518187705821,"28.7112548731137, -100.518187705821"
 CAFEMIN ,,19.463990642966152,-99.1300830177521,"19.463990642966152, -99.1300830177521"
 Pro Ayuda a la Mujer Origen A.C. ,,19.420303521338372,-99.20532621959964,"19.420303521338372, -99.20532621959964"
" Casa Refugiados, AC ",,19.409981573029803,-99.1564446772703,"19.409981573029803, -99.1564446772703"
 Instituto de Liderazgo Simone de Beauvoir (ILSB) ,,19.41987063241683,-99.15640170241237,"19.41987063241683, -99.15640170241237"
 Fundación Fraternidad Sin Frontera IAP ,,19.301021269355196,-99.10092886008574,"19.301021269355196, -99.10092886008574"
" Iniciativa Ciudadana y Desarrollo Social, AC (Incide Social) ",,19.384151957378783,-99.14045527357807,"19.384151957378783, -99.14045527357807"
 Adolescentes en el Camino ,,19.474350054778117,-99.18267886919634,"19.474350054778117, -99.18267886919634"
" Asociación Mexicana Pro Naciones Unidas, AC ",,19.371541003714587,-99.19381940426003,"19.371541003714587, -99.19381940426003"
 The Rhizome Center for Migrants ,,20.608512536167282,-103.3481204436785,"20.608512536167282, -103.3481204436785"
 Fundación Loyola A.C ,,19.42209962977828,-99.16047263735624,"19.42209962977828, -99.16047263735624"
 Casa del migrante Galilea ,,21.10733877155145,-101.6820344195557,"21.10733877155145, -101.6820344195557"
 Servicios para una educación alternativa A.C. (EDUCA) ,,17.081765405987426,-96.70567366780813,"17.081765405987426, -96.70567366780813"
 HIAS Cd. Juárez ,,31.74619642917563,-106.46028831550784,"31.74619642917563, -106.46028831550784"
 HIAS Nuevo Laredo ,,27.485424149052818,-99.55008878604394,"27.485424149052818, -99.55008878604394"
 HIAS Matamoros ,,25.879498459049987,-97.50376068873129,"25.879498459049987, -97.50376068873129"
 SMR: Scalabrinianas Misión con Migrantes y Refugiados en Tapachula ,,14.90972013237344,-92.25802442950108,"14.90972013237344, -92.25802442950108"
