"ciudad","tipo","name","description","geometry_str","Tipo","Name","Description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","descripci__n","Metro_cercano","Tel__fono","Horario","Descripci__n","Horario_atenci__n","Descrici__n"
NA,NA,NA,"Actividades recreativas al aire libre.	<br><br>Calle Jesús F. Contreras S/N, Barrio de San Marcos.	<br><br>	Lunes a domingo, 8:00 - 20:00 hrs.","c(-102.303231, 21.8795807, 0)","Compras / Cultura y Recreación","Jardín de San Marcos",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Actividades recreativas al aire libre y área protección a las especies en peligro de extinción.	<br><br>Blvd. José María Chávez No. 1801, Desarrollo Especial Villa Asunción.	<br><br>449 978 5106	<br><br>Martes a domingo 9:00 - 18:00 hrs.","c(-102.2915138, 21.8516852, 0)","Compras / Cultura y Recreación","Parque Rodolfo Landeros",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Práctica de fútbol, básquetbol, voleibol, tenis, gimnasio al aire libre, ciclo pista, pista para corredores y pista de patinaje.<br><br>Avenida Paseo de Ojocaliente No.5, Desarrollo Especial Parque Ecológico el Cedazo.	<br><br>449 974 1167	<br><br>Martes a domingo 9:00 - 18:00 hrs.","c(-102.2563303, 21.8686361, 0)","Compras / Cultura y Recreación","Parque Ecologico El Cedazo",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Brinda apoyo y servicio a las mujeres, así como a sus hijos e hijas, víctimas de los delitos relacionados con la violencia de género.	<br><br>Avenida Aguascalientes Ote. LB, Col. El Cedazo. <br><br>449 974 8231	<br><br>Abierto 24 hrs.","c(-102.2528075, 21.8668426, 0)","Mujeres","Centro de Justicia para Mujeres",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Programas que buscan la igualdad de género prevención de la violencia contra las mujeres.	<br><br>Avenida Manuel Gómez Morín S/N, Col. Ferronales.	<br><br>(449) 9102128	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.2806974, 21.889146, 0)","Mujeres","Instituto Aguascalentense de la Mujer",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Asesoría jurídica y piscosocial para las mujeres.	<br><br>Calle Pedro Parga No. 247, Centro.<br><br>(449) 9157439	<br><br>Lunes a viernes, 8:00 - 15:00 hrs.","c(-102.2919403, 21.8850228, 0)","Mujeres","Instituto Municipal de la Mujer de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Programas para adultos mayores, personas con discapacidad, jóvenes, niñas, niños, y de integración familiar en el municipio de Aguascalientes.	<br><br>Avenida Universidad No. 612, Col. Primo Verdad.	<br><br>449 914 4930<br><br>Lunes a viernes, 8:00 - 15:30 hrs.","c(-102.310767, 21.908612, 0)","Niñez y juventud","DIF Municipal de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Programas para adultos mayores, personas con discapacidad, jóvenes, niñas, niños, y de integración familiar en todo el estado de Aguascalientes.	<br><br>Avenida de la Convención esquina con Avenida de los Maestros, Col. España.	<br><br>449 910 2020 ext. 500	<br><br>Lunes a viernes, 8:00 - 15:30 hrs.","c(-102.309394, 21.8676712, 0)","Niñez y juventud","DIF Estatal Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Proporciona orientación social y asistencia jurídica a niñas, niños y adolescentes. <br><br>	Avenida de la Convención esquina con Avenida de los Maestros, Col. España.	<br><br>449 910 2585, ext. 6561	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.3095092, 21.8678745, 0)","Niñez y juventud","Procuraduría de Protección de Niñas, Niños y Adolescentes ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Da oportunidades educativas y de recreación a las personas jóvenes.	<br><br>Avenida Francisco I. Madero No. 114, Centro.	<br><br>449 978 2846 / 449 978 2846<br><br>Lunes a viernes, 8:00 - 15:00 hrs.","c(-102.295057, 21.8815815, 0)","Niñez y juventud","Instituto Municipal de la Juventud",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Medicina interna, pediatría, epidemiología, diagnóstico, psicología.	<br><br>Avenida Ferrocarril S/N, Alameda.	<br><br>449 994 6720	<br><br>Abierto 24 hrs.","c(-102.2825251, 21.8947652, 0)","Salud","Centenario Hospital Miguel Hidalgo",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Brinda seguridad social, establecido como un servicio público de carácter nacional, para todos los trabajadores y trabajadoras y sus familias.	<br><br>Calle República de Ecuador No. 205, Col. Obraje.	<br><br>449 912 0803	<br><br>Lunes a viernes, 8:00 - 15:30 hrs.","c(-102.2969018, 21.8704618, 0)","Salud","Instituto Mexicano del Seguro Social (IMSS)",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Antención psicológica, pruebas de VIH.<br><br>Calle Artillero Mier No. 903, Col. Morelos.	<br><br>449 977 2060	<br><br>Lunes a viernes, 9:00 - 15:00 hrs.","c(-102.2550007, 21.8575533, 0)","Salud","Centro Ambulatorio para la Prevenciòn y Atención del VIH/SIDA (CAPASITS)",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Atención médica básica.	<br><br>Calle Dr. E. González Medina No. 104, Col. El Dorado 1ra Secc. <br><br>	449 916 5855	<br><br>Abierto 24 hrs.","c(-102.3032217, 21.8613155, 0)","Salud","Cruz Roja",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Facilita la vinculación entre ofertas y demandas deempleo, orienta a los buscadores de empleo.	<br><br>Avenida Aguascalientes No. 3214, Fraccionamiento Prados del Sur.	<br><br>449 971 9401	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2983128, 21.8589705, 0)","Institucion pública / Educación / Empleo","Servicio Nacional de Empleo Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Oportunidades de educación superior a jóvenes refugiados de cualquier nacionalidad.<br><br>Calle Gral. Ignacio Allende No. 304, Centro.	<br><br>554 403 2382","c(-102.3002149, 21.8807825, 0)","Institucion pública / Educación / Empleo","Proyecto Habesha",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Servicios educativos para estudiantes.	<br><br>Avenida Aguascalientes No. 601, Col. Ojocaliente.	<br><br>449 910 2020 ext. 5001	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2536985, 21.8719461, 0)","Institucion pública / Educación / Empleo","IEA Instituto de Educación de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ayuda a las personas jóvenes y adultas a retomar estudios o actividades para la formación productiva.	<br><br>Calle Ecuador No. 202, Col. Obraje.	<br><br>449 910 3100	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2971792, 21.8699055, 0)","Institucion pública / Educación / Empleo","Instituto para la Educación de las Personas Jóvenes y Adultas (INEPJA)",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ofrece oportunidades en las que participen las y los jóvenes que les ayuden a progresar y tener certeza sobre el futuro.	<br><br>Avenida Paseo de Ojocaliente No.556, Col. Gómez Portugal.	<br><br>449 910 2141 ext. 6804	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2628415, 21.8696464, 0)","Institucion pública / Educación / Empleo","Instituto Aguascalentense de la Juventud",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Oficina encargada de atención a población migrante retornada y canalización.<br><br>Calle Cristóbal Colón No. 309, Barrio del Encino, Centro.	<br><br>449 916 4476	<br><br>Lunes a viernes, 8:30 - 15:00 hrs.","c(-102.294916, 21.8782219, 0)","Institucion pública / Educación / Empleo","Oficina de Atención al Migrante",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Trámites migratorios, regularización migratoria.	<br><br>Calle Lic. Miguel de la Madrid No. 2790, Col. Corral de Barroso, Jesús María.	<br><br>449 915 6069	<br><br>Lunes a viernes, 9:00 - 13:00 hrs.","c(-102.3264611, 21.9400366, 0)","Institucion pública / Educación / Empleo","Instituto Nacional de Migración ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Promueve programas sociales para apoyar a las personas que los necesitan.	<br><br>Avenida Julio Díaz Torre No. 110, Col. Ciudad Industrial.	<br><br>449 971 0271<br><br>Lunes a viernes, 9:00 - 19:00 hrs.","c(-102.2794489, 21.8384489, 0)","Institucion pública / Educación / Empleo","Secretaría de Bienestar",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Protección, defensa, observancia, promoción, estudio, divulgación de los derechos humanos y recepción de quejas.	<br><br>Calle República del Perú No. 502, Col. Jardines de Santa Elena.	<br><br>449 140 7870<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.3023486, 21.8644747, 0)","Justicia / Derechos Humanos / Seguridad","Comisión Estatal de Derechos Humanos",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Defensa pública en materia penal y el acceso a la justicia mediante la orientación, asesoría y representación jurídica en materia administrativa, fiscal, civil y de causas penales.	<br><br>Avenida Aguascalientes Sur No. 603, ala norte, planta baja, Fraccionamiento Jardines de Aguascalientes.	<br><br>449 971 3989	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.3051088, 21.8590472, 0)","Justicia / Derechos Humanos / Seguridad","Instituto Federal de la Defensoría Pública (IFDP)",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Defensa pública en materia penal y el acceso a la justicia mediante la orientación, asesoría y representación jurídica en materia administrativa, fiscal, civil y de causas penales.	<br><br>Calle Vázquez del Mercado No. 101, Centro.	<br><br>449 915 2988	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.2902495, 21.8855849, 0)","Justicia / Derechos Humanos / Seguridad","Instituto de Asesoría y Defensoría Pública del Estado de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Se encarga de investigar los delitos denuciadoa ante las autoridades.	<br><br>Avenida Héroes de Nacozari No. 201, Barrio de la Purísima.	<br><br>(449) 4782800	<br><br>Abierto 24 hrs.","c(-102.282492, 21.880829, 0)","Justicia / Derechos Humanos / Seguridad","Fiscalía General del Estado",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Control de incendios y fugas de gas.	<br><br>Avenida Aguascalientes Ote. No. 308, Desarrollo Especial Ojocaliente.<br><br>	449 970 0065 / 449 970 3939	<br><br>Abierto 24 hrs.","c(-102.2553556, 21.8750136, 0)","Justicia / Derechos Humanos / Seguridad","Bomberos",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Asistencia humanitaria, orientación, programas de integración para personas que huyen de sus países y que no pueden volver porque su vida o seguridad corren peligro.	<br><br>Calle Cristóbal Colón No. 309, Barrio del Encino, Centro.	<br><br>449 906 8438	<br><br>Lunes a viernes de 8:00 a 15:00 hrs.","c(-102.2949742, 21.8782219, 0)","Organismos Internacionales","ACNUR La Agencia de la ONU para los Refugiados",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Servicio de transporte aéreo nacional e internacional.	<br><br>Carretera Panamericana Km. 22, Buenavista de Peñuelas.	<br><br>449 918 2806<br><br>Abierto 24 hrs.","c(-102.3162276, 21.701298, 0)","Transporte","Aeropuerto Internacional de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Servicio de transporte.	<br><br>Avenida Convención de 1914 Sur No. 408, Col. Las Américas.	<br><br>449 978 2224	<br><br>Abierto 24 hrs.","c(-102.2989623, 21.8657368, 0)","Transporte","Terminal de autobuses Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Antención psicológica, pruebas de VIH/SIDA a personas LGBTI a bajo costo.	<br><br>Calle Pirúl No. 102, Col. Jardines de la Crúz.	<br><br>(449) 1469157	<br><br>Lunes a viernes, 10:00 - 15:00 hrs y 17:00 - 21:00 hrs.","c(-102.2717588, 21.8741711, 0)","LGBTI","Colectivo SERGAY de Aguascalientes A. C. ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Miguel Hidalgo, esquina calle 2, Oluta. <br><br>Lunes a domingo, 9:00 a.m. -5:00 p.m. ","c(-94.8870046, 17.9258019, 0)","Albergue y Alimentación","Comedor de Caritas A.C. ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T. 924 247 7394","c(-94.9017573, 17.9326714, 0)","Albergue y Alimentación","Casa del Migrante Monseñor Guillermo Ranzahuer",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Prolongación Lerdo de Tejada S/N esquina con Vázquez Gómez, Cal. Villalta, Acayucan. <br><br>T. 	924 106 4616 1 <br><br>Lunes a viernes, 8:30 a.m. -4:00 p.m. ","c(-94.9162539, 17.9535286, 0)","Organismos Internacionales y de la Sociedad Civil","ACNUR Agencia de la ONU para los Regufiados",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Juan de la Luz Enríquez No. 701-E, Cal. Barrio La Palma, Acayucan. <br><br>T. 	924 245 9100 y 924 249 0773 <br><br>Lunes y miércoles, 9:00 a.m. -2:00 p.m. y 3:00 -5:00 p.m. Martes, jueves y viernes atención con cita. ","c(-94.9187904, 17.9551804, 0)","Organismos Internacionales y de la Sociedad Civil","Asylum Access ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Juan de la Luz Enríquez No. -701 E, Cal. Barrio La Palma, Acayucan. <br><br>T. 	934 348 3374 <br><br>Lunes y miércoles, 9:00 a.m. -2:00 p.m. y 3:00 -5:00 p.m. Martes, jueves y viernes atención con cita. ","c(-94.9189622, 17.9553111, 0)","Organismos Internacionales y de la Sociedad Civil","RET",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"amón Carona y Benito Juárez, Cal. La Palma, Acayucan. <br><br>Dentro dei DIF Municipal. <br><br>T. 	924 244 8809 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. ","c(-94.921806, 17.9526937, 0)","Niñez","Procuraduría Municipal de Protección a Niilas, Niilos y Adolescentes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Juárez 5/N, Cal. Centro, Oluta. AI interior del Dispensaria Médico. <br><br>T. 	924 245 8962 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. ","c(-94.8979305, 17.9279498, 0)","Niñez","Procuraduría Municipal de Protección a Ninas, Niíios y Adolescentes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Palacio Municipal de Acayucan, Cal. Centro, Acayucan. <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. ","c(-94.9140116, 17.9489541, 0)","Mujeres","Instituto Municipal de la Mujer",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T. 924 247 9170 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. y 4:00 -6:00 p.m. ","c(-94.9217003, 18.0017518, 0)","Instituciones Públicas","Estación Migratoria de Acayucan - INM - Instituto Nacional de Migración",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T. (55) 5209 8800 Ext. 37062 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. y 4:00 -6:00 p.m. ","c(-94.9222498, 18.0016465, 0)","Instituciones Públicas","COMAR - Comisión Mexicana de Ayuda a Refugiados",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Palacio Municipal de Acayucan, Cal. Centro, Acayucan. <br><br>T. 924 106 4499 <br><br> Lunes a viernes, 9:00 a.m. -3:00 p.m.","c(-94.9136816, 17.9489039, 0)","Instituciones Públicas","Dirección Municipal de Atención a Migrantes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T. 924 106 4499 <br><br>Lunes a viernes, 9:00 a.m. -5:00 p.m","c(-94.9137246, 17.948613, 0)","Instituciones Públicas","Fiscalía Especializada en Atención a Migrantes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Palacio Municipal de Acayucan, Planta baja, Cal. Centro, Acayucan.<br><br>T. 924 245 3524<br><br>Lunes a viernes, 9:00 a.m. - 5:00 p.m.","c(-94.9140625, 17.9486538, 0)","Consulados","Consulado de Honduras en Acayucan",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Melchor Ocampo Norte No. 1212, Cal. Villalta, Acayucan. <br><br>T. 924 244 9243 1 924 245 5287 y 01 800 747 6117 <br><br>Lunes a domingo antes de las 9:00 p.m., pueden comunicarse con su familia. Linea 724: (045) 229 904 1881 <br><br>Lunes a viernes, 8:30 a.m. -4:30 p.m. ","c(-94.9103659, 17.9565032, 0)","Consulados","Consulado de EI Salvador",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"lndependencia No. 609, esquina Altamirano, Barrio Zapotal, Acayucan. <br><br>T. 	924 244 9156 <br><br>Lunes a viernes, 9:00 a.m. -5:00 p.m. ","c(-94.9085382, 17.950305, 0)","Consulados","Consulado de Guatemala ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Carretera Acayucan-Oluta Km 1.13, Cal. Olmeca, Oluta. 24 hrs. ","c(-94.9057116, 17.9325805, 0)","Salud","Hospital Oluta Acayucan",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T. 924 245 0028 1 24 hrs. ","c(-94.9119019, 17.9478892, 0)","Salud","Cruz Roja Delegación Acayucan",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T. 	924 245 0046 <br><br>24 hrs. ","c(-94.9047638, 17.9479436, 0)","Transporte","Central Camionera de Acayucan",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Carretera Acayucan-Oluta Km 1.13, Cal. Olmeca, Oluta. <br><br>T. 924 245 0013, 924 245 0085 y 924 245 1814 Ext. 132 <br><br>Lunes a domingo, 6:00 a.m. -10:00 p.m. ","c(-94.9065636, 17.9320265, 0)","Deporte y Cultura","Cancha la Malinche ",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"T.	 924 245 0013, 924 245 0085 y 924 245 1814 Ext. 132 <br><br>Lunes a domingo, 6:00 a.m. - 10:00 p.m. ","c(-94.9209507, 17.9366139, 0)","Deporte y Cultura","Unidad Deportiva ""El Greco""",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Melchor Ocampo No. 52, Cal. Nuevo, Acayucan.<br><br>T. 	924 245 0013 <br><br>Lunes a domingo, 8:30 a.m. -4:00 p.m. ","c(-94.9109158, 17.9434801, 0)","Deporte y Cultura","Casa De La Cultura",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"9242459055","c(-94.9109558, 17.950808, 0)","Derechos Humanos","Comisión Estatal de Derechos Humanos - Delegación Étnica Acayucan",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Centro de capacitación, educación básica,<br>formación para el trabajo y comedor<br>público. Servicios para mayores de edad.<br><br>998 255 1515<br><br>Lunes a viernes, 11:00 am a 2:00 pm.","c(-86.828961, 21.164304, 0)","Alimentación","Centro de capacitación y comedor
comunitario",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Espacio para realizar trámites migratorios<br>incluyendo presentar la solicitud de<br>condición de refugiado y solicitar las tarjetas<br>de residencia o visitante.<br><br>998 881 3560<br><br>Lunes a viernes, 09:00 am a 1:00 pm","c(-86.8242232, 21.1633073, 0)","Instituciones Públicas","Instituto Nacional de Migración",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Registro de nacimiento, matrimonio,<br>divorcio o defunción y otros actos civiles. <br><br>998 881 2800 Ext. 7502<br><br>Lunes a viernes, 08:30 am a 6:00 pm.","c(-86.8280649, 21.161914, 0)","Instituciones Públicas","Dirección de la Coordinación de Registro Civil en Cancún",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Atención a población vulnerable, primordialmente<br>niñas, niños, adolescentes, mujeres, personas<br>adultas mayores y personas con discapacidad.<br>Albergue infantil para niñez migrante.<br><br>988 888 8921 o 22 Ext. 331.<br><br>Lunes a viernes, 07:00 am a 8:00 pm.","c(-86.8676262, 21.1627212, 0)","Instituciones Públicas","Sistema para el Desarrollo Integral de la Familia (DIF)",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
