,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 2.1,subtotal 12,presentados total,canalizados total,total
12,"Calakmul, Campeche",18.1073406,-89.80832803981309,municipio,"Los Cabos, BCS",2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,17.0,0.0,17.0,2.0,0.0,2.0,21.0,0.0,21.0,6.0,1.0,7.0,57.0,1.0,58.0
13,"Calkiní, Campeche",20.3695121,-90.0510784,municipio,"Calakmul, Camp.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,13.0,44.0,72.0,41.0,113.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,8.0,6.0,14.0,21.0,11.0,32.0,134.0,77.0,211.0
14,"Campeche, Campeche",19.0,-90.5,municipio,"Calkiní, Camp.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,"Carmen, Campeche",18.651739,-91.81492,municipio,"Campeche, Camp.",2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,78.0,23.0,101.0,20.0,26.0,46.0,18.0,43.0,61.0,25.0,36.0,61.0,59.0,40.0,99.0,15.0,15.0,30.0,17.0,4.0,21.0,7.0,0.0,7.0,243.0,187.0,430.0
16,"Champotón, Campeche",19.3439655,-90.7242742,municipio,"Carmen, Camp.",21.0,4.0,25.0,0.0,7.0,7.0,14.0,0.0,14.0,29.0,0.0,29.0,48.0,10.0,58.0,3.0,0.0,3.0,31.0,3.0,34.0,30.0,14.0,44.0,9.0,23.0,32.0,4.0,9.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,190.0,70.0,260.0
17,"Escárcega, Campeche",18.606934,-90.7385823,municipio,"Champotón, Camp.",0.0,0.0,0.0,0.0,0.0,0.0,47.0,17.0,64.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,51.0,5.0,24.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,44.0,149.0
18,"Palizada, Campeche",18.2549484,-92.0907089,municipio,"Escárcega, Camp.",4.0,1.0,5.0,0.0,0.0,0.0,12.0,0.0,12.0,62.0,15.0,77.0,48.0,12.0,60.0,32.0,23.0,55.0,79.0,67.0,146.0,163.0,93.0,256.0,342.0,147.0,489.0,319.0,177.0,496.0,312.0,135.0,447.0,315.0,166.0,481.0,1688.0,836.0,2524.0
19,"Seybaplaya, Campeche",19.60337225,-90.62536695555148,municipio,"Palizada, Camp.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,21.0
20,"Tenabo, Campeche",20.0406607,-90.2254956,municipio,"Seybaplaya, Camp.",0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,13.0
21,"Acacoyagua, Chiapas",15.4060577,-92.6972939305788,municipio,"Tenabo, Camp.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,21.0
22,"Arriaga, Chiapas",16.2344709,-93.9008414,municipio,"Acacoyagua, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
23,"Berriozábal, Chiapas",16.871689449999998,-93.33707618047065,municipio,"Acapetahua, Chis.",810.0,187.0,997.0,1306.0,277.0,1583.0,437.0,95.0,532.0,17.0,11.0,28.0,327.0,135.0,462.0,382.0,261.0,643.0,555.0,149.0,704.0,3.0,106.0,109.0,197.0,167.0,364.0,158.0,247.0,405.0,223.0,207.0,430.0,32.0,31.0,63.0,4447.0,1873.0,6320.0
24,"Catazajá, Chiapas",17.76826375,-92.03793125285311,municipio,"Arriaga, Chis.",285.0,104.0,389.0,429.0,287.0,716.0,737.0,283.0,1020.0,190.0,50.0,240.0,1251.0,419.0,1670.0,1375.0,918.0,2293.0,1475.0,1170.0,2645.0,1.0,1430.0,1431.0,1188.0,1108.0,2296.0,1570.0,970.0,2540.0,1752.0,1280.0,3032.0,522.0,947.0,1469.0,10775.0,8966.0,19741.0
25,"Chenalhó, Chiapas",16.971716100000002,-92.51921237690784,municipio,"Berriozábal, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,121.0,141.0
26,"Chiapa de Corzo, Chiapas",16.7075202,-93.0115045,municipio,"Catazajá, Chis.",57.0,16.0,73.0,103.0,43.0,146.0,184.0,64.0,248.0,183.0,66.0,249.0,129.0,91.0,220.0,65.0,33.0,98.0,44.0,33.0,77.0,59.0,16.0,75.0,21.0,40.0,61.0,184.0,170.0,354.0,229.0,140.0,369.0,28.0,54.0,82.0,1286.0,766.0,2052.0
27,"Chicomuselo, Chiapas",15.7935524,-92.41926620137892,municipio,"Chanal, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
28,"Cintalapa de Figueroa, Chiapas",16.6905402,-93.7257625,municipio,"Chiapa de Corzo, Chis.",417.0,63.0,480.0,261.0,30.0,291.0,284.0,33.0,317.0,107.0,7.0,114.0,70.0,39.0,109.0,67.0,14.0,81.0,15.0,9.0,24.0,0.0,106.0,106.0,43.0,0.0,43.0,618.0,363.0,981.0,503.0,297.0,800.0,102.0,130.0,232.0,2487.0,1091.0,3578.0
29,"Comitán de Domínguez, Chiapas",16.2911698,-92.17532124270645,municipio,"Cintalapa de Figueroa, Chis.",55.0,52.0,107.0,13.0,7.0,20.0,24.0,17.0,41.0,8.0,1.0,9.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,26.0,28.0,0.0,10.0,10.0,1.0,3.0,4.0,50.0,52.0,102.0,42.0,48.0,90.0,57.0,48.0,105.0,256.0,264.0,520.0
30,"Copainalá, Chiapas",17.0930214,-93.2102105,municipio,"Comitán de Domínguez, Chis.",35.0,12.0,47.0,41.0,6.0,47.0,37.0,9.0,46.0,21.0,6.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,139.0,39.0,178.0
31,"Escuintla, Chiapas",15.35100255,-92.55576537361532,municipio,"Copainalá, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0
32,"Frontera Comalapa, Chiapas",15.6590135,-92.1422219,municipio,"Escuintla, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,19.0
33,"Frontera Hidalgo, Chiapas",14.7531678,-92.21613683447438,municipio,"Frontera Comalapa, Chis.",105.0,104.0,209.0,81.0,42.0,123.0,168.0,63.0,231.0,54.0,20.0,74.0,12.0,1.0,13.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,15.0,15.0,16.0,30.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,357.0,793.0
34,"Huehuetán, Chiapas",15.0217164,-92.42866979063194,municipio,"Frontera Hidalgo, Chis.",36.0,64.0,100.0,62.0,24.0,86.0,13.0,100.0,113.0,4.0,0.0,4.0,9.0,0.0,9.0,0.0,40.0,40.0,15.0,47.0,62.0,2.0,5.0,7.0,14.0,24.0,38.0,31.0,218.0,249.0,11.0,240.0,251.0,285.0,112.0,397.0,482.0,874.0,1356.0
35,"Huixtla, Chiapas",15.122125,-92.50399707604466,municipio,"Huehuetán, Chis.",843.0,369.0,1212.0,670.0,650.0,1320.0,954.0,278.0,1232.0,241.0,33.0,274.0,515.0,218.0,733.0,920.0,351.0,1271.0,686.0,406.0,1092.0,907.0,460.0,1367.0,895.0,223.0,1118.0,1174.0,937.0,2111.0,1305.0,1161.0,2466.0,211.0,286.0,497.0,9321.0,5372.0,14693.0
36,"Jiquipilas, Chiapas",16.57497565,-93.60565427888372,municipio,"Huixtla, Chis.",801.0,544.0,1345.0,561.0,876.0,1437.0,896.0,401.0,1297.0,226.0,59.0,285.0,750.0,433.0,1183.0,1519.0,863.0,2382.0,1768.0,1299.0,3067.0,4.0,1468.0,1472.0,1106.0,1426.0,2532.0,1908.0,2001.0,3909.0,1962.0,1489.0,3451.0,1251.0,144.0,1395.0,12752.0,11003.0,23755.0
37,"La Trinitaria, Chiapas",16.1206164,-92.0542431,municipio,"Jiquipilas, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,121.0,298.0,200.0,126.0,326.0,51.0,68.0,119.0,428.0,315.0,743.0
38,"Mapastepec, Chiapas",15.43981,-92.898367,municipio,"La Trinitaria, Chis.",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,17.0
39,"Mezcalapa, Chiapas",17.2364959,-93.6349751688609,municipio,"Mapastepec, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0
40,"Motozintla, Chiapas",15.3050827,-92.34880361871576,municipio,"Mezcalapa, Chis.",0.0,0.0,0.0,55.0,5.0,60.0,29.0,23.0,52.0,12.0,3.0,15.0,8.0,5.0,13.0,12.0,3.0,15.0,10.0,12.0,22.0,0.0,38.0,38.0,13.0,0.0,13.0,46.0,30.0,76.0,39.0,27.0,66.0,32.0,37.0,69.0,256.0,183.0,439.0
41,"Ocosingo, Chiapas",16.9057,-92.092776,municipio,"Motozintla, Chis.",2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0
42,"Ocozocoautla de Espinosa, Chiapas",16.7931431,-93.45696355337824,municipio,"Ocosingo, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,7.0,7.0,0.0,27.0,27.0,1.0,9.0,10.0,0.0,3.0,3.0,4.0,66.0,70.0
43,"Palenque, Chiapas",17.509188,-91.980922,municipio,"Ocozocoautla de Espinosa, Chis.",184.0,55.0,239.0,82.0,38.0,120.0,64.0,33.0,97.0,47.0,19.0,66.0,67.0,15.0,82.0,44.0,44.0,88.0,34.0,58.0,92.0,0.0,48.0,48.0,2.0,0.0,2.0,21.0,16.0,37.0,89.0,67.0,156.0,119.0,81.0,200.0,753.0,474.0,1227.0
44,"Pantepec, Chiapas",17.194414199999997,-93.05246608493754,municipio,"Palenque, Chis.",367.0,159.0,526.0,436.0,290.0,726.0,435.0,264.0,699.0,382.0,330.0,712.0,386.0,176.0,562.0,435.0,232.0,667.0,327.0,215.0,542.0,177.0,175.0,352.0,180.0,188.0,368.0,1023.0,534.0,1557.0,378.0,376.0,754.0,113.0,152.0,265.0,4639.0,3091.0,7730.0
45,"Pijijiapan, Chiapas",15.6849991,-93.2080195,municipio,"Pijijiapan, Chis.",405.0,6.0,411.0,628.0,38.0,666.0,1043.0,180.0,1223.0,213.0,24.0,237.0,422.0,138.0,560.0,589.0,246.0,835.0,450.0,271.0,721.0,263.0,229.0,492.0,384.0,384.0,768.0,1911.0,292.0,2203.0,1724.0,652.0,2376.0,663.0,141.0,804.0,8695.0,2601.0,11296.0
46,"Salto de Agua, Chiapas",17.4348976,-92.22480249886088,municipio,"Salto de Agua, Chis.",0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0
47,"San Cristóbal de las Casas, Chiapas",16.6835469,-92.61551841991157,municipio,"San Cristóbal de las Casas, Chis.",48.0,23.0,71.0,180.0,41.0,221.0,135.0,16.0,151.0,50.0,16.0,66.0,0.0,0.0,0.0,0.0,2.0,2.0,82.0,106.0,188.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,205.0,700.0
48,"Siltepec, Chiapas",15.5561492,-92.3226035,municipio,"Siltepec, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
49,"Suchiate, Chiapas",14.6321744,-92.24196336095298,municipio,"Suchiate, Chis.",708.0,278.0,986.0,591.0,396.0,987.0,654.0,452.0,1106.0,275.0,106.0,381.0,927.0,1047.0,1974.0,1581.0,2007.0,3588.0,1888.0,2178.0,4066.0,16.0,3417.0,3433.0,1932.0,2340.0,4272.0,1097.0,1419.0,2516.0,876.0,1796.0,2672.0,1017.0,1205.0,2222.0,11562.0,16641.0,28203.0
50,"Tapachula, Chiapas",14.9042905,-92.2609265,municipio,"Tapachula, Chis.",1606.0,4559.0,6165.0,1877.0,3819.0,5696.0,2602.0,2670.0,5272.0,995.0,312.0,1307.0,3396.0,2562.0,5958.0,5603.0,4222.0,9825.0,6106.0,4333.0,10439.0,54.0,4857.0,4911.0,6014.0,3379.0,9393.0,2305.0,2288.0,4593.0,1393.0,2157.0,3550.0,2540.0,1016.0,3556.0,34491.0,36174.0,70665.0
51,"Teopisca, Chiapas",16.5420839,-92.4736561,municipio,"Teopisca, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52,"Tonalá, Chiapas",16.0894476,-93.7546502,municipio,"Tonalá, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,55.0,85.0,140.0,29.0,16.0,45.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,130.0,230.0
53,"Tuxtla Chico, Chiapas",14.8768619,-92.19675245459756,municipio,"Tuxtla Chico, Chis.",84.0,30.0,114.0,0.0,0.0,0.0,571.0,55.0,626.0,144.0,0.0,144.0,1755.0,126.0,1881.0,1849.0,2.0,1851.0,3165.0,341.0,3506.0,9.0,916.0,925.0,3931.0,1277.0,5208.0,1984.0,525.0,2509.0,1254.0,983.0,2237.0,561.0,141.0,702.0,15307.0,4396.0,19703.0
54,"Tuxtla Gutiérrez, Chiapas",16.753801,-93.115959,municipio,"Tuxtla Gutiérrez, Chis.",386.0,110.0,496.0,250.0,108.0,358.0,396.0,97.0,493.0,120.0,33.0,153.0,245.0,87.0,332.0,50.0,29.0,79.0,98.0,148.0,246.0,26.0,67.0,93.0,83.0,1.0,84.0,2013.0,1028.0,3041.0,2517.0,1209.0,3726.0,698.0,467.0,1165.0,6882.0,3384.0,10266.0
55,"Unión Juárez, Chiapas",15.07074175,-92.09254280799922,municipio,"Unión Juárez, Chis.",427.0,108.0,535.0,442.0,226.0,668.0,188.0,152.0,340.0,54.0,30.0,84.0,12.0,6.0,18.0,0.0,12.0,12.0,0.0,17.0,17.0,0.0,14.0,14.0,0.0,0.0,0.0,37.0,260.0,297.0,4.0,171.0,175.0,366.0,149.0,515.0,1530.0,1145.0,2675.0
56,"Villa Comaltitlán, Chiapas",15.1709732,-92.61288629080111,municipio,"Villa Comaltitlán, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,6.0,66.0,45.0,111.0,74.0,23.0,97.0,60.0,71.0,131.0,3.0,181.0,184.0,365.0,141.0,506.0,368.0,38.0,406.0,135.0,94.0,229.0,89.0,62.0,151.0,1161.0,662.0,1823.0
57,"Villa Corzo, Chiapas",16.0631888,-93.26500252520376,municipio,"Villa Corzo, Chis.",237.0,24.0,261.0,8.0,0.0,8.0,3.0,1.0,4.0,5.0,0.0,5.0,27.0,6.0,33.0,19.0,21.0,40.0,4.0,19.0,23.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,77.0,380.0
58,"Villaflores, Chiapas",16.37550225,-93.3589334041931,municipio,"Villaflores, Chis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
59,"Yajalón, Chiapas",17.1768885,-92.3519609858044,municipio,"Chihuahua, Chih.",35.0,6.0,41.0,24.0,4.0,28.0,52.0,14.0,66.0,13.0,3.0,16.0,3.0,0.0,3.0,146.0,3.0,149.0,477.0,12.0,489.0,714.0,26.0,740.0,79.0,6.0,85.0,12.0,5.0,17.0,139.0,81.0,220.0,141.0,45.0,186.0,1835.0,205.0,2040.0
60,"Chihuahua, Chihuahua",28.5000001,-106.0000001,municipio,"Janos, Chih.",33.0,0.0,33.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,17.0,45.0,0.0,45.0,116.0,0.0,116.0
61,"Janos, Chihuahua",30.8893267,-108.1930484,municipio,"Juárez, Chih.",1912.0,731.0,2643.0,1307.0,331.0,1638.0,328.0,1.0,329.0,0.0,0.0,0.0,256.0,0.0,256.0,937.0,0.0,937.0,399.0,0.0,399.0,355.0,1.0,356.0,382.0,1.0,383.0,115.0,0.0,115.0,541.0,0.0,541.0,367.0,0.0,367.0,6899.0,1065.0,7964.0
62,"Juárez, Chihuahua",31.7372575,-106.485655,municipio,"Ojinaga, Chih.",8.0,0.0,8.0,14.0,0.0,14.0,38.0,0.0,38.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,7.0,97.0,4.0,101.0
63,"Ojinaga, Chihuahua",29.5654282,-104.4128523,municipio,"Coyoacán, CDMX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
