description,geometry_str,tipo,name,descripcion_1,descripcion_2,descripcion_3,descripcion_4,descripcion_5,descripcion_6,descripcion_7,descripcion_8,descripcion_9,descripcion_10,descripcion_11,descripcion_12,descripcion_13
"Brinda apoyo y servicio a las mujeres, así como a sus hijos e hijas, víctimas de los delitos relacionados con la violencia de género.	<br><br>Avenida Aguascalientes Ote. LB, Col. El Cedazo. <br><br>449 974 8231	<br><br>Abierto 24 hrs.","c(-102.2528075, 21.8668426, 0)",Mujeres,Centro de Justicia para Mujeres,"Brinda apoyo y servicio a las mujeres, así como a sus hijos e hijas, víctimas de los delitos relacionados con la violencia de género.	",,"Avenida Aguascalientes Ote. LB, Col. El Cedazo. ",,449 974 8231	,,Abierto 24 hrs.,,,,,,
"Programas que buscan la igualdad de género prevención de la violencia contra las mujeres.	<br><br>Avenida Manuel Gómez Morín S/N, Col. Ferronales.	<br><br>(449) 9102128	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.2806974, 21.889146, 0)",Mujeres,Instituto Aguascalentense de la Mujer,Programas que buscan la igualdad de género prevención de la violencia contra las mujeres.	,,"Avenida Manuel Gómez Morín S/N, Col. Ferronales.	",,(449) 9102128	,,"Lunes a viernes, 8:30 - 16:00 hrs.",,,,,,
"Asesoría jurídica y piscosocial para las mujeres.	<br><br>Calle Pedro Parga No. 247, Centro.<br><br>(449) 9157439	<br><br>Lunes a viernes, 8:00 - 15:00 hrs.","c(-102.2919403, 21.8850228, 0)",Mujeres,Instituto Municipal de la Mujer de Aguascalientes,Asesoría jurídica y piscosocial para las mujeres.	,,"Calle Pedro Parga No. 247, Centro.",,(449) 9157439	,,"Lunes a viernes, 8:00 - 15:00 hrs.",,,,,,
"Programas para adultos mayores, personas con discapacidad, jóvenes, niñas, niños, y de integración familiar en el municipio de Aguascalientes.	<br><br>Avenida Universidad No. 612, Col. Primo Verdad.	<br><br>449 914 4930<br><br>Lunes a viernes, 8:00 - 15:30 hrs.","c(-102.310767, 21.908612, 0)",Niñez y juventud,DIF Municipal de Aguascalientes,"Programas para adultos mayores, personas con discapacidad, jóvenes, niñas, niños, y de integración familiar en el municipio de Aguascalientes.	",,"Avenida Universidad No. 612, Col. Primo Verdad.	",,449 914 4930,,"Lunes a viernes, 8:00 - 15:30 hrs.",,,,,,
"Programas para adultos mayores, personas con discapacidad, jóvenes, niñas, niños, y de integración familiar en todo el estado de Aguascalientes.	<br><br>Avenida de la Convención esquina con Avenida de los Maestros, Col. España.	<br><br>449 910 2020 ext. 500	<br><br>Lunes a viernes, 8:00 - 15:30 hrs.","c(-102.309394, 21.8676712, 0)",Niñez y juventud,DIF Estatal Aguascalientes,"Programas para adultos mayores, personas con discapacidad, jóvenes, niñas, niños, y de integración familiar en todo el estado de Aguascalientes.	",,"Avenida de la Convención esquina con Avenida de los Maestros, Col. España.	",,449 910 2020 ext. 500	,,"Lunes a viernes, 8:00 - 15:30 hrs.",,,,,,
"Proporciona orientación social y asistencia jurídica a niñas, niños y adolescentes. <br><br>	Avenida de la Convención esquina con Avenida de los Maestros, Col. España.	<br><br>449 910 2585, ext. 6561	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.3095092, 21.8678745, 0)",Niñez y juventud,"Procuraduría de Protección de Niñas, Niños y Adolescentes ","Proporciona orientación social y asistencia jurídica a niñas, niños y adolescentes. ",,"	Avenida de la Convención esquina con Avenida de los Maestros, Col. España.	",,"449 910 2585, ext. 6561	",,"Lunes a viernes, 8:30 - 16:00 hrs.",,,,,,
"Da oportunidades educativas y de recreación a las personas jóvenes.	<br><br>Avenida Francisco I. Madero No. 114, Centro.	<br><br>449 978 2846 / 449 978 2846<br><br>Lunes a viernes, 8:00 - 15:00 hrs.","c(-102.295057, 21.8815815, 0)",Niñez y juventud,Instituto Municipal de la Juventud,Da oportunidades educativas y de recreación a las personas jóvenes.	,,"Avenida Francisco I. Madero No. 114, Centro.	",,449 978 2846 / 449 978 2846,,"Lunes a viernes, 8:00 - 15:00 hrs.",,,,,,
"Medicina interna, pediatría, epidemiología, diagnóstico, psicología.	<br><br>Avenida Ferrocarril S/N, Alameda.	<br><br>449 994 6720	<br><br>Abierto 24 hrs.","c(-102.2825251, 21.8947652, 0)",Salud,Centenario Hospital Miguel Hidalgo,"Medicina interna, pediatría, epidemiología, diagnóstico, psicología.	",,"Avenida Ferrocarril S/N, Alameda.	",,449 994 6720	,,Abierto 24 hrs.,,,,,,
"Brinda seguridad social, establecido como un servicio público de carácter nacional, para todos los trabajadores y trabajadoras y sus familias.	<br><br>Calle República de Ecuador No. 205, Col. Obraje.	<br><br>449 912 0803	<br><br>Lunes a viernes, 8:00 - 15:30 hrs.","c(-102.2969018, 21.8704618, 0)",Salud,Instituto Mexicano del Seguro Social (IMSS),"Brinda seguridad social, establecido como un servicio público de carácter nacional, para todos los trabajadores y trabajadoras y sus familias.	",,"Calle República de Ecuador No. 205, Col. Obraje.	",,449 912 0803	,,"Lunes a viernes, 8:00 - 15:30 hrs.",,,,,,
"Antención psicológica, pruebas de VIH.<br><br>Calle Artillero Mier No. 903, Col. Morelos.	<br><br>449 977 2060	<br><br>Lunes a viernes, 9:00 - 15:00 hrs.","c(-102.2550007, 21.8575533, 0)",Salud,Centro Ambulatorio para la Prevenciòn y Atención del VIH/SIDA (CAPASITS),"Antención psicológica, pruebas de VIH.",,"Calle Artillero Mier No. 903, Col. Morelos.	",,449 977 2060	,,"Lunes a viernes, 9:00 - 15:00 hrs.",,,,,,
"Atención médica básica.	<br><br>Calle Dr. E. González Medina No. 104, Col. El Dorado 1ra Secc. <br><br>	449 916 5855	<br><br>Abierto 24 hrs.","c(-102.3032217, 21.8613155, 0)",Salud,Cruz Roja,Atención médica básica.	,,"Calle Dr. E. González Medina No. 104, Col. El Dorado 1ra Secc. ",,	449 916 5855	,,Abierto 24 hrs.,,,,,,
"Facilita la vinculación entre ofertas y demandas deempleo, orienta a los buscadores de empleo.	<br><br>Avenida Aguascalientes No. 3214, Fraccionamiento Prados del Sur.	<br><br>449 971 9401	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2983128, 21.8589705, 0)",Institucion pública / Educación / Empleo,Servicio Nacional de Empleo Aguascalientes,"Facilita la vinculación entre ofertas y demandas deempleo, orienta a los buscadores de empleo.	",,"Avenida Aguascalientes No. 3214, Fraccionamiento Prados del Sur.	",,449 971 9401	,,"Lunes a Viernes, 9:00 - 18:00 hrs.",,,,,,
"Oportunidades de educación superior a jóvenes refugiados de cualquier nacionalidad.<br><br>Calle Gral. Ignacio Allende No. 304, Centro.	<br><br>554 403 2382","c(-102.3002149, 21.8807825, 0)",Institucion pública / Educación / Empleo,Proyecto Habesha,Oportunidades de educación superior a jóvenes refugiados de cualquier nacionalidad.,,"Calle Gral. Ignacio Allende No. 304, Centro.	",,554 403 2382,,,,,,,,
"Servicios educativos para estudiantes.	<br><br>Avenida Aguascalientes No. 601, Col. Ojocaliente.	<br><br>449 910 2020 ext. 5001	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2536985, 21.8719461, 0)",Institucion pública / Educación / Empleo,IEA Instituto de Educación de Aguascalientes,Servicios educativos para estudiantes.	,,"Avenida Aguascalientes No. 601, Col. Ojocaliente.	",,449 910 2020 ext. 5001	,,"Lunes a Viernes, 9:00 - 18:00 hrs.",,,,,,
"Ayuda a las personas jóvenes y adultas a retomar estudios o actividades para la formación productiva.	<br><br>Calle Ecuador No. 202, Col. Obraje.	<br><br>449 910 3100	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2971792, 21.8699055, 0)",Institucion pública / Educación / Empleo,Instituto para la Educación de las Personas Jóvenes y Adultas (INEPJA),Ayuda a las personas jóvenes y adultas a retomar estudios o actividades para la formación productiva.	,,"Calle Ecuador No. 202, Col. Obraje.	",,449 910 3100	,,"Lunes a Viernes, 9:00 - 18:00 hrs.",,,,,,
"Ofrece oportunidades en las que participen las y los jóvenes que les ayuden a progresar y tener certeza sobre el futuro.	<br><br>Avenida Paseo de Ojocaliente No.556, Col. Gómez Portugal.	<br><br>449 910 2141 ext. 6804	<br><br>Lunes a Viernes, 9:00 - 18:00 hrs.","c(-102.2628415, 21.8696464, 0)",Institucion pública / Educación / Empleo,Instituto Aguascalentense de la Juventud,Ofrece oportunidades en las que participen las y los jóvenes que les ayuden a progresar y tener certeza sobre el futuro.	,,"Avenida Paseo de Ojocaliente No.556, Col. Gómez Portugal.	",,449 910 2141 ext. 6804	,,"Lunes a Viernes, 9:00 - 18:00 hrs.",,,,,,
"Oficina encargada de atención a población migrante retornada y canalización.<br><br>Calle Cristóbal Colón No. 309, Barrio del Encino, Centro.	<br><br>449 916 4476	<br><br>Lunes a viernes, 8:30 - 15:00 hrs.","c(-102.294916, 21.8782219, 0)",Institucion pública / Educación / Empleo,Oficina de Atención al Migrante,Oficina encargada de atención a población migrante retornada y canalización.,,"Calle Cristóbal Colón No. 309, Barrio del Encino, Centro.	",,449 916 4476	,,"Lunes a viernes, 8:30 - 15:00 hrs.",,,,,,
"Trámites migratorios, regularización migratoria.	<br><br>Calle Lic. Miguel de la Madrid No. 2790, Col. Corral de Barroso, Jesús María.	<br><br>449 915 6069	<br><br>Lunes a viernes, 9:00 - 13:00 hrs.","c(-102.3264611, 21.9400366, 0)",Institucion pública / Educación / Empleo,Instituto Nacional de Migración ,"Trámites migratorios, regularización migratoria.	",,"Calle Lic. Miguel de la Madrid No. 2790, Col. Corral de Barroso, Jesús María.	",,449 915 6069	,,"Lunes a viernes, 9:00 - 13:00 hrs.",,,,,,
"Promueve programas sociales para apoyar a las personas que los necesitan.	<br><br>Avenida Julio Díaz Torre No. 110, Col. Ciudad Industrial.	<br><br>449 971 0271<br><br>Lunes a viernes, 9:00 - 19:00 hrs.","c(-102.2794489, 21.8384489, 0)",Institucion pública / Educación / Empleo,Secretaría de Bienestar,Promueve programas sociales para apoyar a las personas que los necesitan.	,,"Avenida Julio Díaz Torre No. 110, Col. Ciudad Industrial.	",,449 971 0271,,"Lunes a viernes, 9:00 - 19:00 hrs.",,,,,,
"Protección, defensa, observancia, promoción, estudio, divulgación de los derechos humanos y recepción de quejas.	<br><br>Calle República del Perú No. 502, Col. Jardines de Santa Elena.	<br><br>449 140 7870<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.3023486, 21.8644747, 0)",Justicia / Derechos Humanos / Seguridad,Comisión Estatal de Derechos Humanos,"Protección, defensa, observancia, promoción, estudio, divulgación de los derechos humanos y recepción de quejas.	",,"Calle República del Perú No. 502, Col. Jardines de Santa Elena.	",,449 140 7870,,"Lunes a viernes, 8:30 - 16:00 hrs.",,,,,,
"Defensa pública en materia penal y el acceso a la justicia mediante la orientación, asesoría y representación jurídica en materia administrativa, fiscal, civil y de causas penales.	<br><br>Avenida Aguascalientes Sur No. 603, ala norte, planta baja, Fraccionamiento Jardines de Aguascalientes.	<br><br>449 971 3989	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.3051088, 21.8590472, 0)",Justicia / Derechos Humanos / Seguridad,Instituto Federal de la Defensoría Pública (IFDP),"Defensa pública en materia penal y el acceso a la justicia mediante la orientación, asesoría y representación jurídica en materia administrativa, fiscal, civil y de causas penales.	",,"Avenida Aguascalientes Sur No. 603, ala norte, planta baja, Fraccionamiento Jardines de Aguascalientes.	",,449 971 3989	,,"Lunes a viernes, 8:30 - 16:00 hrs.",,,,,,
"Defensa pública en materia penal y el acceso a la justicia mediante la orientación, asesoría y representación jurídica en materia administrativa, fiscal, civil y de causas penales.	<br><br>Calle Vázquez del Mercado No. 101, Centro.	<br><br>449 915 2988	<br><br>Lunes a viernes, 8:30 - 16:00 hrs.","c(-102.2902495, 21.8855849, 0)",Justicia / Derechos Humanos / Seguridad,Instituto de Asesoría y Defensoría Pública del Estado de Aguascalientes,"Defensa pública en materia penal y el acceso a la justicia mediante la orientación, asesoría y representación jurídica en materia administrativa, fiscal, civil y de causas penales.	",,"Calle Vázquez del Mercado No. 101, Centro.	",,449 915 2988	,,"Lunes a viernes, 8:30 - 16:00 hrs.",,,,,,
"Se encarga de investigar los delitos denuciadoa ante las autoridades.	<br><br>Avenida Héroes de Nacozari No. 201, Barrio de la Purísima.	<br><br>(449) 4782800	<br><br>Abierto 24 hrs.","c(-102.282492, 21.880829, 0)",Justicia / Derechos Humanos / Seguridad,Fiscalía General del Estado,Se encarga de investigar los delitos denuciadoa ante las autoridades.	,,"Avenida Héroes de Nacozari No. 201, Barrio de la Purísima.	",,(449) 4782800	,,Abierto 24 hrs.,,,,,,
"Control de incendios y fugas de gas.	<br><br>Avenida Aguascalientes Ote. No. 308, Desarrollo Especial Ojocaliente.<br><br>	449 970 0065 / 449 970 3939	<br><br>Abierto 24 hrs.","c(-102.2553556, 21.8750136, 0)",Justicia / Derechos Humanos / Seguridad,Bomberos,Control de incendios y fugas de gas.	,,"Avenida Aguascalientes Ote. No. 308, Desarrollo Especial Ojocaliente.",,	449 970 0065 / 449 970 3939	,,Abierto 24 hrs.,,,,,,
"Asistencia humanitaria, orientación, programas de integración para personas que huyen de sus países y que no pueden volver porque su vida o seguridad corren peligro.	<br><br>Calle Cristóbal Colón No. 309, Barrio del Encino, Centro.	<br><br>449 906 8438	<br><br>Lunes a viernes de 8:00 a 15:00 hrs.","c(-102.2949742, 21.8782219, 0)",Organismos Internacionales,ACNUR La Agencia de la ONU para los Refugiados,"Asistencia humanitaria, orientación, programas de integración para personas que huyen de sus países y que no pueden volver porque su vida o seguridad corren peligro.	",,"Calle Cristóbal Colón No. 309, Barrio del Encino, Centro.	",,449 906 8438	,,Lunes a viernes de 8:00 a 15:00 hrs.,,,,,,
"Servicio de transporte aéreo nacional e internacional.	<br><br>Carretera Panamericana Km. 22, Buenavista de Peñuelas.	<br><br>449 918 2806<br><br>Abierto 24 hrs.","c(-102.3162276, 21.701298, 0)",Transporte,Aeropuerto Internacional de Aguascalientes,Servicio de transporte aéreo nacional e internacional.	,,"Carretera Panamericana Km. 22, Buenavista de Peñuelas.	",,449 918 2806,,Abierto 24 hrs.,,,,,,
"Servicio de transporte.	<br><br>Avenida Convención de 1914 Sur No. 408, Col. Las Américas.	<br><br>449 978 2224	<br><br>Abierto 24 hrs.","c(-102.2989623, 21.8657368, 0)",Transporte,Terminal de autobuses Aguascalientes,Servicio de transporte.	,,"Avenida Convención de 1914 Sur No. 408, Col. Las Américas.	",,449 978 2224	,,Abierto 24 hrs.,,,,,,
"Antención psicológica, pruebas de VIH/SIDA a personas LGBTI a bajo costo.	<br><br>Calle Pirúl No. 102, Col. Jardines de la Crúz.	<br><br>(449) 1469157	<br><br>Lunes a viernes, 10:00 - 15:00 hrs y 17:00 - 21:00 hrs.","c(-102.2717588, 21.8741711, 0)",LGBTI,Colectivo SERGAY de Aguascalientes A. C. ,"Antención psicológica, pruebas de VIH/SIDA a personas LGBTI a bajo costo.	",,"Calle Pirúl No. 102, Col. Jardines de la Crúz.	",,(449) 1469157	,,"Lunes a viernes, 10:00 - 15:00 hrs y 17:00 - 21:00 hrs.",,,,,,
"Miguel Hidalgo, esquina calle 2, Oluta. <br><br>Lunes a domingo, 9:00 a.m. -5:00 p.m. ","c(-94.8870046, 17.9258019, 0)",Albergue y Alimentación,Comedor de Caritas A.C. ,"Miguel Hidalgo, esquina calle 2, Oluta. ",,"Lunes a domingo, 9:00 a.m. -5:00 p.m. ",,,,,,,,,,
T. 924 247 7394,"c(-94.9017573, 17.9326714, 0)",Albergue y Alimentación,Casa del Migrante Monseñor Guillermo Ranzahuer,T. 924 247 7394,,,,,,,,,,,,
"Prolongación Lerdo de Tejada S/N esquina con Vázquez Gómez, Cal. Villalta, Acayucan. <br><br>T. 	924 106 4616 1 <br><br>Lunes a viernes, 8:30 a.m. -4:00 p.m. ","c(-94.9162539, 17.9535286, 0)",Organismos Internacionales y de la Sociedad Civil,ACNUR Agencia de la ONU para los Regufiados,"Prolongación Lerdo de Tejada S/N esquina con Vázquez Gómez, Cal. Villalta, Acayucan. ",,T. 	924 106 4616 1 ,,"Lunes a viernes, 8:30 a.m. -4:00 p.m. ",,,,,,,,
"Juan de la Luz Enríquez No. 701-E, Cal. Barrio La Palma, Acayucan. <br><br>T. 	924 245 9100 y 924 249 0773 <br><br>Lunes y miércoles, 9:00 a.m. -2:00 p.m. y 3:00 -5:00 p.m. Martes, jueves y viernes atención con cita. ","c(-94.9187904, 17.9551804, 0)",Organismos Internacionales y de la Sociedad Civil,Asylum Access ,"Juan de la Luz Enríquez No. 701-E, Cal. Barrio La Palma, Acayucan. ",,T. 	924 245 9100 y 924 249 0773 ,,"Lunes y miércoles, 9:00 a.m. -2:00 p.m. y 3:00 -5:00 p.m. Martes, jueves y viernes atención con cita. ",,,,,,,,
"Juan de la Luz Enríquez No. -701 E, Cal. Barrio La Palma, Acayucan. <br><br>T. 	934 348 3374 <br><br>Lunes y miércoles, 9:00 a.m. -2:00 p.m. y 3:00 -5:00 p.m. Martes, jueves y viernes atención con cita. ","c(-94.9189622, 17.9553111, 0)",Organismos Internacionales y de la Sociedad Civil,RET,"Juan de la Luz Enríquez No. -701 E, Cal. Barrio La Palma, Acayucan. ",,T. 	934 348 3374 ,,"Lunes y miércoles, 9:00 a.m. -2:00 p.m. y 3:00 -5:00 p.m. Martes, jueves y viernes atención con cita. ",,,,,,,,
"amón Carona y Benito Juárez, Cal. La Palma, Acayucan. <br><br>Dentro dei DIF Municipal. <br><br>T. 	924 244 8809 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. ","c(-94.921806, 17.9526937, 0)",Niñez,"Procuraduría Municipal de Protección a Niilas, Niilos y Adolescentes","amón Carona y Benito Juárez, Cal. La Palma, Acayucan. ",,Dentro dei DIF Municipal. ,,T. 	924 244 8809 ,,"Lunes a viernes, 9:00 a.m. -3:00 p.m. ",,,,,,
"Juárez 5/N, Cal. Centro, Oluta. AI interior del Dispensaria Médico. <br><br>T. 	924 245 8962 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. ","c(-94.8979305, 17.9279498, 0)",Niñez,"Procuraduría Municipal de Protección a Ninas, Niíios y Adolescentes","Juárez 5/N, Cal. Centro, Oluta. AI interior del Dispensaria Médico. ",,T. 	924 245 8962 ,,"Lunes a viernes, 9:00 a.m. -3:00 p.m. ",,,,,,,,
"Palacio Municipal de Acayucan, Cal. Centro, Acayucan. <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. ","c(-94.9140116, 17.9489541, 0)",Mujeres,Instituto Municipal de la Mujer,"Palacio Municipal de Acayucan, Cal. Centro, Acayucan. ",,"Lunes a viernes, 9:00 a.m. -3:00 p.m. ",,,,,,,,,,
"T. 924 247 9170 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. y 4:00 -6:00 p.m. ","c(-94.9217003, 18.0017518, 0)",Instituciones Públicas,Estación Migratoria de Acayucan - INM - Instituto Nacional de Migración,T. 924 247 9170 ,,"Lunes a viernes, 9:00 a.m. -3:00 p.m. y 4:00 -6:00 p.m. ",,,,,,,,,,
"T. (55) 5209 8800 Ext. 37062 <br><br>Lunes a viernes, 9:00 a.m. -3:00 p.m. y 4:00 -6:00 p.m. ","c(-94.9222498, 18.0016465, 0)",Instituciones Públicas,COMAR - Comisión Mexicana de Ayuda a Refugiados,T. (55) 5209 8800 Ext. 37062 ,,"Lunes a viernes, 9:00 a.m. -3:00 p.m. y 4:00 -6:00 p.m. ",,,,,,,,,,
"Palacio Municipal de Acayucan, Cal. Centro, Acayucan. <br><br>T. 924 106 4499 <br><br> Lunes a viernes, 9:00 a.m. -3:00 p.m.","c(-94.9136816, 17.9489039, 0)",Instituciones Públicas,Dirección Municipal de Atención a Migrantes,"Palacio Municipal de Acayucan, Cal. Centro, Acayucan. ",,T. 924 106 4499 ,," Lunes a viernes, 9:00 a.m. -3:00 p.m.",,,,,,,,
"T. 924 106 4499 <br><br>Lunes a viernes, 9:00 a.m. -5:00 p.m","c(-94.9137246, 17.948613, 0)",Instituciones Públicas,Fiscalía Especializada en Atención a Migrantes,T. 924 106 4499 ,,"Lunes a viernes, 9:00 a.m. -5:00 p.m",,,,,,,,,,
"Palacio Municipal de Acayucan, Planta baja, Cal. Centro, Acayucan.<br><br>T. 924 245 3524<br><br>Lunes a viernes, 9:00 a.m. - 5:00 p.m.","c(-94.9140625, 17.9486538, 0)",Consulados,Consulado de Honduras en Acayucan,"Palacio Municipal de Acayucan, Planta baja, Cal. Centro, Acayucan.",,T. 924 245 3524,,"Lunes a viernes, 9:00 a.m. - 5:00 p.m.",,,,,,,,
"Melchor Ocampo Norte No. 1212, Cal. Villalta, Acayucan. <br><br>T. 924 244 9243 1 924 245 5287 y 01 800 747 6117 <br><br>Lunes a domingo antes de las 9:00 p.m., pueden comunicarse con su familia. Linea 724: (045) 229 904 1881 <br><br>Lunes a viernes, 8:30 a.m. -4:30 p.m. ","c(-94.9103659, 17.9565032, 0)",Consulados,Consulado de EI Salvador,"Melchor Ocampo Norte No. 1212, Cal. Villalta, Acayucan. ",,T. 924 244 9243 1 924 245 5287 y 01 800 747 6117 ,,"Lunes a domingo antes de las 9:00 p.m., pueden comunicarse con su familia. Linea 724: (045) 229 904 1881 ",,"Lunes a viernes, 8:30 a.m. -4:30 p.m. ",,,,,,
