ciudad,estado,ruta,detenciones,latitud,longitud,tipo,ID_Poligono,codigo_unico,geometry,geometry_range
"San Cristobal de las Casas, Chiapas",Chiapas,Ruta Sur, 745,16.6835469,-92.61551841991157,Presencia Migración Irregular,PG737,S-PG737-4,POINT (-92.61551841991157 16.683546900000003),"POLYGON ((3177979.9248520746 2015041.8972848824, 3177931.7721187966 2014061.7258815868, 3177787.7776561067 2013090.994064721, 3177549.3282093965 2012139.0505123378, 3177218.7201771876 2011215.0629612315, 3176799.1374955582 2010327.9299166223, 3176294.6209751 2009486.1949546863, 3175710.0293857018 2008697.964443246, 3175050.99266394 2007970.829473017, 3174323.857693711 2007311.792751255, 3173535.6271822704 2006727.201161857, 3172693.8922203346 2006222.6846413987, 3171806.7591757253 2005803.1019597696, 3170882.771624619 2005472.4939275603, 3169930.828072236 2005234.04448085, 3168960.0962553704 2005090.0500181604, 3167979.9248520746 2005041.8972848824, 3166999.7534487788 2005090.0500181604, 3166029.0216319133 2005234.04448085, 3165077.07807953 2005472.4939275603, 3164153.090528424 2005803.1019597696, 3163265.9574838146 2006222.6846413987, 3162424.222521879 2006727.201161857, 3161635.9920104383 2007311.792751255, 3160908.857040209 2007970.8294730168, 3160249.8203184474 2008697.964443246, 3159665.228729049 2009486.1949546863, 3159160.712208591 2010327.9299166223, 3158741.1295269616 2011215.0629612315, 3158410.5214947527 2012139.0505123378, 3158172.0720480424 2013090.994064721, 3158028.0775853526 2014061.7258815868, 3157979.9248520746 2015041.8972848824, 3158028.0775853526 2016022.068688178, 3158172.0720480424 2016992.8005050437, 3158410.5214947527 2017944.744057427, 3158741.1295269616 2018868.7316085333, 3159160.712208591 2019755.8646531424, 3159665.228729049 2020597.5996150784, 3160249.8203184474 2021385.8301265188, 3160908.857040209 2022112.9650967477, 3161635.9920104383 2022772.0018185098, 3162424.222521879 2023356.5934079078, 3163265.9574838146 2023861.109928366, 3164153.090528424 2024280.6926099951, 3165077.07807953 2024611.3006422045, 3166029.0216319133 2024849.7500889148, 3166999.7534487788 2024993.7445516044, 3167979.9248520746 2025041.8972848824, 3168960.0962553704 2024993.7445516044, 3169930.828072236 2024849.7500889148, 3170882.771624619 2024611.3006422045, 3171806.7591757253 2024280.6926099951, 3172693.8922203346 2023861.109928366, 3173535.6271822704 2023356.5934079078, 3174323.857693711 2022772.0018185098, 3175050.99266394 2022112.965096748, 3175710.0293857018 2021385.8301265188, 3176294.6209751 2020597.5996150784, 3176799.1374955582 2019755.8646531424, 3177218.7201771876 2018868.7316085333, 3177549.3282093965 2017944.744057427, 3177787.7776561067 2016992.8005050437, 3177931.7721187966 2016022.068688178, 3177979.9248520746 2015041.8972848824))"
"Ocosingo, Chiapas",Chiapas,Ruta Sur, 182,16.9057,-92.092776,Presencia Migración Irregular,PG737,S-PG737-5,POINT (-92.092776 16.905699999999996),"POLYGON ((3234711.2276179814 2049626.028960498, 3234663.0748847034 2048645.8575572025, 3234519.0804220135 2047675.1257403367, 3234280.6309753032 2046723.1821879535, 3233950.0229430944 2045799.1946368471, 3233530.440261465 2044912.061592238, 3233025.9237410068 2044070.326630302, 3232441.3321516085 2043282.0961188616, 3231782.2954298467 2042554.9611486327, 3231055.1604596176 2041895.9244268707, 3230266.929948177 2041311.3328374727, 3229425.1949862414 2040806.8163170144, 3228538.061941632 2040387.2336353853, 3227614.074390526 2040056.625603176, 3226662.1308381427 2039818.1761564657, 3225691.399021277 2039674.181693776, 3224711.2276179814 2039626.028960498, 3223731.0562146856 2039674.181693776, 3222760.32439782 2039818.1761564657, 3221808.380845437 2040056.625603176, 3220884.3932943307 2040387.2336353853, 3219997.2602497214 2040806.8163170144, 3219155.5252877856 2041311.3328374727, 3218367.294776345 2041895.9244268707, 3217640.159806116 2042554.9611486327, 3216981.123084354 2043282.0961188616, 3216396.531494956 2044070.326630302, 3215892.0149744977 2044912.061592238, 3215472.4322928684 2045799.1946368471, 3215141.8242606595 2046723.1821879535, 3214903.374813949 2047675.1257403367, 3214759.3803512594 2048645.8575572025, 3214711.2276179814 2049626.028960498, 3214759.3803512594 2050606.2003637936, 3214903.374813949 2051576.9321806594, 3215141.8242606595 2052528.8757330426, 3215472.4322928684 2053452.863284149, 3215892.0149744977 2054339.996328758, 3216396.531494956 2055181.731290694, 3216981.123084354 2055969.9618021345, 3217640.159806116 2056697.0967723634, 3218367.294776345 2057356.1334941254, 3219155.5252877856 2057940.7250835234, 3219997.2602497214 2058445.2416039817, 3220884.3932943307 2058864.8242856108, 3221808.380845437 2059195.4323178201, 3222760.32439782 2059433.8817645304, 3223731.0562146856 2059577.87622722, 3224711.2276179814 2059626.028960498, 3225691.399021277 2059577.87622722, 3226662.1308381427 2059433.8817645304, 3227614.074390526 2059195.4323178201, 3228538.061941632 2058864.8242856108, 3229425.1949862414 2058445.2416039817, 3230266.929948177 2057940.7250835234, 3231055.1604596176 2057356.1334941254, 3231782.2954298467 2056697.0967723636, 3232441.3321516085 2055969.9618021345, 3233025.9237410068 2055181.731290694, 3233530.440261465 2054339.996328758, 3233950.0229430944 2053452.863284149, 3234280.6309753032 2052528.8757330426, 3234519.0804220135 2051576.9321806594, 3234663.0748847034 2050606.2003637936, 3234711.2276179814 2049626.028960498))"
"Salto de Agua, Chiapas",Chiapas,Ruta Sur, 9,17.4348976,-92.22480249886088,Presencia Migración Irregular,PG738,S-PG738-2,POINT (-92.22480249886088 17.434897599999996),"POLYGON ((3210844.7107852236 2110911.066955611, 3210796.5580519456 2109930.8955523153, 3210652.563589256 2108960.16373545, 3210414.1141425455 2108008.2201830666, 3210083.5061103366 2107084.2326319604, 3209663.9234287073 2106197.099587351, 3209159.406908249 2105355.3646254153, 3208574.815318851 2104567.134113975, 3207915.778597089 2103839.9991437458, 3207188.64362686 2103180.962421984, 3206400.4131154194 2102596.3708325857, 3205558.6781534837 2102091.8543121275, 3204671.5451088743 2101672.271630498, 3203747.557557768 2101341.6635982892, 3202795.614005385 2101103.214151579, 3201824.8821885195 2100959.219688889, 3200844.7107852236 2100911.066955611, 3199864.539381928 2100959.219688889, 3198893.8075650623 2101103.214151579, 3197941.864012679 2101341.6635982892, 3197017.876461573 2101672.271630498, 3196130.7434169636 2102091.8543121275, 3195289.008455028 2102596.3708325857, 3194500.7779435874 2103180.962421984, 3193773.6429733583 2103839.9991437458, 3193114.6062515965 2104567.134113975, 3192530.0146621983 2105355.3646254153, 3192025.49814174 2106197.099587351, 3191605.9154601106 2107084.2326319604, 3191275.307427902 2108008.2201830666, 3191036.8579811915 2108960.16373545, 3190892.8635185016 2109930.8955523153, 3190844.7107852236 2110911.066955611, 3190892.8635185016 2111891.238358907, 3191036.8579811915 2112861.9701757724, 3191275.307427902 2113813.9137281557, 3191605.9154601106 2114737.901279262, 3192025.49814174 2115625.034323871, 3192530.0146621983 2116466.769285807, 3193114.6062515965 2117254.9997972474, 3193773.6429733583 2117982.1347674765, 3194500.7779435874 2118641.1714892383, 3195289.008455028 2119225.7630786365, 3196130.7434169636 2119730.2795990948, 3197017.876461573 2120149.862280724, 3197941.864012679 2120480.470312933, 3198893.8075650623 2120718.9197596433, 3199864.539381928 2120862.914222333, 3200844.7107852236 2120911.066955611, 3201824.8821885195 2120862.914222333, 3202795.614005385 2120718.9197596433, 3203747.557557768 2120480.470312933, 3204671.5451088743 2120149.862280724, 3205558.6781534837 2119730.2795990948, 3206400.4131154194 2119225.7630786365, 3207188.64362686 2118641.1714892383, 3207915.778597089 2117982.1347674765, 3208574.815318851 2117254.9997972474, 3209159.406908249 2116466.769285807, 3209663.9234287073 2115625.034323871, 3210083.5061103366 2114737.901279262, 3210414.1141425455 2113813.9137281557, 3210652.563589256 2112861.9701757724, 3210796.5580519456 2111891.238358907, 3210844.7107852236 2110911.066955611))"
"Chenalho, Chiapas",Chiapas,Ruta Sur, 341,16.971716100000002,-92.51921237690784,Presencia Migración Irregular,PG737,S-PG737-6,POINT (-92.51921237690784 16.971716100000002),"POLYGON ((3184529.544643598 2050938.1070824035, 3184481.39191032 2049957.935679108, 3184337.3974476303 2048987.2038622422, 3184098.94800092 2048035.260309859, 3183768.339968711 2047111.2727587526, 3183348.757287082 2046224.1397141435, 3182844.2407666235 2045382.4047522075, 3182259.6491772253 2044594.174240767, 3181600.6124554635 2043867.0392705381, 3180873.4774852344 2043208.002548776, 3180085.246973794 2042623.4109593781, 3179243.512011858 2042118.8944389198, 3178356.378967249 2041699.3117572907, 3177432.3914161427 2041368.7037250814, 3176480.4478637595 2041130.254278371, 3175509.716046894 2040986.2598156815, 3174529.544643598 2040938.1070824035, 3173549.3732403023 2040986.2598156815, 3172578.641423437 2041130.254278371, 3171626.6978710536 2041368.7037250814, 3170702.7103199475 2041699.3117572907, 3169815.577275338 2042118.8944389198, 3168973.8423134023 2042623.4109593781, 3168185.611801962 2043208.002548776, 3167458.476831733 2043867.039270538, 3166799.440109971 2044594.174240767, 3166214.8485205728 2045382.4047522075, 3165710.3320001145 2046224.1397141435, 3165290.749318485 2047111.2727587526, 3164960.1412862763 2048035.260309859, 3164721.691839566 2048987.2038622422, 3164577.697376876 2049957.935679108, 3164529.544643598 2050938.1070824035, 3164577.697376876 2051918.278485699, 3164721.691839566 2052889.0103025648, 3164960.1412862763 2053840.953854948, 3165290.749318485 2054764.9414060544, 3165710.3320001145 2055652.0744506635, 3166214.8485205728 2056493.8094125995, 3166799.440109971 2057282.03992404, 3167458.476831733 2058009.1748942689, 3168185.611801962 2058668.211616031, 3168973.8423134023 2059252.8032054289, 3169815.577275338 2059757.3197258872, 3170702.7103199475 2060176.9024075163, 3171626.6978710536 2060507.5104397256, 3172578.641423437 2060745.959886436, 3173549.3732403023 2060889.9543491255, 3174529.544643598 2060938.1070824035, 3175509.716046894 2060889.9543491255, 3176480.4478637595 2060745.959886436, 3177432.3914161427 2060507.5104397256, 3178356.378967249 2060176.9024075163, 3179243.512011858 2059757.3197258872, 3180085.246973794 2059252.8032054289, 3180873.4774852344 2058668.211616031, 3181600.6124554635 2058009.174894269, 3182259.6491772253 2057282.03992404, 3182844.2407666235 2056493.8094125995, 3183348.757287082 2055652.0744506635, 3183768.339968711 2054764.9414060544, 3184098.94800092 2053840.953854948, 3184337.3974476303 2052889.0103025648, 3184481.39191032 2051918.278485699, 3184529.544643598 2050938.1070824035))"
"Catazaja, Chiapas",Chiapas,Ruta Sur, 392,17.76826375,-92.03793125285311,Presencia Migración Irregular,PG738,S-PG738-7,POINT (-92.03793125285311 17.768263749999996),"POLYGON ((3226690.459177688 2153808.7192283124, 3226642.3064444102 2152828.5478250165, 3226498.3119817204 2151857.816008151, 3226259.86253501 2150905.872455768, 3225929.254502801 2149981.8849046617, 3225509.671821172 2149094.7518600523, 3225005.1553007136 2148253.0168981166, 3224420.5637113154 2147464.786386676, 3223761.5269895536 2146737.651416447, 3223034.3920193245 2146078.614694685, 3222246.161507884 2145494.023105287, 3221404.4265459483 2144989.5065848287, 3220517.293501339 2144569.9239031994, 3219593.305950233 2144239.3158709905, 3218641.3623978496 2144000.86642428, 3217670.630580984 2143856.8719615904, 3216690.459177688 2143808.7192283124, 3215710.2877743924 2143856.8719615904, 3214739.555957527 2144000.86642428, 3213787.6124051437 2144239.3158709905, 3212863.6248540375 2144569.9239031994, 3211976.491809428 2144989.5065848287, 3211134.7568474924 2145494.023105287, 3210346.526336052 2146078.614694685, 3209619.391365823 2146737.651416447, 3208960.354644061 2147464.786386676, 3208375.763054663 2148253.0168981166, 3207871.2465342046 2149094.7518600523, 3207451.6638525752 2149981.8849046617, 3207121.0558203664 2150905.872455768, 3206882.606373656 2151857.816008151, 3206738.611910966 2152828.5478250165, 3206690.459177688 2153808.7192283124, 3206738.611910966 2154788.890631608, 3206882.606373656 2155759.6224484737, 3207121.0558203664 2156711.566000857, 3207451.6638525752 2157635.553551963, 3207871.2465342046 2158522.6865965724, 3208375.763054663 2159364.421558508, 3208960.354644061 2160152.6520699486, 3209619.391365823 2160879.7870401777, 3210346.526336052 2161538.8237619395, 3211134.7568474924 2162123.4153513378, 3211976.491809428 2162627.931871796, 3212863.6248540375 2163047.5145534254, 3213787.6124051437 2163378.1225856342, 3214739.555957527 2163616.5720323445, 3215710.2877743924 2163760.5664950344, 3216690.459177688 2163808.7192283124, 3217670.630580984 2163760.5664950344, 3218641.3623978496 2163616.5720323445, 3219593.305950233 2163378.1225856342, 3220517.293501339 2163047.5145534254, 3221404.4265459483 2162627.931871796, 3222246.161507884 2162123.4153513378, 3223034.3920193245 2161538.8237619395, 3223761.5269895536 2160879.7870401777, 3224420.5637113154 2160152.6520699486, 3225005.1553007136 2159364.421558508, 3225509.671821172 2158522.6865965724, 3225929.254502801 2157635.553551963, 3226259.86253501 2156711.566000857, 3226498.3119817204 2155759.6224484737, 3226642.3064444102 2154788.890631608, 3226690.459177688 2153808.7192283124))"
"Palenque, Chiapas",Chiapas,Ruta Sur,9 027,17.509188,-91.980922,Presencia Migración Irregular,PG765,S-PG765-2,POINT (-91.980922 17.509188),"POLYGON ((3237622.034865916 2123713.082504352, 3237573.882132638 2122732.9111010563, 3237429.887669948 2121762.1792841908, 3237191.4382232376 2120810.2357318075, 3236860.830191029 2119886.2481807014, 3236441.2475093994 2118999.115136092, 3235936.730988941 2118157.3801741563, 3235352.139399543 2117369.149662716, 3234693.102677781 2116642.0146924867, 3233965.967707552 2115982.977970725, 3233177.7371961116 2115398.3863813267, 3232336.002234176 2114893.8698608684, 3231448.8691895665 2114474.287179239, 3230524.8816384603 2114143.67914703, 3229572.938086077 2113905.22970032, 3228602.2062692116 2113761.23523763, 3227622.034865916 2113713.082504352, 3226641.86346262 2113761.23523763, 3225671.1316457544 2113905.22970032, 3224719.188093371 2114143.67914703, 3223795.200542265 2114474.287179239, 3222908.0674976557 2114893.8698608684, 3222066.33253572 2115398.3863813267, 3221278.1020242795 2115982.977970725, 3220550.9670540504 2116642.0146924867, 3219891.9303322886 2117369.149662716, 3219307.3387428904 2118157.3801741563, 3218802.822222432 2118999.115136092, 3218383.239540803 2119886.2481807014, 3218052.631508594 2120810.2357318075, 3217814.1820618836 2121762.1792841908, 3217670.187599194 2122732.9111010563, 3217622.034865916 2123713.082504352, 3217670.187599194 2124693.253907648, 3217814.1820618836 2125663.9857245134, 3218052.631508594 2126615.9292768966, 3218383.239540803 2127539.916828003, 3218802.822222432 2128427.049872612, 3219307.3387428904 2129268.784834548, 3219891.9303322886 2130057.0153459883, 3220550.9670540504 2130784.1503162174, 3221278.1020242795 2131443.1870379793, 3222066.33253572 2132027.7786273775, 3222908.0674976557 2132532.2951478357, 3223795.200542265 2132951.877829465, 3224719.188093371 2133282.485861674, 3225671.1316457544 2133520.9353083842, 3226641.86346262 2133664.929771074, 3227622.034865916 2133713.082504352, 3228602.2062692116 2133664.929771074, 3229572.938086077 2133520.9353083842, 3230524.8816384603 2133282.485861674, 3231448.8691895665 2132951.877829465, 3232336.002234176 2132532.2951478357, 3233177.7371961116 2132027.7786273775, 3233965.967707552 2131443.1870379793, 3234693.102677781 2130784.1503162174, 3235352.139399543 2130057.0153459883, 3235936.730988941 2129268.784834548, 3236441.2475093994 2128427.049872612, 3236860.830191029 2127539.916828003, 3237191.4382232376 2126615.9292768966, 3237429.887669948 2125663.9857245134, 3237573.882132638 2124693.253907648, 3237622.034865916 2123713.082504352))"
"Juarez, Chihuahua",Chihuahua,Ruta Centro,7 925,31.7372575,-106.485655,Presencia Migración Irregular,PG374,C-PG374-1,POINT (-106.485655 31.737257500000005),"POLYGON ((1508464.812642708 3559841.5397659414, 1508416.65990943 3558861.3683626456, 1508272.6654467403 3557890.63654578, 1508034.21600003 3556938.692993397, 1507703.6079678207 3556014.7054422908, 1507284.0252861916 3555127.5723976814, 1506779.5087657333 3554285.8374357456, 1506194.9171763354 3553497.606924305, 1505535.8804545733 3552770.471954076, 1504808.7454843444 3552111.4352323143, 1504020.514972904 3551526.843642916, 1503178.780010968 3551022.327122458, 1502291.6469663589 3550602.7444408285, 1501367.6594152525 3550272.1364086196, 1500415.7158628693 3550033.6869619093, 1499444.9840460035 3549889.6924992194, 1498464.812642708 3549841.5397659414, 1497484.6412394124 3549889.6924992194, 1496513.9094225466 3550033.6869619093, 1495561.9658701634 3550272.1364086196, 1494637.978319057 3550602.7444408285, 1493750.845274448 3551022.327122458, 1492909.110312512 3551526.843642916, 1492120.8798010715 3552111.4352323143, 1491393.7448308426 3552770.471954076, 1490734.7081090806 3553497.606924305, 1490150.1165196826 3554285.8374357456, 1489645.5999992243 3555127.5723976814, 1489226.0173175952 3556014.7054422908, 1488895.4092853859 3556938.692993397, 1488656.9598386756 3557890.63654578, 1488512.965375986 3558861.3683626456, 1488464.812642708 3559841.5397659414, 1488512.965375986 3560821.7111692373, 1488656.9598386756 3561792.442986103, 1488895.4092853859 3562744.386538486, 1489226.0173175952 3563668.374089592, 1489645.5999992243 3564555.5071342015, 1490150.1165196826 3565397.2420961373, 1490734.7081090806 3566185.4726075777, 1491393.7448308424 3566912.607577807, 1492120.8798010715 3567571.6442995686, 1492909.110312512 3568156.235888967, 1493750.845274448 3568660.752409425, 1494637.978319057 3569080.3350910544, 1495561.9658701634 3569410.9431232633, 1496513.9094225466 3569649.3925699736, 1497484.6412394124 3569793.3870326634, 1498464.812642708 3569841.5397659414, 1499444.9840460035 3569793.3870326634, 1500415.7158628693 3569649.3925699736, 1501367.6594152525 3569410.9431232633, 1502291.6469663589 3569080.3350910544, 1503178.780010968 3568660.752409425, 1504020.514972904 3568156.235888967, 1504808.7454843444 3567571.6442995686, 1505535.8804545733 3566912.607577807, 1506194.9171763354 3566185.4726075777, 1506779.5087657333 3565397.2420961373, 1507284.0252861916 3564555.5071342015, 1507703.6079678207 3563668.374089592, 1508034.21600003 3562744.386538486, 1508272.6654467403 3561792.442986103, 1508416.65990943 3560821.7111692373, 1508464.812642708 3559841.5397659414))"
"Ojinaga, Chihuahua",Chihuahua,Ruta Centro, 94,29.5654282,-104.4128523,Presencia Migración Irregular,PG426,C-PG426-1,POINT (-104.41285230000001 29.565428200000003),"POLYGON ((1734314.918236724 3337675.490843138, 1734266.765503446 3336695.3194398424, 1734122.7710407565 3335724.587622977, 1733884.3215940462 3334772.6440705936, 1733553.7135618369 3333848.6565194875, 1733134.1308802078 3332961.523474878, 1732629.6143597495 3332119.7885129424, 1732045.0227703515 3331331.558001502, 1731385.9860485895 3330604.423031273, 1730658.8510783606 3329945.386309511, 1729870.6205669201 3329360.794720113, 1729028.8856049841 3328856.2781996545, 1728141.752560375 3328436.695518025, 1727217.7650092687 3328106.0874858163, 1726265.8214568854 3327867.638039106, 1725295.0896400197 3327723.643576416, 1724314.918236724 3327675.490843138, 1723334.7468334285 3327723.643576416, 1722364.0150165628 3327867.638039106, 1721412.0714641795 3328106.0874858163, 1720488.0839130732 3328436.695518025, 1719600.950868464 3328856.2781996545, 1718759.215906528 3329360.794720113, 1717970.9853950876 3329945.386309511, 1717243.8504248587 3330604.423031273, 1716584.8137030967 3331331.558001502, 1716000.2221136987 3332119.7885129424, 1715495.7055932404 3332961.523474878, 1715076.1229116113 3333848.6565194875, 1714745.514879402 3334772.6440705936, 1714507.0654326917 3335724.587622977, 1714363.070970002 3336695.3194398424, 1714314.918236724 3337675.490843138, 1714363.070970002 3338655.662246434, 1714507.0654326917 3339626.3940632995, 1714745.514879402 3340578.3376156827, 1715076.1229116113 3341502.325166789, 1715495.7055932404 3342389.458211398, 1716000.2221136987 3343231.193173334, 1716584.8137030967 3344019.4236847744, 1717243.8504248585 3344746.5586550036, 1717970.9853950876 3345405.5953767654, 1718759.215906528 3345990.1869661636, 1719600.950868464 3346494.703486622, 1720488.0839130732 3346914.286168251, 1721412.0714641795 3347244.89420046, 1722364.0150165628 3347483.3436471703, 1723334.7468334285 3347627.33810986, 1724314.918236724 3347675.490843138, 1725295.0896400197 3347627.33810986, 1726265.8214568854 3347483.3436471703, 1727217.7650092687 3347244.89420046, 1728141.752560375 3346914.286168251, 1729028.8856049841 3346494.703486622, 1729870.6205669201 3345990.1869661636, 1730658.8510783606 3345405.5953767654, 1731385.9860485895 3344746.5586550036, 1732045.0227703515 3344019.4236847744, 1732629.6143597495 3343231.193173334, 1733134.1308802078 3342389.458211398, 1733553.7135618369 3341502.325166789, 1733884.3215940462 3340578.3376156827, 1734122.7710407565 3339626.3940632995, 1734266.765503446 3338655.662246434, 1734314.918236724 3337675.490843138))"
"Chihuahua, Chihuahua",Chihuahua,Ruta Centro,2 035,28.5000001,-106.0000001,Presencia Migración Irregular,PG371,C-PG371-1,POINT (-106.0000001 28.50000010000001),"POLYGON ((1590140.7773968629 3202461.46045499, 1590092.6246635849 3201481.2890516943, 1589948.6302008952 3200510.557234829, 1589710.180754185 3199558.6136824456, 1589379.5727219756 3198634.6261313395, 1588959.9900403465 3197747.49308673, 1588455.4735198882 3196905.7581247943, 1587870.8819304903 3196117.527613354, 1587211.8452087282 3195390.392643125, 1586484.7102384993 3194731.355921363, 1585696.479727059 3194146.764331965, 1584854.744765123 3193642.2478115065, 1583967.6117205138 3193222.665129877, 1583043.6241694074 3192892.0570976683, 1582091.6806170242 3192653.607650958, 1581120.9488001585 3192509.613188268, 1580140.7773968629 3192461.46045499, 1579160.6059935673 3192509.613188268, 1578189.8741767015 3192653.607650958, 1577237.9306243183 3192892.0570976683, 1576313.943073212 3193222.665129877, 1575426.8100286028 3193642.2478115065, 1574585.0750666668 3194146.764331965, 1573796.8445552264 3194731.355921363, 1573069.7095849975 3195390.392643125, 1572410.6728632355 3196117.527613354, 1571826.0812738375 3196905.7581247943, 1571321.5647533792 3197747.49308673, 1570901.98207175 3198634.6261313395, 1570571.3740395408 3199558.6136824456, 1570332.9245928305 3200510.557234829, 1570188.9301301409 3201481.2890516943, 1570140.7773968629 3202461.46045499, 1570188.9301301409 3203441.631858286, 1570332.9245928305 3204412.3636751515, 1570571.3740395408 3205364.3072275347, 1570901.98207175 3206288.294778641, 1571321.5647533792 3207175.42782325, 1571826.0812738375 3208017.162785186, 1572410.6728632355 3208805.3932966264, 1573069.7095849973 3209532.5282668555, 1573796.8445552264 3210191.5649886173, 1574585.0750666668 3210776.1565780155, 1575426.8100286028 3211280.673098474, 1576313.943073212 3211700.255780103, 1577237.9306243183 3212030.863812312, 1578189.8741767015 3212269.3132590223, 1579160.6059935673 3212413.307721712, 1580140.7773968629 3212461.46045499, 1581120.9488001585 3212413.307721712, 1582091.6806170242 3212269.3132590223, 1583043.6241694074 3212030.863812312, 1583967.6117205138 3211700.255780103, 1584854.744765123 3211280.673098474, 1585696.479727059 3210776.1565780155, 1586484.7102384993 3210191.5649886173, 1587211.8452087282 3209532.5282668555, 1587870.8819304903 3208805.3932966264, 1588455.4735198882 3208017.162785186, 1588959.9900403465 3207175.42782325, 1589379.5727219756 3206288.294778641, 1589710.180754185 3205364.3072275347, 1589948.6302008952 3204412.3636751515, 1590092.6246635849 3203441.631858286, 1590140.7773968629 3202461.46045499))"
"Janos, Chihuahua",Chihuahua,Ruta Centro, 129,30.8893267,-108.1930484,Presencia Migración Irregular,PG319,C-PG319-1,POINT (-108.1930484 30.889326700000005),"POLYGON ((1353310.988354208 3450774.9878550144, 1353262.83562093 3449794.8164517186, 1353118.8411582403 3448824.084634853, 1352880.39171153 3447872.14108247, 1352549.7836793207 3446948.1535313637, 1352130.2009976916 3446061.0204867544, 1351625.6844772333 3445219.2855248186, 1351041.0928878353 3444431.055013378, 1350382.0561660733 3443703.920043149, 1349654.9211958444 3443044.883321387, 1348866.690684404 3442460.291731989, 1348024.955722468 3441955.7752115307, 1347137.8226778589 3441536.1925299014, 1346213.8351267525 3441205.5844976925, 1345261.8915743693 3440967.1350509822, 1344291.1597575035 3440823.1405882924, 1343310.988354208 3440774.9878550144, 1342330.8169509124 3440823.1405882924, 1341360.0851340466 3440967.1350509822, 1340408.1415816634 3441205.5844976925, 1339484.154030557 3441536.1925299014, 1338597.020985948 3441955.7752115307, 1337755.286024012 3442460.291731989, 1336967.0555125715 3443044.883321387, 1336239.9205423426 3443703.920043149, 1335580.8838205806 3444431.055013378, 1334996.2922311826 3445219.2855248186, 1334491.7757107243 3446061.0204867544, 1334072.1930290952 3446948.1535313637, 1333741.5849968859 3447872.14108247, 1333503.1355501756 3448824.084634853, 1333359.141087486 3449794.8164517186, 1333310.988354208 3450774.9878550144, 1333359.141087486 3451755.15925831, 1333503.1355501756 3452725.8910751757, 1333741.5849968859 3453677.834627559, 1334072.1930290952 3454601.822178665, 1334491.7757107243 3455488.9552232744, 1334996.2922311826 3456330.69018521, 1335580.8838205806 3457118.9206966506, 1336239.9205423424 3457846.0556668798, 1336967.0555125715 3458505.0923886416, 1337755.286024012 3459089.68397804, 1338597.020985948 3459594.200498498, 1339484.154030557 3460013.7831801274, 1340408.1415816634 3460344.3912123363, 1341360.0851340466 3460582.8406590465, 1342330.8169509124 3460726.8351217364, 1343310.988354208 3460774.9878550144, 1344291.1597575035 3460726.8351217364, 1345261.8915743693 3460582.8406590465, 1346213.8351267525 3460344.3912123363, 1347137.8226778589 3460013.7831801274, 1348024.955722468 3459594.200498498, 1348866.690684404 3459089.68397804, 1349654.9211958444 3458505.0923886416, 1350382.0561660733 3457846.0556668798, 1351041.0928878353 3457118.9206966506, 1351625.6844772333 3456330.69018521, 1352130.2009976916 3455488.9552232744, 1352549.7836793207 3454601.822178665, 1352880.39171153 3453677.834627559, 1353118.8411582403 3452725.8910751757, 1353262.83562093 3451755.15925831, 1353310.988354208 3450774.9878550144))"
