Institución,Dirección,Latitud,Longitud
OSC,"Calle Francisco I. Madero 1010, Zona Centro, 88209 Nuevo Laredo, Tamaulipas",27.4768° N, 99.5164° W
OSC,Av. Insurgentes Sur No. 1971 Piso 3 Colonia Guadalupe Inn Delegación Álvaro Obregón C.P. 01020 Ciudad de México,19.3326° N, 99.1869° W
OSC,"Calle Francisco I. Madero 1010, Zona Centro, 88209 Nuevo Laredo, Tamaulipas",27.4768° N, 99.5164° W
OSC,,,
OSC,"Avenida Galileo 239, 22416 Tijuana, Baja California",32.5306° N, 117.0238° W
OSC,"Juan de Erbaez 2406, 25070 Saltillo, Coahuila de Zaragoza",25.4245° N, 101.0053° W
OSC,"Emiliano Zapata No. 4417 Esq. con Serafín Peña, Col. Guadalupe Victoria, C.P. 67180, Guadalupe, Nuevo León",25.6788° N, 100.2527° W
OSC,"Calle de la Paz 57, Tlalpan Centro II Secc, Tlalpan, 14000 Ciudad de México, CDMX",19.2880° N, 99.1646° W
OSC,"Calle de Bolívar 57, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",19.4332° N, 99.1319° W
OSC,"Calle Juan de Dios Peza 124-126, Santa María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX",19.4484° N, 99.1597° W
OSC,Calle Francisco I. Madero S/N Colonia Centro CP: 75000 Santiago Papasquiaro Durango México,25.0458° N, 105.3781° W
OSC,"Calle de la Paz 57, Tlalpan Centro II Secc, Tlalpan, 14000 Ciudad de México, CDMX",19.2880° N, 99.1646° W
OSC,"Calle de Bolívar 57, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",19.4332° N, 99.1319° W
OSC,Calle Francisco I. Madero S/N Colonia Centro CP: 75000 Santiago Papasquiaro Durango México,25.0458° N, 105.3781° W
OSC,Calle Francisco I. Madero S/N Colonia Centro CP: 75000 Santiago Papasquiaro Durango México,25.0458° N, 105.3781° W
OSC,José María Morelos y Pavón No. 10 Colonia Centro CP: 75000 Santiago Papasquiaro Durango México,25.0458° N, 105.3781° W
OSC,Juan R. Escudero No. 19 Barrio San Francisco CP: 41200 Tlapa Guerrero México,17.5533° N, 98.5585° W
OSC,Calle Belisario Domínguez No.5 Barrio San Francisco CP:29200 San Cristóbal de las Casas Chiapas México,16.7370° N, 92.6376° W
OSC,Callejón del Estudiante No.1 Barrio San Mateo CP:29000 Tuxtla Gutiérrez Chiapas México,16.7494° N, 93.1164° W
OSC,Callejón del Estudiante No.1 Barrio San Mateo CP:29000 Tuxtla Gutiérrez Chiapas México,16.7494° N, 93.1164° W
OSC,Av Universidad #1200 Col Xoco CP:03330 Benito Juárez Ciudad de México México,19.3607° N, 99.1669° W
OSC,Calle Francisco I Madero S/N Colonia Centro CP:75000 Santiago Papasquiaro Durango México,25.0458° N, 105.3781° W
OSC,Río Hondo #1 Colonia Progreso Tizapán CP:01080 Álvaro Obregón Ciudad de México México,19.3327° N, 99.2006° W
OSC,Calle Belisario Domínguez No.5 Barrio San Francisco CP:29200 San Cristóbal de las Casas Chiapas México,16.7370° N,92.6376° W
OSC,Callejón del Estudiante No.1 Barrio San Mateo CP:29000 Tuxtla Gutiérrez Chiapas México,16.7494° N,93.1164° W
OSC,"Calle 5 de Mayo 16, Centro, 62520 Tepoztlán, Mor., México",18.9854° N, 99.0996° W
OSC,"Callejón del Carmen 4, Centro Histórico, 58000 Morelia, Mich., México",19.7033° N, 101.1924° W
OSC,"Callejón de la Amargura 10, Centro Histórico, 68000 Oaxaca de Juárez, Oax., México",17.0594° N, 96.7216° W
OSC,"Calle de Madrid 13-1, Colonia Tabacalera, Cuauhtémoc, Ciudad de México, México",19.4357° N, 99.1562° W
OSC,"Callejón del Carmen 4, Centro Histórico, 58000 Morelia, Mich., México",19.7033° N, 101.1924° W
OSC,"Callejón del Carmen 4, Centro Histórico, 58000 Morelia, Mich., México",19.7033° N, 101.1924° W
OSC,Av. Paseo de la Reforma #265 Colonia Cuauhtémoc C.P.06500 Ciudad de México México,19.4270° N, 99.1676° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,Av. Paseo de la Reforma #265 Colonia Cuauhtémoc C.P.06500 Ciudad de México México,19.4270° N, 99.1676° W
OSC,Av San Claudio y Av Juan Pablo II s/n San Manuel CP72570 Puebla Puebla México,19.0458° N, 98.1986° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,Calle Vicente Guerrero s/n Barrio San Juan Malinalco Estado de México CP52440 México,18.9479° N ,99.4825° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,"Calle 5 de Mayo 16, Centro, 62520 Tepoztlán, Mor., México",18.9854° N, 99.0996° W
OSC,"Callejón del Carmen 4, Centro Histórico, 58000 Morelia, Mich., México",19.7033° N, 101.1924° W
OSC,"Calle de San Ildefonso 72, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",19.4338° N, 99.1332° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,8120 Florence Ave Downey CA 90240 USA,33.9472° N ,118.1312° W
OSC,Av. Guadalupe No. 1101 Colonia Chapalita C.P.45040 Guadalajara Jalisco México,20.6597° N ,103.4068° W
OSC,Av Paseo de la Reforma No 265 Piso 10 Col Cuauhtémoc CP06500 Ciudad de México México,19.4270° N ,99.1676° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Av Paseo de la Reforma No 265 Piso 10 Col Cuauhtémoc CP06500 Ciudad de México México,19.4270° N ,99.1676° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,San Francisco Bay Area California USA,,
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Av Paseo de la Reforma No 265 Piso 10 Col Cuauhtémoc CP06500 Ciudad de México México,,
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,"Calle 20 de Noviembre 206, Zona Centro, 84000 Nogales, Son.",31.3087° N, 110.9422° W
OSC,"Calle 5 de Mayo 54, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",19.4326° N, 99.1332° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,"Av Benito Juárez 2001-1, Las Heras, 36540 Irapuato, Gto.",20.6768° N ,101.3545° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N ,101.1924° W
OSC,"110 Maryland Ave NE #509, Washington D.C., DC 20002, Estados Unidos",38.8987° N ,76.9940° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México, ,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,Av Paseo de la Reforma No 265 Piso 10 Col Cuauhtémoc CP06500 Ciudad de México México,19.4270° N ,99.1676° W
OSC,"Calle 5 de Febrero 1101, Colonia Centro, C.P. 22000 Tijuana, Baja California",32.5308° N, 117.0236° W
OSC,"Calle 5 de Febrero 1101, Colonia Centro, C.P. 22000 Tijuana, Baja California",32.5308° N, 117.0236° W
OSC,Av. Paseo del Tecnológico # 921 Fracc. Villa Universidad Torreón Coahuila C.P. 27210 México,25.5428° N, 103.4068° W
OSC,Periférico Sur Manuel Gómez Morín #8585 Tlaquepaque Jalisco C.P. 45604 México,20.5739° N, 103.4144° W
OSC,Prolongación Paseo de la Reforma #880 Colonia Lomas de Santa Fe Delegación Álvaro Obregón C.P. 01219 México D.F.,19.3583° N, 99.2697° W
OSC,,,
OSC,,,
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,,,
OSC,,,
OSC,,,
OSC,"1638 S Blue Island Ave, Chicago, IL 60608, Estados Unidos",41.8574° N, 87.6613° W
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,,,
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,"Carlos Dolci No.96, Col. Alfonso XIII, Alcaldía Álvaro Obregón, C.P. 01460 México, D.F.",19.3583° N, 99.2697° W
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,,,
OSC,"Av. Preparatoria s/n Cd. Universitaria C.P. 98060 Zacatecas, Zacatecas México",22.7709° N, 102.5832° W
OSC,,,
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
OSC,Callejón del Carmen #4 Colonia Centro C.P.58000 Morelia Michoacán México,19.7033° N, 101.1924° W
